xhash,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
#ob_minor_activity_complete_green,a&OB_SPLASHES/OB_ACTIVITY_COMPLETE,a&OB_SPLASHES/OB_ACTIVITY_COMPLETE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#ob_minor_activity_complete_yellow,a&OB_SPLASHES/OB_ACTIVITY_COMPLETE,a&OB_SPLASHES/OB_ACTIVITY_COMPLETE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#ob_minor_activity_complete_orange,a&OB_SPLASHES/OB_ACTIVITY_COMPLETE,a&OB_SPLASHES/OB_ACTIVITY_COMPLETE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#ob_minor_activity_complete_red,a&OB_SPLASHES/OB_ACTIVITY_COMPLETE,a&OB_SPLASHES/OB_ACTIVITY_COMPLETE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#ob_major_activity_complete_green,a&OB_SPLASHES/OB_ACTIVITY_COMPLETE,a&OB_SPLASHES/OB_ACTIVITY_COMPLETE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#ob_major_activity_complete_yellow,a&OB_SPLASHES/OB_ACTIVITY_COMPLETE,a&OB_SPLASHES/OB_ACTIVITY_COMPLETE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#ob_major_activity_complete_orange,a&OB_SPLASHES/OB_ACTIVITY_COMPLETE,a&OB_SPLASHES/OB_ACTIVITY_COMPLETE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#ob_major_activity_complete_red,a&OB_SPLASHES/OB_ACTIVITY_COMPLETE,a&OB_SPLASHES/OB_ACTIVITY_COMPLETE,,icon_splash_skill_shot,,,,,,,,,5,1,,,,,,,,,,,,,,,,
#hash_816ee095be9d88bf,a&OB_SPLASHES/ZOMBIEOBJECT,a&OB_SPLASHES/ZOMBIEOBJECT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#hash_8b55b9bb7da6faf9,a&OB_SPLASHES/RIFT_HEART_DESTROYED,a&OB_SPLASHES/RIFT_HEART_DESTROYED,,,,,,,,,,,,,,,,,,,,,,,,,,,,
