string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,int,string
20676,jup_ob_sb_ch_bs_arsenal_specialist,a&JUP_OB_STICKER_BOOK/CAREER_BS_ARSENAL_SPECIALIST_NAME,a&JUP_OB_STICKER_BOOK/CAREER_BS_ARSENAL_SPECIALIST_DESC,500|1000|5000,||35711,500|1000|2000,,6,,,,,,OB,0,193
20677,jup_ob_sb_ch_bs_battle_scarred_mastery,a&JUP_OB_STICKER_BOOK/CAREER_BS_BATTLE_SCARRED_MASTERY_NAME,a&JUP_OB_STICKER_BOOK/CAREER_BS_BATTLE_SCARRED_MASTERY_DESC,6,43581,2500,,2,20664|20672|20673|20674|20675|20676,,,,,,0,193
20647,jup_ob_sb_ch_sm_help_wanted,a&JUP_OB_STICKER_BOOK/CAREER_SM_HELP_WANTED_NAME,a&JUP_OB_STICKER_BOOK/CAREER_SM_HELP_WANTED_DESC,100|500|1000,||35710,500|1000|2000,,1,,,,,,OB,0,193
20726,jup_ob_sb_ch_sm_cratered,a&JUP_OB_STICKER_BOOK/CAREER_SM_CRATERED_NAME,a&JUP_OB_STICKER_BOOK/CAREER_SM_CRATERED_DESC,5|15|30,||35709,500|1000|2000,,2,,,,,,OB,0,193
20727,jup_ob_sb_ch_sm_emergency_landing,a&JUP_OB_STICKER_BOOK/CAREER_SM_EMERGENCY_LANDING_NAME,a&JUP_OB_STICKER_BOOK/CAREER_SM_EMERGENCY_LANDING_DESC,50|250|500,||35708,500|1000|2000,,3,,,,,,OB,0,193
20728,jup_ob_sb_ch_sm_no_loitering,a&JUP_OB_STICKER_BOOK/CAREER_SM_NO_LOITERING_NAME,a&JUP_OB_STICKER_BOOK/CAREER_SM_NO_LOITERING_DESC,10|25|50,||35707,500|1000|2000,,4,,,,,,OB,0,193
20729,jup_ob_sb_ch_sm_breach_and_clear,a&JUP_OB_STICKER_BOOK/CAREER_SM_BREACH_CLEAR_NAME,a&JUP_OB_STICKER_BOOK/CAREER_SM_BREACH_CLEAR_DESC,10|25|50,||35706,500|1000|2000,,5,,,,,,OB,0,193
20730,jup_ob_sb_ch_sm_liberation,a&JUP_OB_STICKER_BOOK/CAREER_SM_LIBERATION_NAME,a&JUP_OB_STICKER_BOOK/CAREER_SM_LIBERATION_DESC,3|5|10,||35705,500|1000|2000,,6,,,,,,OB,0,193
20731,jup_ob_sb_ch_sm_soldiers_of_misfortune_mastery,a&JUP_OB_STICKER_BOOK/CAREER_SM_SOLDIERS_OF_MISFORTUNE_MASTERY_NAME,a&JUP_OB_STICKER_BOOK/CAREER_SM_SOLDIERS_OF_MISFORTUNE_MASTERY_DESC,6,43582,2500,,3,20647|20726|20727|20728|20730|20729,,,,,,0,193
20733,jup_ob_sb_ch_ck_sign_here,a&JUP_OB_STICKER_BOOK/CAREER_CK_SIGN_HERE_NAME,a&JUP_OB_STICKER_BOOK/CAREER_CK_SIGN_HERE_DESC,25|75|150,||35704,500|1000|2000,,1,,,,,,OB,0,193
20734,jup_ob_sb_ch_ck_regional_law,a&JUP_OB_STICKER_BOOK/CAREER_CK_REGIONAL_LAW_NAME,a&JUP_OB_STICKER_BOOK/CAREER_CK_REGIONAL_LAW_DESC,5|10|25,||35703,500|1000|2000,,2,,,,,,OB,0,193
20735,jup_ob_sb_ch_ck_death_accords,a&JUP_OB_STICKER_BOOK/CAREER_CK_DEATH_ACCORDS_NAME,a&JUP_OB_STICKER_BOOK/CAREER_CK_DEATH_ACCORDS_DESC,5|10|25,||35702,500|1000|2000,,3,,,,,,OB,0,193
20736,jup_ob_sb_ch_ck_unbreakable_oath,a&JUP_OB_STICKER_BOOK/CAREER_CK_UNBREAKABLE_OATH_NAME,a&JUP_OB_STICKER_BOOK/CAREER_CK_UNBREAKABLE_OATH_DESC,10|25|50,||35701,500|1000|2000,,4,,,,,,OB,0,193
20737,jup_ob_sb_ch_ck_cosigner,a&JUP_OB_STICKER_BOOK/CAREER_CK_COSIGNER_NAME,a&JUP_OB_STICKER_BOOK/CAREER_CK_COSIGNER_DESC,5|10|25,||43699,500|1000|2000,,5,,,,,,OB,0,193
20738,jup_ob_sb_ch_ck_legalese,a&JUP_OB_STICKER_BOOK/CAREER_CK_LEGALESE_NAME,a&JUP_OB_STICKER_BOOK/CAREER_CK_LEGALESE_DESC,10|25|50,||35700,500|1000|2000,,6,,,,,,OB,0,193
20739,jup_ob_sb_ch_ck_contract_killer_mastery,a&JUP_OB_STICKER_BOOK/CAREER_CK_CONTRACT_KILLER_MASTERY_NAME,a&JUP_OB_STICKER_BOOK/CAREER_CK_CONTRACT_KILLER_MASTERY_DESC,6,43583,2500,,4,20733|20734|20735|20736|20737|20738,,,,,,0,193
20740,jup_ob_sb_ch_ex_crops_season,a&JUP_OB_STICKER_BOOK/CAREER_EX_CROPS_SEASON_NAME,a&JUP_OB_STICKER_BOOK/CAREER_EX_CROPS_SEASON_DESC,5|15|30,||35699,500|1000|2000,,1,,,,,,OB,0,193
20741,jup_ob_sb_ch_ex_rapid_harvest,a&JUP_OB_STICKER_BOOK/CAREER_EX_RAPID_HARVEST_NAME,a&JUP_OB_STICKER_BOOK/CAREER_EX_RAPID_HARVEST_DESC,1|3|5,||43665,500|1000|2000,,2,,,,,,OB,0,193
20742,jup_ob_sb_ch_ex_dark_depths,a&JUP_OB_STICKER_BOOK/CAREER_EX_DARK_DEPTHS_NAME,a&JUP_OB_STICKER_BOOK/CAREER_EX_DARK_DEPTHS_DESC,10|25|50,||35698,500|1000|2000,,3,,,,,,OB,0,193
20743,jup_ob_sb_ch_ex_home_sweet_home,a&JUP_OB_STICKER_BOOK/CAREER_EX_SWEET_HOME_NAME,a&JUP_OB_STICKER_BOOK/CAREER_EX_SWEET_HOME_DESC,15|30|75,||35697,500|1000|2000,,4,,,,,,OB,0,193
20744,jup_ob_sb_ch_ex_belly_of_the_beast,a&JUP_OB_STICKER_BOOK/CAREER_EX_BELLY_BEAST_NAME,a&JUP_OB_STICKER_BOOK/CAREER_EX_BELLY_BEAST_DESC,50|125|250,||35696,500|1000|2000,,5,,,,,,OB,0,193
20745,jup_ob_sb_ch_ex_dealers_of_death,a&JUP_OB_STICKER_BOOK/CAREER_EX_DEALER_DEATH_NAME,a&JUP_OB_STICKER_BOOK/CAREER_EX_DEALER_DEATH_DESC,5|15|30,||35695,500|1000|2000,,6,,,,,,OB,0,193
20746,jup_ob_sb_ch_ex_exorcist_mastery,a&JUP_OB_STICKER_BOOK/CAREER_EX_EXORCIST_MASTERY_NAME,a&JUP_OB_STICKER_BOOK/CAREER_EX_EXORCIST_MASTERY_DESC,6,43584,2500,,5,20740|20741|20742|20743|20744|20745,,,,,,0,193
20887,jup_ob_sb_ch_dc_holding_it_down,a&JUP_OB_STICKER_BOOK/VETERAN_DC_HOLDING_DOWN_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_DC_HOLDING_DOWN_DESC,25,35694,1000,,1,,,,,,OB,0,193
20888,jup_ob_sb_ch_dc_deadmans_best_friend,a&JUP_OB_STICKER_BOOK/VETERAN_DC_DEADMAN_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_DC_DEADMAN_DESC,1,35693,1000,,2,,,,,,OB,0,193
20891,jup_ob_sb_ch_dc_unstoppable,a&JUP_OB_STICKER_BOOK/VETERAN_DC_UNSTOPPABLE_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_DC_UNSTOPPABLE_DESC,1,35692,1000,,3,,,,,,OB,0,193
20890,jup_ob_sb_ch_dc_scoped_in,a&JUP_OB_STICKER_BOOK/VETERAN_DC_SCOPED_IN_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_DC_SCOPED_IN_DESC,300,35691,1000,,4,,,,,,OB,0,193
20892,jup_ob_sb_ch_dc_not_without_a_fight,a&JUP_OB_STICKER_BOOK/VETERAN_DC_WITHOUT_FIGHT_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_DC_WITHOUT_FIGHT_DESC,10,35690,1000,,5,,,,,,OB,0,193
20893,jup_ob_sb_ch_dc_piercing_shot,a&JUP_OB_STICKER_BOOK/VETERAN_DC_PIERCING_SHOT_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_DC_PIERCING_SHOT_DESC,25,35689,1000,,6,,,,,,OB,0,193
20894,jup_ob_sb_ch_dc_decorated_mastery,a&JUP_OB_STICKER_BOOK/VETERAN_DC_DECORATED_MASTERY_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_DC_DECORATED_MASTERY_DESC,6,43585,2500,,6,20887|20888|20891|20890|20892|20893,,,,,,0,193
21036,jup_ob_sb_ch_pd_firestorm,a&JUP_OB_STICKER_BOOK/VETERAN_PD_FIRESTORM_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_PD_FIRESTORM_DESC,250|750|1500,||35688,500|1000|2000,,1,,,,,,OB,0,193
21037,jup_ob_sb_ch_pd_dielectric,a&JUP_OB_STICKER_BOOK/VETERAN_PD_DIELECTRIC_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_PD_DIELECTRIC_DESC,250|750|1500,||35687,500|1000|2000,,2,,,,,,OB,0,193
21038,jup_ob_sb_ch_pd_hypothermic,a&JUP_OB_STICKER_BOOK/VETERAN_PD_HYPOTHERMIC_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_PD_HYPOTHERMIC_DESC,250|750|1500,||35686,500|1000|2000,,3,,,,,,OB,0,193
21039,jup_ob_sb_ch_pd_hypergolic,a&JUP_OB_STICKER_BOOK/VETERAN_PD_HYPERGOLIC_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_PD_HYPERGOLIC_DESC,250|750|1500,||35685,500|1000|2000,,4,,,,,,OB,0,193
21040,jup_ob_sb_ch_pd_enthralling,a&JUP_OB_STICKER_BOOK/VETERAN_PD_ENTHRALLING_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_PD_ENTHRALLING_DESC,250|750|1500,||35684,500|1000|2000,,5,,,,,,OB,0,193
21041,jup_ob_sb_ch_pd_elemental,a&JUP_OB_STICKER_BOOK/VETERAN_PD_ELEMENTAL_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_PD_ELEMENTAL_DESC,250|750|1500,||35683,500|1000|2000,,6,,,,,,OB,0,193
21042,jup_ob_sb_ch_pd_periodic_mastery,a&JUP_OB_STICKER_BOOK/VETERAN_PD_PERIODIC_MASTERY_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_PD_PERIODIC_MASTERY_DESC,6,43586,2500,,7,21036|21037|21038|21039|21040|21041,,,,,,0,193
21047,jup_ob_sb_ch_sg_hoarder,a&JUP_OB_STICKER_BOOK/VETERAN_SG_HOARDER_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_SG_HOARDER_DESC,250|500|1000,||35682,500|1000|2000,,1,,,,,,OB,0,193
21048,jup_ob_sb_ch_sg_junkman,a&JUP_OB_STICKER_BOOK/VETERAN_SG_JUNKMAN_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_SG_JUNKMAN_DESC,10000|25000|50000,||35681,500|1000|2000,,2,,,,,,OB,0,193
21049,jup_ob_sb_ch_sg_gun_runner,a&JUP_OB_STICKER_BOOK/VETERAN_SG_GUN_RUNNER_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_SG_GUN_RUNNER_DESC,250|500|1000,||35680,500|1000|2000,,3,,,,,,OB,0,193
21050,jup_ob_sb_ch_sg_acquired_taste,a&JUP_OB_STICKER_BOOK/VETERAN_SG_ACQUIRED_TASTE_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_SG_ACQUIRED_TASTE_DESC,25|50|100,||35679,500|1000|2000,,4,,,,,,OB,0,193
21051,jup_ob_sb_ch_sg_organ_donor,a&JUP_OB_STICKER_BOOK/VETERAN_SG_ORGAN_DONOR_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_SG_ORGAN_DONOR_DESC,25|50|100,||35678,500|1000|2000,,5,,,,,,OB,0,193
21052,jup_ob_sb_ch_sg_rags_to_riches,a&JUP_OB_STICKER_BOOK/VETERAN_SG_RAGS_RICHES_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_SG_RAGS_RICHES_DESC,100000|250000|500000,||43666,500|1000|2000,,6,,,,,,OB,0,193
21053,jup_ob_sb_ch_sg_scrounger_mastery,a&JUP_OB_STICKER_BOOK/VETERAN_SG_SCROUNGER_MASTERY_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_SG_SCROUNGER_MASTERY_DESC,6,43587,2500,,8,21047|21048|21049|21050|21051|21052,,,,,,0,193
21054,jup_ob_sb_ch_bt_greater_demon,a&JUP_OB_STICKER_BOOK/VETERAN_BT_GREATER_DEMON_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_BT_GREATER_DEMON_DESC,5|10|20,||35677,500|1000|2000,,1,,,,,,OB,0,193
21055,jup_ob_sb_ch_bt_mangler_mangling,a&JUP_OB_STICKER_BOOK/VETERAN_BT_MANGLER_MANGLING_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_BT_MANGLER_MANGLING_DESC,25|50|100,||35676,500|1000|2000,,2,,,,,,OB,0,193
21056,jup_ob_sb_ch_bt_practical_joker,a&JUP_OB_STICKER_BOOK/VETERAN_BT_PRACTICAL_JOKER_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_BT_PRACTICAL_JOKER_DESC,25|50|100,||35675,500|1000|2000,,3,,,,,,OB,0,193
21057,jup_ob_sb_ch_bt_disciple_discipline,a&JUP_OB_STICKER_BOOK/VETERAN_BT_DISCIPLE_DISCIPLINE_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_BT_DISCIPLE_DISCIPLINE_DESC,25|50|100,||35674,500|1000|2000,,4,,,,,,OB,0,193
21058,jup_ob_sb_ch_bt_hellbound,a&JUP_OB_STICKER_BOOK/VETERAN_BT_HELLBOUND_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_BT_HELLBOUND_DESC,50|150|300,||43767,500|1000|2000,,5,,,,,,OB,0,193
21059,jup_ob_sb_ch_bt_apex_predator,a&JUP_OB_STICKER_BOOK/VETERAN_BT_APEX_PREDETOR_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_BT_APEX_PREDATOR_DESC,1|5|10,||35673,500|1000|2000,,6,,,,,,OB,0,193
21060,jup_ob_sb_ch_bt_bestiary_mastery,a&JUP_OB_STICKER_BOOK/VETERAN_BT_BESTIARY_MASTERY_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_BT_BESTIARY_MASTERY_DESC,6,43588,2500,,9,21054|21055|21056|21057|21058|21059,,,,,,0,193
21061,jup_ob_sb_ch_ep_fully_loaded,a&JUP_OB_STICKER_BOOK/VETERAN_EP_FULLY_LOADED_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_EP_FULLY_LOADED_DESC,1,35672,1000,,1,,,,,,OB,0,193
21062,jup_ob_sb_ch_ep_blitzkrieg,a&JUP_OB_STICKER_BOOK/VETERAN_EP_BLTZKRIEG_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_EP_BLITZKRIEG_DESC,1,35671,1000,,2,,,,,,OB,0,193
21063,jup_ob_sb_ch_ep_world_tour,a&JUP_OB_STICKER_BOOK/VETERAN_EP_WORLD_TOUR_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_EP_WORLD_TOUR_DESC,1,35670,1000,,3,,,,,,OB,0,193
21069,jup_ob_sb_ch_ep_deaths_icy_grasp,a&JUP_OB_STICKER_BOOK/VETERAN_EP_DEATHS_GRASP_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_EP_DEATHS_GRASP_DESC,1,43600,1000,,4,,,,,,OB,0,193
21065,jup_ob_sb_ch_ep_going_down_swinging,a&JUP_OB_STICKER_BOOK/VETERAN_EP_DOWN_SWINGING_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_EP_DOWN_SWINGING_DESC,1,35669,1000,,5,,,,,,OB,0,193
21066,jup_ob_sb_ch_ep_indigestion,a&JUP_OB_STICKER_BOOK/VETERAN_EP_INDIGESTION_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_EP_INDIGESTION_DESC,1,37182,1000,,6,,,,,,OB,0,193
21067,jup_ob_sb_ch_ep_expert_mastery,a&JUP_OB_STICKER_BOOK/VETERAN_EP_EXPERT_MASTERY_NAME,a&JUP_OB_STICKER_BOOK/VETERAN_EP_EXPERT_MASTERY_DESC,6,43589,2500,,10,21061|21062|21063|21069|21065|21066,,,,,,0,193
