string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized_a,localized_a,localized_a,string,string,string,string,string,string,localized_a,string,string,string,localized_a,localized_a,localized_a,localized_a,localized_a
49,convoy4_disablecomms,a&CP_QUARRY2_OBJECTIVES/CONVOY4_DISABLE_ARMS,a&CP_QUARRY2_OBJECTIVES/DISABLE_EQUIPMENT,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK,2,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
50,convoy4_secure_tower,a&CP_QUARRY2_OBJECTIVES/CONVOY4_SECURE_TOWER,a&CP_QUARRY2_OBJECTIVES/SECURE_TOWER,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK,2,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
51,convoy4_switches,a&CP_QUARRY2_OBJECTIVES/CONVOY4_DISABLE_ARMS_INPUT,a&,0,,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK,2,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
52,convoy4_investigate,a&CP_QUARRY2_OBJECTIVES/INVESTIGATE_TRAIN,a&,0,,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
53,convoy4_restricttrain,a&CP_QUARRY2_OBJECTIVES/RESTRICT_TRAIN,a&,0,,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
54,convoy4_switches_3,a&CP_QUARRY2_OBJECTIVES/CONVOY4_DISABLE_ARMS_3,a&,0,,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
55,convoy4_find_keys,a&CP_QUARRY2_OBJECTIVES/CONVOY4_FIND_KEYS,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK,3,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
56,convoy4_keys_0,a&CP_QUARRY2_OBJECTIVES/CONVOY4_KEYS_0,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK,3,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
57,convoy4_keys_1,a&CP_QUARRY2_OBJECTIVES/CONVOY4_KEYS_1,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK,3,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
58,convoy4_keys_2,a&CP_QUARRY2_OBJECTIVES/CONVOY4_KEYS_2,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK,3,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
59,convoy4_keys_3,a&CP_QUARRY2_OBJECTIVES/CONVOY4_KEYS_3,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK,3,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
60,convoy4_call_train,a&CP_QUARRY2_OBJECTIVES/CONVOY4_CALL_TRAIN,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK,2,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
61,convoy4_take_apache,a&CP_QUARRY2_OBJECTIVES/CONVOY4_TAKEAPACHE,a&,0,,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK,,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
62,convoy4_wait_train,a&CP_QUARRY2_OBJECTIVES/CONVOY4_WAITTRAIN,a&CP_QUARRY2_OBJECTIVES/LABEL_WAIT,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK,3,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
63,convoy4_open_train,a&CP_QUARRY2_OBJECTIVES/CONVOY4_TRAIN_DOOR,a&CP_QUARRY2_OBJECTIVES/LABEL_OPEN,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK,3,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
64,convoy4_take_loot,a&CP_QUARRY2_OBJECTIVES/CONVOY4_TRAIN_LOOT,a&CP_QUARRY2_OBJECTIVES/LABEL_LOOT,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK,3,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
65,convoy4_extraction,a&CP_QUARRY2_OBJECTIVES/FULTON_WAITING,a&CP_QUARRY2_OBJECTIVES/FULTON_WAITING_LABEL,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK,3,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
66,convoy4_fulton,a&CP_QUARRY2_OBJECTIVES/CONVOY4_REGROUP_EXTRACT,a&CP_QUARRY2_OBJECTIVES/ATTACH_FULTON,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK,3,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
67,convoy4_board_ac130,a&CP_QUARRY2_OBJECTIVES/CONVOY4_BOARD_AC130,a&,0,primary,icon_waypoint_objective_general,,,30,25,15,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK,3,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
68,convoy4_kill_smuggler,a&CP_QUARRY2_OBJECTIVES/KILL_SMUGGLER_DESC,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_QUARRY2_OBJECTIVES/QUARRY_ATTACK2,4,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
69,plant_jammers,a&CP_FUBAR/JAM_COMMS,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_plane_hijack_cs,,a&CP_FUBAR/MAIN_TITLE,1,,,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TITLE,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TIME,a&CP_CHYRONS/DONETSK_PLANEHIJACK_LOCATION,a&CP_CHYRONS/DONETSK_PLANEHIJACK_MISC,a&CP_CHYRONS/DONETSK_PLANEHIJACK_SQUAD
70,kill_tunnel_spawns,a&CP_OBJECTIVES/TUNNEL,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_plane_hijack_cs,,a&CP_FUBAR/MAIN_TITLE,1,,,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TITLE,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TIME,a&CP_CHYRONS/DONETSK_PLANEHIJACK_LOCATION,a&CP_CHYRONS/DONETSK_PLANEHIJACK_MISC,a&CP_CHYRONS/DONETSK_PLANEHIJACK_SQUAD
71,equip_disguise,a&CP_FUBAR/EQUIP_DISGUISE,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&CP_FUBAR/EQUIP_DISGUISE,a&,a&,,,,,cp_plane_hijack_cs,,a&CP_FUBAR/MAIN_TITLE,2,,,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TITLE,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TIME,a&CP_CHYRONS/DONETSK_PLANEHIJACK_LOCATION,a&CP_CHYRONS/DONETSK_PLANEHIJACK_MISC,a&CP_CHYRONS/DONETSK_PLANEHIJACK_SQUAD
72,collect_nuclear_core,a&CP_FUBAR/COLLECT_NUCLEAR_CORE,a&,1,primary,icon_waypoint_objective_general,,,180,120,60,,,,,,,1,a&,a&,a&,,,,,cp_plane_hijack_cs,,a&CP_FUBAR/MAIN_TITLE,2,,,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TITLE,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TIME,a&CP_CHYRONS/DONETSK_PLANEHIJACK_LOCATION,a&CP_CHYRONS/DONETSK_PLANEHIJACK_MISC,a&CP_CHYRONS/DONETSK_PLANEHIJACK_SQUAD
73,exfil_plane,a&CP_FUBAR/EXFIL_C130,a&CP_FUBAR/EXIT_ROOM_LABEL,1,primary,icon_waypoint_objective_general,teleport_trigger,script_noteworthy,,15,10,5,,,,,,,1,a&,a&,a&,,,,,cp_plane_hijack_cs,,a&CP_FUBAR/MAIN_TITLE,3,,,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TITLE,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TIME,a&CP_CHYRONS/DONETSK_PLANEHIJACK_LOCATION,a&CP_CHYRONS/DONETSK_PLANEHIJACK_MISC,a&CP_CHYRONS/DONETSK_PLANEHIJACK_SQUAD
74,land_at_lz,a&CP_FUBAR/LAND_AT_LZ,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,6669,1,,a&CP_FUBAR/HOLDOUT_LZ,a&,a&,,,,,cp_plane_hijack_cs,,a&CP_FUBAR/MAIN_TITLE,1,1,,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TITLE,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TIME,a&CP_CHYRONS/DONETSK_PLANEHIJACK_LOCATION,a&CP_CHYRONS/DONETSK_PLANEHIJACK_MISC,a&CP_CHYRONS/DONETSK_PLANEHIJACK_SQUAD
75,infil_plane,a&CP_FUBAR/INFIL_C130,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,6669,1,,a&,a&,a&,,,,,cp_plane_hijack_cs,,a&CP_FUBAR/MAIN_TITLE,1,1,,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TITLE,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TIME,a&CP_CHYRONS/DONETSK_PLANEHIJACK_LOCATION,a&CP_CHYRONS/DONETSK_PLANEHIJACK_MISC,a&CP_CHYRONS/DONETSK_PLANEHIJACK_SQUAD
76,destroy_c130,a&CP_FUBAR/DESTROY_C130,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,6669,1,,a&,a&,a&,,,,,cp_plane_hijack_cs,,a&CP_FUBAR/MAIN_TITLE,1,,,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TITLE,a&CP_CHYRONS/DONETSK_PLANEHIJACK_TIME,a&CP_CHYRONS/DONETSK_PLANEHIJACK_LOCATION,a&CP_CHYRONS/DONETSK_PLANEHIJACK_MISC,a&CP_CHYRONS/DONETSK_PLANEHIJACK_SQUAD
77,obj_caches,a&CP_SMUGGLER/OBJ_PHASE1,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,1000,,,a&,a&,a&,,,,,cp_smugglercaches_north_create_script,,a&CP_SMUGGLER/OBJ_PHASE1,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
78,obj_caches_adv,a&CP_SMUGGLER/OBJ_ADVANCE,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_smugglercaches_north_create_script,,a&CP_SMUGGLER/OBJ_PHASE1,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
79,obj_caches_leads,a&CP_SMUGGLER/WAITING_TO_DECRYPT,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_smugglercaches_north_create_script,,a&CP_SMUGGLER/OBJ_PHASE1,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
80,obj_caches_def,a&CP_SMUGGLER/DECRYPTING_LOCATION,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_smugglercaches_north_create_script,,a&CP_SMUGGLER/OBJ_PHASE1,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
81,obj_caches_end,a&CP_SMUGGLER/OBJ_EXTRACT,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_smugglercaches_north_create_script,,a&CP_SMUGGLER/OBJ_PHASE1,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
82,obj_caches_collect_total_1,a&CP_SMUGGLER/OBJ_COLLECT_TOTAL_1,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_SMUGGLER/OBJ_PHASE1,2,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
83,obj_caches_collect_total_2,a&CP_SMUGGLER/OBJ_COLLECT_TOTAL_2,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_SMUGGLER/OBJ_PHASE1,2,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
84,obj_caches_collect_total_3,a&CP_SMUGGLER/OBJ_COLLECT_TOTAL_3,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_SMUGGLER/OBJ_PHASE1,2,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
85,obj_caches_collect_type_1,a&CP_SMUGGLER/TYPE_PAPER,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_SMUGGLER/OBJ_PHASE1,3,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
86,obj_caches_collect_type_2,a&CP_SMUGGLER/TYPE_CASH,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_SMUGGLER/OBJ_PHASE1,3,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
87,obj_tug_of_war,a&CP_SMUGGLER/OBJ_TUG_OF_WAR,a&,1,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,cp_tugofwar_north_create_script,,a&CP_SMUGGLER/OBJ_TUG_OF_WAR,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
88,obj_apprehension,a&CP_SMUGGLER/OBJ_APPREHENSION,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,cp_tugofwar_north_create_script,,a&CP_SMUGGLER/OBJ_TUG_OF_WAR,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
89,obj_grab_informant,a&CP_SMUGGLER/OBJ_INFORMANT_ATTEMPT,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,cp_tugofwar_north_create_script,,a&CP_SMUGGLER/OBJ_TUG_OF_WAR,1,,,a&,a&,a&,a&,a&
90,obj_rescue_informant,a&CP_SMUGGLER/OBJ_RESCUE_INFORMANT,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,cp_tugofwar_north_create_script,,a&CP_SMUGGLER/OBJ_TUG_OF_WAR,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
91,obj_defend_informant,a&CP_SMUGGLER/OBJ_INFORMANT_SAFE,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,cp_tugofwar_north_create_script,,a&CP_SMUGGLER/OBJ_TUG_OF_WAR,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
92,obj_extract_informant,a&CP_SMUGGLER/OBJ_INFORMANT_EXTRACT,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,cp_tugofwar_north_create_script,,a&CP_SMUGGLER/OBJ_TUG_OF_WAR,1,,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
93,obj_extract_players,a&CP_SMUGGLER/OBJ_EXTRACT,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,cp_tugofwar_north_create_script,,a&CP_SMUGGLER/OBJ_TUG_OF_WAR,1,1,,a&,a&,a&,a&,a&
94,obj_informant_ui,a&CP_SMUGGLER/INFORMANT_HP_UI,a&,0,primary,,,,,,,,,,,,,,a&,a&,a&,,,,,,,a&CP_SMUGGLER/OBJ_TUG_OF_WAR,2,,,a&,a&,a&,a&,a&
95,obj_payload,a&CP_OBJ_PAYLOAD/DESCRIPTION1,a&CP_OBJ_PAYLOAD/ESCORT,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&CP_OBJ_PAYLOAD/DESCRIPTION2,a&,a&,,,,,cp_payloadobjective_cs,,a&CP_OBJ_PAYLOAD/TITLE,,,,a&,a&,a&,a&,a&
