string,string,localized,localized,string,string,string,localized,string,string,string,string,string,string,string,string,string
7948,iw9_ch_pmc_deliver_extract_flamables,&PMC/DELIVER_EXTRACT_FLAMABLES_NAME,&,3,11845,5000,&PMC/DELIVER_EXTRACT_FLAMABLES_DETAIL_DESC,british,50,,,7949|7950|7951,,,,
7949,iw9_ch_pmc_deliver_extract_flamables_gascans,&,&PMC/DELIVER_EXTRACT_FLAMABLES_GASCANS_DESC,5,,0,&,british,,,,,8540,,,
7950,iw9_ch_pmc_deliver_extract_flamables_lethals,&,&PMC/DELIVER_EXTRACT_FLAMABLES_LETHALS_DESC,6,,0,&,british,,,,,,,9099|9095,iw9_loot_id
7951,iw9_ch_pmc_deliver_extract_flamables_items,&,&PMC/DELIVER_EXTRACT_FLAMABLES_ITEMS_DESC,7,,0,&,british,,,,,,,8509|8501|8391|8398|8580|8618,iw9_loot_id
7952,iw9_ch_pmc_moving_vehicle_kill,&PMC/MOVING_VEHICLE_KILL_NAME,&,2,11845,5000,&PMC/MOVING_VEHICLE_KILL_DETAIL_DESC,british,50,,,7953|7954,,,,
7953,iw9_ch_pmc_moving_vehicle_kill_roof,&,&PMC/MOVING_VEHICLE_KILL_ROOF_DESC,10,,0,&,british,,,,,,,,
7954,iw9_ch_pmc_moving_vehicle_kill_lean,&,&PMC/MOVING_VEHICLE_KILL_LEAN_DESC,9,,0,&,british,,,,,,,,
7874,iw9_ch_pmc_sync_uav_control,&PMC/SYNC_UAV_CONTROL_NAME,&PMC/SYNC_UAV_CONTROL_DESC,1,11845,5000,&PMC/SYNC_UAV_CONTROL_DETAIL_DESC,british,50,,,,,,,
7955,iw9_ch_pmc_sept_vehicle_kill,&PMC/SEPT_VEHICLE_KILL_NAME,&PMC/SEPT_VEHICLE_KILL_DESC,7,11845,5000,&PMC/SEPT_VEHICLE_KILL_DETAIL_DESC,british,50,,,,,,,
7956,iw9_ch_pmc_final_exfil_cash,&PMC/FINAL_EXFIL_CASH_NAME,&,2,11845,5000,&PMC/FINAL_EXFIL_CASH_DETAIL_DESC,british,50,,,7957|7958,,,,
7957,iw9_ch_pmc_final_exfil_cash_loot,&,&PMC/FINAL_EXFIL_CASH_LOOT_DESC,1,,0,&,british,,,,,8590,,,
7958,iw9_ch_pmc_final_exfil_cash_exfil,&,&PMC/FINAL_EXFIL_CASH_EXFIL_DESC,3,,0,&,british,,,,,8395,,,
7959,iw9_ch_pmc_mechanics_deaddrop,&PMC/MECHANICS_DEADDROP_NAME,&,3,11845,5000,&PMC/MECHANICS_DEADDROP_DETAIL_DESC,british,50,,,7960|7961|7962,,,,
7960,iw9_ch_pmc_mechanics_deaddrop_torch,&,&PMC/MECHANICS_DEADDROP_TORCH_DESC,6,,0,&,british,,,,,11300,,,
7961,iw9_ch_pmc_mechanics_deaddrop_cable,&,&PMC/MECHANICS_DEADDROP_CABLE_DESC,7,,0,&,british,,,,,11299,,,
7962,iw9_ch_pmc_mechanics_deaddrop_battery,&,&PMC/MECHANICS_DEADDROP_BATTERY_DESC,4,,0,&,british,,,,,11298,,,
7963,iw9_ch_pmc_hydro_gas_story,&PMC/HYDRO_GAS_STORY_NAME,&,2,11845,5000,&PMC/HYDRO_GAS_STORY_DETAIL_DESC,british,50,,,7964|7875,,,,
7964,iw9_ch_pmc_hydro_gas_story_loot,&,&PMC/HYDRO_GAS_STORY_LOOT_DESC,5,,0,&,british,,,,,9096,,,
7875,iw9_ch_pmc_hydro_gas_story_throw,&,&PMC/HYDRO_GAS_STORY_THROW_DESC,1,,0,&,british,,5,,,,,,
7965,iw9_ch_pmc_multi_stronghold_clear,&PMC/MULTI_STRONGHOLD_CLEAR_NAME,&,2,11845,5000,&PMC/MULTI_STRONGHOLD_CLEAR_DETAIL_DESC,british,50,,,7876|7877,,,,
7876,iw9_ch_pmc_multi_stronghold_clear_unlock,&,&PMC/MULTI_STRONGHOLD_CLEAR_UNLOCK_DESC,1,,0,&,british,,3,,,,,,
7877,iw9_ch_pmc_multi_stronghold_clear_clear,&,&PMC/MULTI_STRONGHOLD_CLEAR_CLEAR_DESC,1,,0,&,british,,3,,,,,,
7966,iw9_ch_pmc_ammo_extract,&PMC/AMMO_EXTRACT_NAME,&,3,11845,5000,&PMC/AMMO_EXTRACT_DETAIL_DESC,british,50,,,7967|7968|7969,,,,
7967,iw9_ch_pmc_ammo_extract_pistol,&,&PMC/AMMO_EXTRACT_PISTOL_DESC,950,,0,&,british,,,,,8595,,,
7968,iw9_ch_pmc_ammo_extract_ar,&,&PMC/AMMO_EXTRACT_AR_DESC,1200,,0,&,british,,,,,8434,,,
7969,iw9_ch_pmc_ammo_extract_shotgun,&,&PMC/AMMO_EXTRACT_SHOTGUN_DESC,800,,0,&,british,,,,,8486,,,
7970,iw9_ch_pmc_battle_rifle_kill,&PMC/BATTLE_RIFLE_KILL_NAME,&,2,11845,5000,&PMC/BATTLE_RIFLE_KILL_DETAIL_DESC,british,50,,,7971|7972,,,,
7971,iw9_ch_pmc_battle_rifle_kill_enemies,&,&PMC/BATTLE_RIFLE_KILL_ENEMIES_DESC,30,,0,&,british,,,,,,,,
7972,iw9_ch_pmc_battle_rifle_kill_operators,&,&PMC/BATTLE_RIFLE_KILL_OPERATORS_DESC,10,,0,&,british,,,,,,,,
7973,iw9_ch_pmc_intel_speedrun,&PMC/INTEL_SPEEDRUN_NAME,&PMC/INTEL_SPEEDRUN_DESC,1,11845,5000,&PMC/INTEL_SPEEDRUN_DETAIL_DESC,british,50,,,,,,,
7974,iw9_ch_pmc_radiation_extract,&PMC/RADIATION_EXTRACT_NAME,&,2,11845,5000,&PMC/RADIATION_EXTRACT_DETAIL_DESC,british,50,,,7975|7976,,,,
7975,iw9_ch_pmc_radiation_extract_gasmask,&,&PMC/RADIATION_EXTRACT_GASMASK_DESC,9,,0,&,british,,,,,,,8400|8590,iw9_loot_id
7976,iw9_ch_pmc_radiation_extract_iodine,&,&PMC/RADIATION_EXTRACT_IODINE_DESC,10,,0,&,british,,,,,8473,,,
7977,iw9_ch_pmc_unique_contracts,&PMC/UNIQUE_CONTRACTS_NAME,&PMC/UNIQUE_CONTRACTS_DESC,1,11845,5000,&PMC/UNIQUE_CONTRACTS_DETAIL_DESC,british,50,1,,,,,,
7978,iw9_ch_pmc_car_bomb_story,&PMC/CAR_BOMB_STORY_NAME,&,3,11845,5000,&PMC/CAR_BOMB_STORY_DETAIL_DESC,british,50,,,7878|7854|7879,,,,
7878,iw9_ch_pmc_car_bomb_story_park,&,&PMC/CAR_BOMB_STORY_PARK_DESC,1,,0,&,british,,4,,,,,,
7854,iw9_ch_pmc_car_bomb_story_plant,&,&PMC/CAR_BOMB_STORY_PLANT_DESC,1,,0,&,british,,4,,,,,,
7879,iw9_ch_pmc_car_bomb_story_explode,&,&PMC/CAR_BOMB_STORY_EXPLODE_DESC,1,,0,&,british,,,,,,,,
7848,iw9_ch_pmc_gps_travel_story,&PMC/GPS_TRAVEL_STORY_NAME,&,3,11845,5000,&PMC/GPS_TRAVEL_STORY_DETAIL_DESC,british,50,,,7979|7880|7980,,,,
7979,iw9_ch_pmc_gps_travel_story_loot,&,&PMC/GPS_TRAVEL_STORY_LOOT_DESC,1,,0,&,british,,,,,11200,,,
7880,iw9_ch_pmc_gps_travel_story_travel,&,&PMC/GPS_TRAVEL_STORY_TRAVEL_DESC,1,,0,&,british,,18,,,,,,
7980,iw9_ch_pmc_gps_travel_story_extract,&,&PMC/GPS_TRAVEL_STORY_EXTRACT_DESC,1,,0,&,british,,,,,11200,,,
7840,iw9_ch_pmc_water_caves_story,&PMC/WATER_CAVES_STORY_NAME,&,3,11845,5000,&PMC/WATER_CAVES_STORY_DETAIL_DESC,british,50,,,7881|7981|7982,,,,
7881,iw9_ch_pmc_water_caves_story_enter,&,&PMC/WATER_CAVES_STORY_ENTER_DESC,1,,0,&,british,,,,,,,,
7981,iw9_ch_pmc_water_caves_story_kill,&,&PMC/WATER_CAVES_STORY_KILL_DESC,8,,0,&,british,,,,,,,10004|10005,iw9_weapon_loot_id
7982,iw9_ch_pmc_water_caves_story_extract,&,&PMC/WATER_CAVES_STORY_EXTRACT_DESC,1,,0,&,british,,,,,11197,,,
7847,iw9_ch_pmc_caves_tracking,&PMC/CAVES_TRACKING_NAME,&,3,11845,5000,&PMC/CAVES_TRACKING_DETAIL_DESC,british,50,,,7983|7882|7883,,,,
7983,iw9_ch_pmc_caves_tracking_loot,&,&PMC/CAVES_TRACKING_LOOT_DESC,7,,0,&,british,,,,,11206,,,
7882,iw9_ch_pmc_caves_tracking_plant,&,&PMC/CAVES_TRACKING_PLANT_DESC,1,,0,&,british,,7,,,,,,
7883,iw9_ch_pmc_caves_tracking_download,&,&PMC/CAVES_TRACKING_DOWNLOAD_DESC,1,,0,&,british,,,,,,,,
7984,iw9_ch_pmc_oilfield_camera_story,&PMC/OILFIELD_CAMERA_STORY_NAME,&,3,11845,5000,&PMC/OILFIELD_CAMERA_STORY_DETAIL_DESC,british,50,,,7985|7884|7986,,,,
7985,iw9_ch_pmc_oilfield_camera_story_loot,&,&PMC/OILFIELD_CAMERA_STORY_LOOT_DESC,1,,0,&,british,,,,,9225,,,
7884,iw9_ch_pmc_oilfield_camera_story_plant,&,&PMC/OILFIELD_CAMERA_STORY_PLANT_DESC,1,,0,&,british,,,,,,,,
7986,iw9_ch_pmc_oilfield_camera_story_snapshot,&,&PMC/OILFIELD_CAMERA_STORY_SNAPSHOT_DESC,5,,0,&,british,,,,,,,,
7846,iw9_ch_pmc_treasure_hunt_story,&PMC/TREASURE_HUNT_STORY_NAME,&,3,11845,5000,&PMC/TREASURE_HUNT_STORY_DETAIL_DESC,british,50,,,7987|7988|7989,,,,
7987,iw9_ch_pmc_treasure_hunt_story_first,&,&PMC/TREASURE_HUNT_STORY_FIRST_DESC,1,,0,&,british,,,,,11209,,,
7988,iw9_ch_pmc_treasure_hunt_story_second,&,&PMC/TREASURE_HUNT_STORY_SECOND_DESC,1,,0,&,british,,,,,11208,,,
7989,iw9_ch_pmc_treasure_hunt_story_extract,&,&PMC/TREASURE_HUNT_STORY_EXTRACT_DESC,1,,0,&,british,,,,,11201,,,
7853,iw9_ch_pmc_fort_sewer_story,&PMC/FORT_SEWER_STORY_NAME,&,3,11845,5000,&PMC/FORT_SEWER_STORY_DETAIL_DESC,british,50,,,7885|7886|7729,,,,
7885,iw9_ch_pmc_fort_sewer_story_travel,&,&PMC/FORT_SEWER_STORY_TRAVEL_DESC,1,,0,&,british,,,,,,,,
7886,iw9_ch_pmc_fort_sewer_story_disarm,&,&PMC/FORT_SEWER_STORY_DISARM_DESC,1,,0,&,british,,7,,,,,,
7729,iw9_ch_pmc_fort_sewer_story_extract,&,&PMC/FORT_SEWER_STORY_EXTRACT_DESC,1,,0,&,british,,,,,11263,,,
7990,iw9_ch_pmc_plant_usb_story,&PMC/PLANT_USB_STORY_NAME,&,2,11845,5000,&PMC/PLANT_USB_STORY_DETAIL_DESC,british,50,,,7991|7887,,,,
7991,iw9_ch_pmc_plant_usb_story_loot,&,&PMC/PLANT_USB_STORY_LOOT_DESC,3,,0,&,british,,,,,11262,,,
7887,iw9_ch_pmc_plant_usb_story_plant,&,&PMC/PLANT_USB_STORY_PLANT_DESC,1,,0,&,british,,3,,,,,,
7992,iw9_ch_pmc_train_kills,&PMC/TRAIN_KILLS_NAME,&PMC/TRAIN_KILLS_DESC,7,11845,5000,&PMC/TRAIN_KILLS_DETAIL_DESC,british,50,,,,,,,
7993,iw9_ch_pmc_suppressed_elim,&PMC/SUPPRESSED_ELIM_NAME,&,2,11845,5000,&PMC/SUPPRESSED_ELIM_DETAIL_DESC,british,50,,,7994|7995,,,,
7994,iw9_ch_pmc_suppressed_elim_elim,&,&PMC/SUPPRESSED_ELIM_ELIM_DESC,2,,0,&,british,,,,,,,,
7995,iw9_ch_pmc_suppressed_elim_enemies,&,&PMC/SUPPRESSED_ELIM_ENEMIES_DESC,12,,0,&,british,,,,,,,,
7996,iw9_ch_pmc_computer_delivery,&PMC/COMPUTER_DELIVERY_NAME,&,3,11845,5000,&PMC/COMPUTER_DELIVERY_DETAIL_DESC,british,50,,,7997|7998|7999,,,,
7997,iw9_ch_pmc_computer_delivery_gpu,&,&PMC/COMPUTER_DELIVERY_GPU_DESC,1,,0,&,british,,,,,,,,
7998,iw9_ch_pmc_computer_delivery_console,&,&PMC/COMPUTER_DELIVERY_CONSOLE_DESC,2,,0,&,british,,,,,8415,,,
7999,iw9_ch_pmc_computer_delivery_hdd,&,&PMC/COMPUTER_DELIVERY_HDD_DESC,4,,0,&,british,,,,,,,8483|8567,iw9_loot_id
8000,iw9_ch_pmc_trap_no_down,&PMC/TRAP_NO_DOWN_NAME,&,2,11845,5000,&PMC/TRAP_NO_DOWN_DETAIL_DESC,british,50,,,8001|8002,,,,
8001,iw9_ch_pmc_trap_no_down_start,&,&PMC/TRAP_NO_DOWN_START_DESC,1,,0,&,british,,,,,,,,
8002,iw9_ch_pmc_trap_no_down_end,&,&PMC/TRAP_NO_DOWN_END_DESC,1,,0,&,british,,,,,,,,
8003,iw9_ch_pmc_extract_weapons_case,&PMC/EXTRACT_WEAPONS_CASE_NAME,&,3,11845,5000,&PMC/EXTRACT_WEAPONS_CASE_DETAIL_DESC,british,50,,,8004|8005|8006,,,,
8004,iw9_ch_pmc_extract_weapons_case_end,&,&PMC/EXTRACT_WEAPONS_CASE_END_DESC,3,,0,&,british,,,,,,,,
8005,iw9_ch_pmc_extract_weapons_case_kill,&,&PMC/EXTRACT_WEAPONS_CASE_KILL_DESC,3,,0,&,british,,,,,,,,
8006,iw9_ch_pmc_extract_weapons_case_extract,&,&PMC/EXTRACT_WEAPONS_CASE_EXTRACT_DESC,1,,0,&,british,,,,,8358,,,
8007,iw9_ch_pmc_trap_no_damage,&PMC/TRAP_NO_DAMAGE_NAME,&PMC/TRAP_NO_DAMAGE_DESC,1,11845,5000,&PMC/TRAP_NO_DAMAGE_DETAIL_DESC,british,50,,,,,,,
8008,iw9_ch_pmc_elim_speedrun,&PMC/ELIM_SPEEDRUN_NAME,&PMC/ELIM_SPEEDRUN_DESC,1,11845,5000,&PMC/ELIM_SPEEDRUN_DETAIL_DESC,british,50,,,,,,,
7844,iw9_ch_pmc_modern_city_snipe,&PMC/MODERN_CITY_SNIPE_NAME,&,2,11845,5000,&PMC/MODERN_CITY_SNIPE_DETAIL_DESC,british,50,,,8009|8010,,,,
8009,iw9_ch_pmc_modern_city_snipe_enemies,&,&PMC/MODERN_CITY_SNIPE_ENEMIES_DESC,15,,0,&,british,,,,,,,,
8010,iw9_ch_pmc_modern_city_snipe_players,&,&PMC/MODERN_CITY_SNIPE_PLAYERS_DESC,6,,0,&,british,,,,,,,,
8011,iw9_ch_pmc_infil_solo_extract_no_weapons,&PMC/INFIL_SOLO_EXTRACT_NO_WEAPONS_NAME,&,2,11845,5000,&PMC/INFIL_SOLO_EXTRACT_NO_WEAPONS_DETAIL_DESC,british,50,,,7888|7889,,,,
7888,iw9_ch_pmc_infil_solo_extract_no_weapons_infil,&,&PMC/INFIL_SOLO_EXTRACT_NO_WEAPONS_INFIL_DESC,1,,0,&,british,,,,,,,,
7889,iw9_ch_pmc_infil_solo_extract_no_weapons_exfil,&,&PMC/INFIL_SOLO_EXTRACT_NO_WEAPONS_EXFIL_DESC,1,,0,&,british,,,,,,,,
8012,iw9_ch_pmc_wine_delivery,&PMC/WINE_DELIVERY_NAME,&,3,11845,5000,&PMC/WINE_DELIVERY_DETAIL_DESC,british,50,,,8013|8014|8015,,,,
8013,iw9_ch_pmc_wine_delivery_wine,&,&PMC/WINE_DELIVERY_WINE_DESC,9,,0,&,british,,,,,,,8578|8448|8547,iw9_loot_id
8014,iw9_ch_pmc_wine_delivery_aged,&,&PMC/WINE_DELIVERY_AGED_DESC,5,,0,&,british,,,,,,,8448|8547,iw9_loot_id
8015,iw9_ch_pmc_wine_delivery_vintage,&,&PMC/WINE_DELIVERY_VINTAGE_DESC,2,,0,&,british,,,,,8547,,,
7845,iw9_ch_pmc_large_cash_valuables_extract,&PMC/LARGE_CASH_VALUABLES_EXTRACT_NAME,&PMC/LARGE_CASH_VALUABLES_EXTRACT_DESC,1,11845,5000,&PMC/LARGE_CASH_VALUABLES_EXTRACT_DETAIL_DESC,british,50,,,,,,,
8016,iw9_ch_pmc_extract_photos,&PMC/EXTRACT_PHOTOS_NAME,&,3,11845,5000,&PMC/EXTRACT_PHOTOS_DETAIL_DESC,british,50,,,8017|8018|8019,,,,
8017,iw9_ch_pmc_extract_photos_diagrams,&,&PMC/EXTRACT_PHOTOS_DIAGRAMS_DESC,8,,0,&,british,,,,,,,11203|11202|11198,iw9_loot_id
8018,iw9_ch_pmc_extract_photos_photos,&,&PMC/EXTRACT_PHOTOS_PHOTOS_DESC,8,,0,&,british,,,,,,,11204|11205|11207,iw9_loot_id
8019,iw9_ch_pmc_extract_photos_intel,&,&PMC/EXTRACT_PHOTOS_INTEL_DESC,4,,0,&,british,,,,,11079,,,
8020,iw9_ch_pmc_observatory_dmr,&PMC/OBSERVATORY_DMR_NAME,&PMC/OBSERVATORY_DMR_DESC,35,11845,5000,&PMC/OBSERVATORY_DMR_DETAIL_DESC,british,50,,,,,,,
7849,iw9_ch_pmc_loot_supply_drops,&PMC/LOOT_SUPPLY_DROPS_NAME,&PMC/LOOT_SUPPLY_DROPS_DESC,1,11845,5000,&PMC/LOOT_SUPPLY_DROPS_DETAIL_DESC,british,50,5,,,,,,
8021,iw9_ch_pmc_suppressed_melee_kills,&PMC/SUPPRESSED_MELEE_KILLS_NAME,&,2,11845,5000,&PMC/SUPPRESSED_MELEE_KILLS_DETAIL_DESC,british,50,,,8022|8023,,,,
8022,iw9_ch_pmc_suppressed_melee_kills_smg,&,&PMC/SUPPRESSED_MELEE_KILLS_SMG_DESC,30,,0,&,british,,,,,,,,
8023,iw9_ch_pmc_suppressed_melee_kills_melee,&,&PMC/SUPPRESSED_MELEE_KILLS_MELEE_DESC,8,,0,&,british,,,,,,,,
8024,iw9_ch_pmc_gold_delivery,&PMC/GOLD_DELIVERY_NAME,&,2,11845,5000,&PMC/GOLD_DELIVERY_DETAIL_DESC,british,50,,,8025|8026,,,,
8025,iw9_ch_pmc_gold_delivery_bars,&,&PMC/GOLD_DELIVERY_BARS_DESC,5,,0,&,british,,,,,8380,,,
8026,iw9_ch_pmc_gold_delivery_skull,&,&PMC/GOLD_DELIVERY_SKULL_DESC,2,,0,&,british,,,,,8619,,,
8027,iw9_ch_pmc_execute_kill_stunned,&PMC/EXECUTE_KILL_STUNNED_NAME,&,2,11845,5000,&PMC/EXECUTE_KILL_STUNNED_DETAIL_DESC,british,50,,,8028|8029,,,,
8028,iw9_ch_pmc_execute_kill_stunned_kill,&,&PMC/EXECUTE_KILL_STUNNED_KILL_DESC,12,,0,&,british,,,,,,,,
8029,iw9_ch_pmc_execute_kill_stunned_execute,&,&PMC/EXECUTE_KILL_STUNNED_EXECUTE_DESC,5,,0,&,british,,,,,,,,
8030,iw9_ch_pmc_thermal_ranged_sniper,&PMC/THERMAL_RANGED_SNIPER_NAME,&PMC/THERMAL_RANGED_SNIPER_DESC,41,11845,5000,&PMC/THERMAL_RANGED_SNIPER_DETAIL_DESC,british,50,,,,,,,
8031,iw9_ch_pmc_unique_poi_contracts,&PMC/UNIQUE_POI_CONTRACTS_NAME,&PMC/UNIQUE_POI_CONTRACTS_DESC,1,11845,5000,&PMC/UNIQUE_POI_CONTRACTS_DETAIL_DESC,british,50,8,,,,,,
8032,iw9_ch_pmc_extract_weapons_case_streak,&PMC/EXTRACT_WEAPONS_CASE_STREAK_NAME,&PMC/EXTRACT_WEAPONS_CASE_STREAK_DESC,1,11845,5000,&PMC/EXTRACT_WEAPONS_CASE_STREAK_DETAIL_DESC,british,50,3,,,8358,,,
8033,iw9_ch_pmc_tech_killstreak_extraction,&PMC/TECH_KILLSTREAK_EXTRACTION_NAME,&,3,11845,5000,&PMC/TECH_KILLSTREAK_EXTRACTION_DETAIL_DESC,british,50,,,8034|8035|8036,,,,
8034,iw9_ch_pmc_tech_killstreak_extraction_uav,&,&PMC/TECH_KILLSTREAK_EXTRACTION_UAV_DESC,15,,0,&,british,,,,,,,9145|9179||9170,iw9_loot_id
8035,iw9_ch_pmc_tech_killstreak_extraction_drone,&,&PMC/TECH_KILLSTREAK_EXTRACTION_DRONE_DESC,12,,0,&,british,,,,,9236,,,
8036,iw9_ch_pmc_tech_killstreak_extraction_drive,&,&PMC/TECH_KILLSTREAK_EXTRACTION_DRIVE_DESC,20,,0,&,british,,,,,,,8567|8483|8538,iw9_loot_id
8037,iw9_ch_pmc_dog_tag_extract_kill,&PMC/DOG_TAG_EXTRACT_KILL_NAME,&,2,11845,5000,&PMC/DOG_TAG_EXTRACT_KILL_DETAIL_DESC,british,50,,,8038|8039,,,,
8038,iw9_ch_pmc_dog_tag_extract_kill_extract,&,&PMC/DOG_TAG_EXTRACT_KILL_EXTRACT_DESC,15,,0,&,british,,,,,8516,,,
8039,iw9_ch_pmc_dog_tag_extract_kill_kill,&,&PMC/DOG_TAG_EXTRACT_KILL_KILL_DESC,10,,0,&,british,,,,,,,,
8040,iw9_ch_pmc_hunt_streak,&PMC/HUNT_STREAK_NAME,&PMC/HUNT_STREAK_DESC,1,11845,5000,&PMC/HUNT_STREAK_DETAIL_DESC,british,50,3,,,,,,
8041,iw9_ch_pmc_locked_stronghold_kills,&PMC/LOCKED_STRONGHOLD_KILLS_NAME,&,2,11845,5000,&PMC/LOCKED_STRONGHOLD_KILLS_DETAIL_DESC,british,50,,,8042|8043,,,,
8042,iw9_ch_pmc_locked_stronghold_kills_ping,&,&PMC/LOCKED_STRONGHOLD_KILLS_PING_DESC,8,,0,&,british,,,,,9092,,,
8043,iw9_ch_pmc_locked_stronghold_kills_kill,&,&PMC/LOCKED_STRONGHOLD_KILLS_KILL_DESC,16,,0,&,british,,,,,,,,
8044,iw9_ch_pmc_kill_armored,&PMC/KILL_ARMORED_NAME,&,3,11845,5000,&PMC/KILL_ARMORED_DETAIL_DESC,british,50,,,8045|8046|8047,,,,
8045,iw9_ch_pmc_kill_armored_armor,&,&PMC/KILL_ARMORED_ARMOR_DESC,15,,0,&,british,,,,,,,,
8046,iw9_ch_pmc_kill_armored_riot,&,&PMC/KILL_ARMORED_RIOT_DESC,9,,0,&,british,,,,,,,,
8047,iw9_ch_pmc_kill_armored_heli,&,&PMC/KILL_ARMORED_HELI_DESC,4,,0,&,british,,,,,,,,
8048,iw9_ch_pmc_hostage_speedrun,&PMC/HOSTAGE_SPEEDRUN_NAME,&PMC/HOSTAGE_SPEEDRUN_DESC,1,11845,5000,&PMC/HOSTAGE_SPEEDRUN_DETAIL_DESC,british,50,,,,,,,
8049,iw9_ch_pmc_grenade_deliver_extract,&PMC/GRENADE_DELIVER_EXTRACT_NAME,&,3,11845,5000,&PMC/GRENADE_DELIVER_EXTRACT_DETAIL_DESC,british,50,,,8050|8051|8052,,,,
8050,iw9_ch_pmc_grenade_deliver_extract_mines,&,&PMC/GRENADE_DELIVER_EXTRACT_MINES_DESC,7,,0,&,british,,,,,,,9084|9094,iw9_loot_id
8051,iw9_ch_pmc_grenade_deliver_extract_thermite,&,&PMC/GRENADE_DELIVER_EXTRACT_THERMITE_DESC,1,,0,&,british,,5,,,9095,,,
8052,iw9_ch_pmc_grenade_deliver_extract_frag,&,&PMC/GRENADE_DELIVER_EXTRACT_FRAG_DESC,1,,0,&,british,,13,,,9129,,,
7890,iw9_ch_pmc_full_backpack_loadout,&PMC/FULL_BACKPACK_LOADOUT_NAME,&PMC/FULL_BACKPACK_LOADOUT_DESC,3,11845,5000,&PMC/FULL_BACKPACK_LOADOUT_DETAIL_DESC,british,50,,,,,,,
8053,iw9_ch_pmc_deliver_supplies,&PMC/DELIVER_SUPPLIES_NAME,&,3,11845,5000,&PMC/DELIVER_SUPPLIES_DETAIL_DESC,british,50,,,8054|8055|8056,,,,
8054,iw9_ch_pmc_deliver_supplies_toothpaste,&,&PMC/DELIVER_SUPPLIES_TOOTHPASTE_DESC,8,,0,&,british,,,,,8356,,,
8055,iw9_ch_pmc_deliver_supplies_tape,&,&PMC/DELIVER_SUPPLIES_TAPE_DESC,9,,0,&,british,,,,,8389,,,
8056,iw9_ch_pmc_deliver_supplies_food,&,&PMC/DELIVER_SUPPLIES_FOOD_DESC,8,,0,&,british,,,,,8511,,,
8057,iw9_ch_pmc_multiple_contract_speedrun,&PMC/MULTIPLE_CONTRACT_SPEEDRUN_NAME,&PMC/MULTIPLE_CONTRACT_SPEEDRUN_DESC,4,11845,5000,&PMC/MULTIPLE_CONTRACT_SPEEDRUN_DETAIL_DESC,british,50,,,,,,,
8058,iw9_ch_pmc_shotgun_kills,&PMC/SHOTGUN_KILLS_NAME,&,3,11845,5000,&PMC/SHOTGUN_KILLS_DETAIL_DESC,british,50,,,8059|8060|8061,,,,
8059,iw9_ch_pmc_shotgun_kills_enemies,&,&PMC/SHOTGUN_KILLS_ENEMIES_DESC,25,,0,&,british,,,,,,,,
8060,iw9_ch_pmc_shotgun_kills_operators,&,&PMC/SHOTGUN_KILLS_OPERATORS_DESC,15,,0,&,british,,,,,,,,
8061,iw9_ch_pmc_shotgun_kills_melee,&,&PMC/SHOTGUN_KILLS_MELEE_DESC,1,,0,&,british,,,,,,,,
7841,iw9_ch_pmc_humanitarian_extract,&PMC/HUMANITARIAN_EXTRACT_NAME,&,3,11845,5000,&PMC/HUMANITARIAN_EXTRACT_DETAIL_DESC,british,50,,,8062|8063|8064,,,,
8062,iw9_ch_pmc_humanitarian_extract_bandage,&,&PMC/HUMANITARIAN_EXTRACT_BANDAGE_DESC,6,,0,&,british,,,,,8391,,,
8063,iw9_ch_pmc_humanitarian_extract_revive,&,&PMC/HUMANITARIAN_EXTRACT_REVIVE_DESC,10,,0,&,british,,,,,8548,,,
8064,iw9_ch_pmc_humanitarian_extract_asprin,&,&PMC/HUMANITARIAN_EXTRACT_ASPRIN_DESC,8,,0,&,british,,,,,8508,,,
8065,iw9_ch_pmc_gold_decho_extract,&PMC/GOLD_DECHO_EXTRACT_NAME,&,2,11845,5000,&PMC/GOLD_DECHO_EXTRACT_DETAIL_DESC,british,50,,,7891|8066,,,,
7891,iw9_ch_pmc_gold_decho_extract_unlock,&,&PMC/GOLD_DECHO_EXTRACT_UNLOCK_DESC,1,,0,&,british,,,,,,,,
8066,iw9_ch_pmc_gold_decho_extract_extract,&,&PMC/GOLD_DECHO_EXTRACT_EXTRACT_DESC,1,,0,&,british,,,,,11324,,,
8067,iw9_ch_pmc_hero_stronghold_clears,&PMC/HERO_STRONGHOLD_CLEARS_NAME,&PMC/HERO_STRONGHOLD_CLEARS_DESC,1,11845,5000,&PMC/HERO_STRONGHOLD_CLEARS_DETAIL_DESC,british,50,3,,,,,,
8068,iw9_ch_pmc_lmg_attachment_kill,&PMC/LMG_ATTACHMENT_KILL_NAME,&,3,11845,5000,&PMC/LMG_ATTACHMENT_KILL_DETAIL_DESC,british,50,,,8069|8070|8071,,,,
8069,iw9_ch_pmc_lmg_attachment_kill_enemies,&,&PMC/LMG_ATTACHMENT_KILL_ENEMIES_DESC,20,,0,&,british,,,,,,,,
8070,iw9_ch_pmc_lmg_attachment_kill_headshots,&,&PMC/LMG_ATTACHMENT_KILL_HEADSHOTS_DESC,5,,0,&,british,,,,,,,,
8071,iw9_ch_pmc_lmg_attachment_kill_players,&,&PMC/LMG_ATTACHMENT_KILL_PLAYERS_DESC,20,,0,&,british,,,,,,,,
