string,string,localized,localized,string,string,string,string,string
1755,iw9_ch_gs_la_kgolf_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_DEFENDER_DESC,2|5|8|10|15|20|25|30|40,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
1122,iw9_ch_gs_la_kgolf_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_AERIAL_DESC,5|10|15|25|35|45|55|65|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
3818,iw9_ch_gs_la_kgolf_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_GROUND_DESC,5|10|15|25|35|45|55|65|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
2677,iw9_ch_gs_la_kgolf_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_SPOTTER_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
226,iw9_ch_gs_la_kgolf_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_SUPPORT_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
938,iw9_ch_gs_la_kgolf_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_ALLKS_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
2757,iw9_ch_gs_la_kgolf_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_WARHEAD_DESC,5|10|15|20|25|30|35|40|50,2026081|2026082|2026083|2026084|2026085|2026086|2026087|2026088|2026089,100|100|100|150|150|200|200|250|300,,
1895,iw9_ch_gs_la_kgolf_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_VEHICLE_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
3123,iw9_ch_gs_la_rpapa7_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,5|10|20|30|45|60|80|100|125,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
2837,iw9_ch_gs_la_rpapa7_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_ATTACKER_DESC,2|5|8|10|15|20|25|30|40,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
1816,iw9_ch_gs_la_rpapa7_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_DEFENDER_DESC,2|5|8|10|15|20|25|30|40,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
2845,iw9_ch_gs_la_rpapa7_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_AERIAL_DESC,5|10|15|25|35|45|55|65|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
393,iw9_ch_gs_la_rpapa7_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_GROUND_DESC,5|10|15|25|35|45|55|65|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
4037,iw9_ch_gs_la_rpapa7_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_SPOTTER_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
4055,iw9_ch_gs_la_rpapa7_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_SUPPORT_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
1129,iw9_ch_gs_la_rpapa7_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_ALLKS_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
2924,iw9_ch_gs_la_rpapa7_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_WARHEAD_DESC,5|10|15|20|25|30|35|40|50,2023081|2023082|2023083|2023084|2023085|2023086|2023087|2023088|2023089,100|100|100|150|150|200|200|250|300,,
3862,iw9_ch_gs_la_rpapa7_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_LAUNCHER_VEHICLE_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|200|250|300,,
2673,iw9_ch_gs_lm_kilo121_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,25|50|75|125|175|250|325|400|525,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
4022,iw9_ch_gs_lm_kilo121_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HEADSHOTS_DESC,5|10|15|25|35|45|55|65|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
113,iw9_ch_gs_lm_kilo121_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STANCECHANGE_DESC,5|10|15|20|25|35|45|55|65,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
407,iw9_ch_gs_lm_kilo121_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HIPFIRE_DESC,2|4|6|9|12|15|20|30|45,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
2776,iw9_ch_gs_lm_kilo121_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DISTANCESHOT_DESC,2|6|10|15|20|25|30|35|45,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
474,iw9_ch_gs_lm_kilo121_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_MOUNTED_DESC,2|4|6|10|15|20|25|35|45,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
2593,iw9_ch_gs_lm_kilo121_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_FULLATTACHMENTS_DESC,10|25|40|60|80|100|120|150|180,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
3098,iw9_ch_gs_lm_kilo121_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DOUBLEKILL_DESC,1|3|6|9|12|16|20|25|30,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
843,iw9_ch_gs_lm_kilo121_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_NOATTACHMENTS_DESC,5|10|15|25|35|45|55|65|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
3981,iw9_ch_gs_lm_kilo121_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STREAKS_DESC,2|4|6|8|10|13|16|19|25,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
4030,iw9_ch_gs_lm_lima86_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,25|50|75|125|175|250|325|400|525,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
122,iw9_ch_gs_lm_lima86_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HEADSHOTS_DESC,5|10|15|25|35|45|55|65|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
992,iw9_ch_gs_lm_lima86_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STANCECHANGE_DESC,5|10|15|20|25|35|45|55|65,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
1939,iw9_ch_gs_lm_lima86_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HIPFIRE_DESC,2|4|6|9|12|15|20|30|45,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
3930,iw9_ch_gs_lm_lima86_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DISTANCESHOT_DESC,2|6|10|15|20|25|30|35|45,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
426,iw9_ch_gs_lm_lima86_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_MOUNTED_DESC,2|4|6|10|15|20|25|35|45,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
178,iw9_ch_gs_lm_lima86_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_FULLATTACHMENTS_DESC,10|25|40|60|80|100|120|150|180,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
35,iw9_ch_gs_lm_lima86_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DOUBLEKILL_DESC,1|3|6|9|12|16|20|25|30,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
4058,iw9_ch_gs_lm_lima86_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_NOATTACHMENTS_DESC,5|10|15|25|35|45|55|65|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
694,iw9_ch_gs_lm_lima86_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STREAKS_DESC,2|4|6|8|10|13|16|19|25,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
3048,iw9_ch_gs_lm_mgolf34_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,25|50|75|125|175|250|325|400|525,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
3120,iw9_ch_gs_lm_mgolf34_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HEADSHOTS_DESC,5|10|15|25|35|45|55|65|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
2645,iw9_ch_gs_lm_mgolf34_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STANCECHANGE_DESC,5|10|15|20|25|35|45|55|65,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
2703,iw9_ch_gs_lm_mgolf34_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HIPFIRE_DESC,2|4|6|9|12|15|20|30|45,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
2682,iw9_ch_gs_lm_mgolf34_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DISTANCESHOT_DESC,2|6|10|15|20|25|30|35|45,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
525,iw9_ch_gs_lm_mgolf34_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_MOUNTED_DESC,2|4|6|10|15|20|25|35|45,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
1130,iw9_ch_gs_lm_mgolf34_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_FULLATTACHMENTS_DESC,10|25|40|60|80|100|120|150|180,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
2739,iw9_ch_gs_lm_mgolf34_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DOUBLEKILL_DESC,1|3|6|9|12|16|20|25|30,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
2892,iw9_ch_gs_lm_mgolf34_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_NOATTACHMENTS_DESC,5|10|15|25|35|45|55|65|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
2699,iw9_ch_gs_lm_mgolf34_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STREAKS_DESC,2|4|6|8|10|13|16|19|25,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
3937,iw9_ch_gs_lm_pkilo_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,25|50|75|125|175|250|325|400|525,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
3922,iw9_ch_gs_lm_pkilo_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HEADSHOTS_DESC,5|10|15|25|35|45|55|65|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
891,iw9_ch_gs_lm_pkilo_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STANCECHANGE_DESC,5|10|15|20|25|35|45|55|65,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
464,iw9_ch_gs_lm_pkilo_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HIPFIRE_DESC,2|4|6|9|12|15|20|30|45,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
4061,iw9_ch_gs_lm_pkilo_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DISTANCESHOT_DESC,2|6|10|15|20|25|30|35|45,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
4069,iw9_ch_gs_lm_pkilo_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_MOUNTED_DESC,2|4|6|10|15|20|25|35|45,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
34,iw9_ch_gs_lm_pkilo_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_FULLATTACHMENTS_DESC,10|25|40|60|80|100|120|150|180,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
1737,iw9_ch_gs_lm_pkilo_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DOUBLEKILL_DESC,1|3|6|9|12|16|20|25|30,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
108,iw9_ch_gs_lm_pkilo_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_NOATTACHMENTS_DESC,5|10|15|25|35|45|55|65|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
1940,iw9_ch_gs_lm_pkilo_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STREAKS_DESC,2|4|6|8|10|13|16|19|25,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
4004,iw9_ch_gs_me_knife_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,10|25|40|55|80|110|140|170|200,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
2862,iw9_ch_gs_me_knife_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_INJURED_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
2939,iw9_ch_gs_me_knife_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_BACKSTAB_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
2787,iw9_ch_gs_me_knife_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DEADSILENCE_DESC,2|4|6|9|12|15|19|24|30,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
561,iw9_ch_gs_me_knife_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STANCECHANGE_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
3023,iw9_ch_gs_me_knife_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DOUBLEKILL_DESC,1|3|6|9|12|15|18|21|25,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
3003,iw9_ch_gs_me_knife_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_SMOKE_DESC,1|3|6|9|12|15|18|21|25,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
1793,iw9_ch_gs_me_knife_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_BUZZKILL_DESC,1|2|3|4|5|6|7|8|10,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
1132,iw9_ch_gs_me_knife_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_EXECUTION_DESC,1|3|6|9|12|15|18|21|25,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
2960,iw9_ch_gs_me_knife_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STREAKS_DESC,1|2|3|4|5|6|7|8|10,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
4060,iw9_ch_gs_me_riotshield_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,10|25|40|55|80|110|140|170|200,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
287,iw9_ch_gs_me_riotshield_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_INJURED_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
460,iw9_ch_gs_me_riotshield_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_BACKSTAB_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
3944,iw9_ch_gs_me_riotshield_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DEADSILENCE_DESC,2|4|6|9|12|15|19|24|30,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
311,iw9_ch_gs_me_riotshield_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STANCECHANGE_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
703,iw9_ch_gs_me_riotshield_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_RIOT_STREAK_SMALL_DESC,1|3|6|9|12|15|18|21|25,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
1084,iw9_ch_gs_me_riotshield_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_SMOKE_DESC,1|3|6|9|12|15|18|21|25,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
408,iw9_ch_gs_me_riotshield_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_BUZZKILL_DESC,1|2|3|4|5|6|7|8|10,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
778,iw9_ch_gs_me_riotshield_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_EXECUTION_DESC,1|3|6|9|12|15|18|21|25,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
916,iw9_ch_gs_me_riotshield_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STREAKS_DESC,1|3|6|9|12|15|18|21|25,3945|3945|3945|3945|3945|3945|3945|3945|3945,125|125|250|375|375|500|625|625|750,,
1008,iw9_ch_gs_pi_cpapa_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,10|25|40|55|70|100|150|200|250,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
2872,iw9_ch_gs_pi_cpapa_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HEADSHOTS_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
3125,iw9_ch_gs_pi_cpapa_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STANCECHANGE_DESC,2|5|8|10|15|20|25|30|40,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
744,iw9_ch_gs_pi_cpapa_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HIPFIRE_DESC,1|3|6|9|12|16|20|25|30,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
769,iw9_ch_gs_pi_cpapa_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DISTANCESHOT_DESC,1|3|6|9|12|16|20|25|30,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
251,iw9_ch_gs_pi_cpapa_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DOUBLEKILL_DESC,1|3|6|9|12|15|18|21|25,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
2971,iw9_ch_gs_pi_cpapa_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_FULLATTACHMENTS_DESC,5|15|25|35|45|60|75|90|110,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
543,iw9_ch_gs_pi_cpapa_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_RELOADKILL_DESC,2|4|6|8|10|13|16|19|25,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
2987,iw9_ch_gs_pi_cpapa_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_NOATTACHMENTS_DESC,5|10|15|25|35|45|55|65|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
3971,iw9_ch_gs_pi_cpapa_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STREAKS_DESC,2|4|6|8|10|13|16|19|25,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
792,iw9_ch_gs_pi_decho_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,10|25|40|55|70|100|150|200|250,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
2685,iw9_ch_gs_pi_decho_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HEADSHOTS_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
2951,iw9_ch_gs_pi_decho_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STANCECHANGE_DESC,2|5|8|10|15|20|25|30|40,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
3121,iw9_ch_gs_pi_decho_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HIPFIRE_DESC,1|3|6|9|12|16|20|25|30,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
2772,iw9_ch_gs_pi_decho_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DISTANCESHOT_DESC,1|3|6|9|12|16|20|25|30,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
1047,iw9_ch_gs_pi_decho_camo_06b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DOUBLEKILL_DESC,1|3|6|9|12|15|18|21|25,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
573,iw9_ch_gs_pi_decho_camo_07b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_FULLATTACHMENTS_DESC,5|15|25|35|45|60|75|90|110,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
1137,iw9_ch_gs_pi_decho_camo_08b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_RELOADKILL_DESC,2|4|6|8|10|13|16|19|25,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
600,iw9_ch_gs_pi_decho_camo_09b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_NOATTACHMENTS_DESC,5|10|15|25|35|45|55|65|75,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
572,iw9_ch_gs_pi_decho_camo_10b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STREAKS_DESC,2|4|6|8|10|13|16|19|25,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
762,iw9_ch_gs_pi_golf21_camo_01b,&CHALLENGE/NAME_NONE,&CHALLENGE/GS_KILLS,10|25|40|55|70|100|150|200|250,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
1872,iw9_ch_gs_pi_golf21_camo_02b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HEADSHOTS_DESC,5|10|15|20|25|30|35|40|50,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
240,iw9_ch_gs_pi_golf21_camo_03b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_STANCECHANGE_DESC,2|5|8|10|15|20|25|30|40,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
863,iw9_ch_gs_pi_golf21_camo_04b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_HIPFIRE_DESC,1|3|6|9|12|16|20|25|30,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
2712,iw9_ch_gs_pi_golf21_camo_05b,&CHALLENGE/NAME_NONE,&CHALLENGE/CAMO_DISTANCESHOT_DESC,1|3|6|9|12|16|20|25|30,3945|3945|3945|3945|3945|3945|3945|3945|3945,100|100|100|150|150|200|250|375|500,,
