string,localized_a,localized_a,string,string,string,string,string,localized_a,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,localized_a,string,string,string,string,string,int,int,string,string,string,int,int,int,int,string
dmz,a&LUA_MENU_MP/DMZ,a&LUA_MENU_MP/DMZ_DESC,icon_mode_dmz,0,0,Alternate,,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mode_dmz,icon_mode_dmz,1,1,1,0,1,20,0,icon_mode_dmz,a&LUA_MENU_MP/CDL_DOM_NAME,br_dmz,br_dmz_offline.cfg,br,hud_splash_gamemode_hexagon_rotated,hud_splash_gamemode_hexagon_rotated_topo,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,jup_mp_splash_message_hexagone_topo
risk,a&LUA_MENU_MP/RISK,a&LUA_MENU_MP/RISK_DESC,icon_mode_mp_war,1,1,Alternate,,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/BTM_HINT,a&OBJECTIVES/BTM_HINT,0,1,icon_mode_mp_war,icon_mode_mp_war_tier1,1,1,1.1,0,1.5,40,0,icon_mode_mp_war,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,jup_mp_splash_message_homeplate_topo
cp_survival,a&LUA_MENU_MP/TAC_OPS,a&LUA_MENU_MP/TAC_OPS,icon_cp_mode_tacops,,,Alternate,cp_dwn_twn_2,a&,a&,a&,,,,,1,1,1,0,1,60,0,icon_cp_mode_tacops,a&LUA_MENU_MP/CDL_DOM_NAME,,,,,,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,
cp_wave_sv,a&LUA_MENU_CP/WAVE_SURVIVAL,a&PLAYLIST/SURVIVAL_DESC,icon_cp_mode_tacops,,,Alternate,cp_sv_aniyah,a&,a&,a&,,,,,1,1,1,0,1,60,0,icon_cp_mode_tacops,a&LUA_MENU_MP/CDL_DOM_NAME,,,,,,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,
cp_specops,a&LUA_MENU_CP/CLASSIC_MISSIONS,a&LUA_MENU_CP/CLASSIC_MISSIONS_DESC,icon_mode_cp_mission,,,Alternate,cp_so_highway,a&,a&,a&,,,,,1,1,1,0,1,60,0,icon_mode_cp_mission,a&LUA_MENU_MP/CDL_DOM_NAME,,,,,,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,
incursion,a&LUA_MENU_CP/INCURSION,a&LUA_MENU_CP/INCURSION_DESC,icon_mode_cp_mission,,,Alternate,cp_raid_proto,a&,a&,a&,,,,,1,1,1,0,1,60,0,icon_mode_cp_mission,a&LUA_MENU_MP/CDL_DOM_NAME,,,,,,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,
missions,a&LUA_MENU_CP/MISSIONS,a&LUA_MENU_CP/MISSIONS_DESC,icon_mode_cp_mission,,,Alternate,cp_mission_bads,a&,a&,a&,,,,,1,1,1,0,1,60,0,icon_mode_cp_mission,a&LUA_MENU_MP/CDL_DOM_NAME,,,,,,0,0,menu_keyart_quickplay_layer_00,menu_keyart_quickplay_layer_01,,0,0,0,0,
cqc,a&LUA_MENU_CP/CQC,a&LUA_MENU_CP/CQC_DESC,icon_mode_cp_mission,,,Alternate,cp_mission_nuke,a&,a&,a&,,,,,1,1,1,0,1,60,0,icon_mode_cp_mission,a&LUA_MENU_MP/CDL_DOM_NAME,,,,,,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,
private_arena,a&LUA_MENU_MP/ARENA,a&LUA_MENU_MP/ARENA_DESC,icon_mode_mp_arena,1,1,PrivateTournament,mp_m_alley,a&LUA_MENU/WARGAME_TEAM_DEATHMATCH,a&OBJECTIVES/WAR_HINT,a&OBJECTIVES/WAR_HINT,0,1,icon_mp_mode_arena_hcore,icon_mp_mode_arena_realism,1,1,1.5,0,1.5,60,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,arena,,,hud_splash_gamemode_diamond,hud_splash_gamemode_diamond_topo,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,1,0,0,0,0,jup_mp_splash_message_diamond_topo
private_arena_test,a&LUA_MENU_MP/WAVE_SURVIVAL,a&LUA_MENU_MP/ARENA_DESC,icon_mode_mp_arena,1,1,PrivateTournament,mp_m_alley,a&LUA_MENU/WARGAME_TEAM_DEATHMATCH,a&OBJECTIVES/WAR_HINT,a&OBJECTIVES/WAR_HINT,0,1,icon_mp_mode_arena_hcore,icon_mp_mode_arena_realism,1,1,1.5,0,1.5,60,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,barena,,,hud_splash_gamemode_diamond,hud_splash_gamemode_diamond_topo,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,1,0,0,0,0,jup_mp_splash_message_diamond_topo
private_br_solo,a&PLAYLIST/BRSOLO_NAME,a&LUA_MENU_MP/SOLOBR_DESC,icon_mode_wz_br,0,0,BattleRoyale,mp_saba2,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_solos,br_solos.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_br_al_mazrah_layer_00,menu_keyart_br_al_mazrah_layer_00,1,0,0,0,0,jup_mp_splash_message_mountain_topo
private_br_duos,a&PLAYLIST/BRDUOS_NAME,a&LUA_MENU_MP/DUOSBR_DESC,icon_mode_wz_br_duos,0,0,BattleRoyale,mp_saba2,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_duos,br_duos.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_br_al_mazrah_layer_00,menu_keyart_br_al_mazrah_layer_00,1,0,0,0,0,jup_mp_splash_message_mountain_topo
private_br_trios,a&PLAYLIST/BRTRIOS_NAME,a&LUA_MENU_MP/TRIOSBR_DESC,icon_mode_wz_br_trios,0,0,BattleRoyale,mp_saba2,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_trios,br_trios.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_br_al_mazrah_layer_00,menu_keyart_br_al_mazrah_layer_00,1,0,0,0,0,jup_mp_splash_message_mountain_topo
private_br_quads,a&PLAYLIST/BRQUADS_NAME,a&LUA_MENU_MP/QUADSBR_DESC,icon_mode_wz_br_quads,0,0,BattleRoyale,mp_saba2,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_quads,br_quads.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_br_al_mazrah_layer_00,menu_keyart_br_al_mazrah_layer_00,1,0,0,0,0,jup_mp_splash_message_mountain_topo
private_br_plunder,a&LUA_MENU_MP/PAYBACK,a&LUA_MENU/BLOOD_MONEY_DESC,icon_mode_wz_plunder,0,0,Plunder,mp_saba2,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,1,1,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_dmz,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,1,0,0,0,0,jup_mp_splash_message_homeplate_topo
private_br_unhinged_trios,a&PLAYLIST/BR_UNHINGED_TRIOS,a&PLAYLIST/BR_UNHINGED_DESC,icon_mode_wz_br_trios_assim_exp,0,0,BattleRoyale,mp_saba2,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_unhinged_trios,br_unhinged_trios.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_wz_br_trios_layer00,menu_keyart_wz_br_trios_layer01,1,0,0,0,0,jup_mp_splash_message_mountain_topo
private_br_third_trios,a&PLAYLIST/THIRDBR_TRIOS,a&LUA_MENU_MP/BR_DESC_2,icon_mode_wz_br_trios_3p,0,0,BattleRoyale,mp_saba2,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_third_trios,br_third_trios.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_wz_br_trios_layer00,menu_keyart_wz_br_trios_layer01,1,0,0,0,0,jup_mp_splash_message_mountain_topo
private_br_mini_trios,a&LUA_MENU_MP/BRMINI,a&LUA_MENU_MP/BRMINI_DESC,icon_mode_wz_br_trios,0,0,BattleRoyale,mp_saba2,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_mini_trios,br_mini_trios.cfg,,,,0,0,menu_keyart_br_al_mazrah_layer_00,menu_keyart_br_al_mazrah_layer_00,1,0,0,0,0,
zm_rb,a&LUA_MENU_MP/ZM_RB,a&LUA_MENU_MP/ZM_RB_DESC,icon_mode_mp_tdm,1,1,Standard,,a&LUA_MENU/WARGAME_TEAM_DEATHMATCH,a&OBJECTIVES/WAR_HINT,a&OBJECTIVES/WAR_HINT,0,1,icon_mode_mp_tdm,icon_mode_mp_tdm,1,1,1,0,1,60,1,icon_mode_mp_tdm,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo,0,0,jup_ui_menu_keyart_tdm_button,jup_ui_menu_keyart_tdm_button,,0,0,0,0,jup_mp_splash_message_hexagone_topo
ob,a&LUA_MENU_MP/OB,a&LUA_MENU_MP/OB_DESC,icon_mode_mp_tdm,0,0,Standard,mp_jup_ob_proto,a&LUA_MENU_MP/OB,a&LUA_MENU_MP/OB_DESC,a&LUA_MENU_MP/OB_DESC,0,1,icon_mode_mp_tdm,icon_mode_mp_tdm,1,1,1,0,1,60,1,icon_mode_mp_tdm,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo,0,0,jup_ui_menu_keyart_tdm_button,jup_ui_menu_keyart_tdm_button,,0,0,0,0,jup_mp_splash_message_hexagone_topo
brtdm_mgl,a&LUA_MENU_MP/WAR,a&LUA_MENU_MP/WAR_DESC,icon_mode_mp_tdm,1,1,Alternate,mp_donetsk,a&LUA_MENU/WARGAME_TEAM_DEATHMATCH,a&OBJECTIVES/WAR_HINT,a&OBJECTIVES/WAR_HINT,0,1,icon_mp_mode_tdm_hcore,icon_mp_mode_tdm_realism,1,1,1,0,1,60,0,icon_mp_mode_tdm,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_hexagon,hud_splash_gamemode_hexagon_topo,0,0,jup_ui_menu_keyart_tdm_button,jup_ui_menu_keyart_tdm_button,,0,0,0,0,jup_mp_splash_message_hexagone_topo
private_res_solo,a&PLAYLIST/BR_SOLOS_RESURGENCE,a&LUA_MENU_MP/RESURGENCE_SOLO_DESC,icon_mode_wz_br_resurgence,0,0,Resurgence,mp_sealion,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_seal_res_solos,br_seal_res_solos.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_wz_br_ashika_solos_layer00,menu_keyart_wz_br_ashika_solos_layer00,1,0,0,0,0,jup_mp_splash_message_mountain_topo
private_res_duos,a&PLAYLIST/BR_DUOS_RESURGENCE,a&LUA_MENU_MP/RESURGENCE_DESC,icon_mode_wz_br_resurgence,0,0,Resurgence,mp_sealion,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_seal_res_duos,br_seal_res_duos.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_wz_br_ashika_solos_layer00,menu_keyart_wz_br_ashika_solos_layer00,1,0,0,0,0,jup_mp_splash_message_mountain_topo
private_res_trios,a&PLAYLIST/BR_TRIOS_RESURGENCE,a&LUA_MENU_MP/RESURGENCE_DESC,icon_mode_wz_br_resurgence,0,0,Resurgence,mp_sealion,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_seal_res_trios,br_seal_res_trios.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_wz_br_ashika_solos_layer00,menu_keyart_wz_br_ashika_solos_layer00,1,0,0,0,0,jup_mp_splash_message_mountain_topo
private_res_quads,a&PLAYLIST/BR_QUADS_RESURGENCE,a&LUA_MENU_MP/RESURGENCE_DESC,icon_mode_wz_br_resurgence,0,0,Resurgence,mp_sealion,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_seal_res_quads,br_seal_res_quads.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_wz_br_ashika_solos_layer00,menu_keyart_wz_br_ashika_solos_layer00,1,0,0,0,0,jup_mp_splash_message_mountain_topo
conflict,a&LUA_MENU_MP/CONFLICT,a&OBJECTIVES/CONFLICT,icon_mode_mp_war,0,1,Alternate,mp_sira_gw,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/CONFLICT_HINT,a&OBJECTIVES/CONFLICT_HINT,0,1,icon_mode_mp_war,icon_mode_mp_war_tier1,1,1,1.1,0,1.65,40,0,icon_mode_mp_war,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,jup_mp_splash_message_homeplate_topo
havoc,a&LUA_MENU_MP/HAVOC,a&LUA_MENU_MP/HAVOC_DESC,icon_mode_mp_havoc,0,1,Alternate,mp_farm_18,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/HAVOC_HINT,a&OBJECTIVES/HAVOC_HINT,0,1,icon_mode_mp_havoc,icon_mode_mp_havoc,1,1,1,0,1,60,11,icon_mode_mp_havoc,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_dmz_layer_00,menu_keyart_dmz_layer_01,,0,0,0,0,jup_mp_splash_message_mountain_topo
private_res_solos_delta,a&PLAYLIST/BR_SOLOS_RESURGENCE,a&LUA_MENU_MP/RESURGENCE_SOLO_DESC,icon_mode_wz_br_resurgence,0,0,Resurgence,mp_delta,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_delta_res_solos,br_delta_res_solos.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_br_vondel_layer_00,menu_keyart_br_vondel_layer_00,1,0,0,0,0,jup_mp_splash_message_mountain_topo
private_res_duos_delta,a&PLAYLIST/BR_DUOS_RESURGENCE,a&LUA_MENU_MP/RESURGENCE_DESC,icon_mode_wz_br_resurgence,0,0,Resurgence,mp_delta,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_delta_res_duos,br_delta_res_duos.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_br_vondel_layer_00,menu_keyart_br_vondel_layer_00,1,0,0,0,0,jup_mp_splash_message_mountain_topo
private_res_trios_delta,a&PLAYLIST/BR_TRIOS_RESURGENCE,a&LUA_MENU_MP/RESURGENCE_DESC,icon_mode_wz_br_resurgence,0,0,Resurgence,mp_delta,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_delta_res_trios,br_delta_res_trios.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_br_vondel_layer_00,menu_keyart_br_vondel_layer_00,1,0,0,0,0,jup_mp_splash_message_mountain_topo
private_res_quads_delta,a&PLAYLIST/BR_QUADS_RESURGENCE,a&LUA_MENU_MP/RESURGENCE_DESC,icon_mode_wz_br_resurgence,0,0,Resurgence,mp_delta,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_delta_res_quads,br_delta_res_quads.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_br_vondel_layer_00,menu_keyart_br_vondel_layer_00,1,0,0,0,0,jup_mp_splash_message_mountain_topo
private_br_solos_delta,a&PLAYLIST/BR_SOLOS,a&LUA_MENU_MP/SOLOBR_DESC,icon_mode_wz_br,0,0,BattleRoyale,mp_delta,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_delta_br_solos,br_delta_br_solos.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_br_vondel_layer_00,menu_keyart_br_vondel_layer_00,1,0,0,0,0,
private_br_duos_delta,a&PLAYLIST/BR_DUOS,a&LUA_MENU_MP/DUOSBR_DESC,icon_mode_wz_br_duos,0,0,BattleRoyale,mp_delta,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_delta_br_duos,br_delta_br_duos.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_br_vondel_layer_00,menu_keyart_br_vondel_layer_00,1,0,0,0,0,
private_br_trios_delta,a&PLAYLIST/BR_TRIOS,a&LUA_MENU_MP/TRIOSBR_DESC,icon_mode_wz_br_trios,0,0,BattleRoyale,mp_delta,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_delta_br_trios,br_delta_br_trios.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_br_vondel_layer_00,menu_keyart_br_vondel_layer_00,1,0,0,0,0,
private_br_quads_delta,a&PLAYLIST/BR_QUADS,a&LUA_MENU_MP/QUADSBR_DESC,icon_mode_wz_br_quads,0,0,BattleRoyale,mp_delta,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,br_delta_br_quads,br_delta_br_quads.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_br_vondel_layer_00,menu_keyart_br_vondel_layer_00,1,0,0,0,0,
private_ranked_trios,a&LP/WOSW_TRIOS,a&PLAYLIST/WSOW_TRIOS_DESC,icon_mode_wz_br_ranked_release,0,0,BattleRoyale,0,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,pm_br_wsow_trios,pm_br_wsow_trios.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,menu_keyart_tier_1_wsoe_layer_00,menu_keyart_tier_1_wsoe_layer_01,1,0,0,0,0,jup_mp_splash_message_mountain_topo
robj,a&LUA_MENU_MP/DEMOLITION,a&LUA_MENU_MP/DEMOLITION_DESC,icon_mode_mp_demolition,1,1,Alternate,mp_hackney_am,a&LUA_MENU/WARGAME_SEARCH_AND_DESTROY,a&OBJECTIVES/DD_ATTACKER_HINT,a&OBJECTIVES/DD_DEFENDER_HINT,0,1,icon_mode_mp_demolition,icon_mode_mp_demolition,1,1,1,0,1,60,12,icon_mode_mp_demolition,a&LUA_MENU_MP/CDL_DOM_NAME,,,,hud_splash_gamemode_homeplate,hud_splash_gamemode_homeplate_topo,0,0,,,,0,0,0,0,jup_mp_splash_message_homeplate_topo
mgl_private_br_mini_solo,a&PLAYLIST/MOBILE_BR_MINI_BR_NAME,a&PLAYLIST/MOBILE_BR_MINI_BR_DESC,icon_mode_wz_br,0,0,MGL_BattleRoyale,0,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,mgl_brMiniSolo,mgl_brMiniSolo.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,mgl_ui_playlistcard_br01,mgl_ui_playlistcard_br01,1,0,1,25,78,jup_mp_splash_message_mountain_topo
mgl_private_br_mini_solofast,a&PLAYLIST/MOBILE_BR_FAST_MINI_BR_NAME,a&PLAYLIST/MOBILE_BR_FAST_MINI_BR_DESC,icon_mode_wz_br,0,0,MGL_BattleRoyale,0,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,mgl_brMiniSoloFast,mgl_brMiniSoloFast.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,mgl_ui_playlistcard_br01,mgl_ui_playlistcard_br01,1,0,1,25,45,jup_mp_splash_message_mountain_topo
mgl_private_br_mini_duo,a&PLAYLIST/MOBILE_BR_MINI_BR_NAME,a&PLAYLIST/MOBILE_BR_MINI_BR_DESC,icon_mode_wz_br_duos,0,0,MGL_BattleRoyale,0,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,mgl_brMiniDuo,mgl_brMiniDuo.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,mgl_ui_playlistcard_br02,mgl_ui_playlistcard_br02,1,0,2,25,78,jup_mp_splash_message_mountain_topo
mgl_private_br_mini_duofast,a&PLAYLIST/MOBILE_BR_FAST_MINI_BR_NAME,a&PLAYLIST/MOBILE_BR_FAST_MINI_BR_DESC,icon_mode_wz_br_duos,0,0,MGL_BattleRoyale,0,a&LUA_MENU/WARGAME_DEATHMATCH,a&OBJECTIVES/DM_HINT,a&OBJECTIVES/DM_HINT,0,0,icon_mp_mode_arena_hcore,icon_mp_mode_tdm_realism,1,0,2.5,0,1,20,0,icon_mode_mp_arena,a&LUA_MENU_MP/CDL_DOM_NAME,mgl_brMiniDuoFast,mgl_brMiniDuoFast.cfg,,hud_splash_gamemode_mountain,hud_splash_gamemode_mountain_topo,0,0,mgl_ui_playlistcard_br02,mgl_ui_playlistcard_br02,1,0,2,25,44,jup_mp_splash_message_mountain_topo
