string,string,string,string,localized,localized,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
accessory070,iw8_acc_watch_analog_jsof,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY070,&ACCESSORY/ACCESSORY070_DESC,icon_gesture_jackal,0,gesture023,1,70,,loot,icon_gesture_jackal,ui_loot_accessory_070,,iw8_acc_attach_face_analog_jsof,iw8_acc_attach_face_analog_jsof_big,iw8_acc_attach_face_analog_jsof_female,,,,
accessory071,iw8_acc_watch_analog_sas,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY071,&ACCESSORY/ACCESSORY071_DESC,icon_gesture_jackal,0,gesture023,1,71,,loot,icon_gesture_jackal,ui_loot_accessory_071,,iw8_acc_attach_face_analog_sas,iw8_acc_attach_face_analog_sas_big,iw8_acc_attach_face_analog_sas_female,,,,
accessory072,iw8_acc_watch_analog_spetsnaz,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY072,&ACCESSORY/ACCESSORY072_DESC,icon_gesture_jackal,0,gesture023,1,72,,loot,icon_gesture_jackal,ui_loot_accessory_072,,iw8_acc_attach_face_analog_spetsnaz,iw8_acc_attach_face_analog_spetsnaz_big,iw8_acc_attach_face_analog_spetsnaz_female,,,,
accessory073,iw8_acc_watch_digital_pet_turbo,iw8_acc_weapon_watch_pet,,&ACCESSORY/ACCESSORY073,&ACCESSORY/ACCESSORY073_DESC,icon_gesture_youredead,0,gesture023,1,73,,loot,icon_gesture_youredead,ui_loot_accessory_073,pet_turbo,iw8_acc_attach_face_digital_pet_turbo,iw8_acc_attach_face_digital_pet_turbo_big,iw8_acc_attach_face_digital_pet_turbo_female,,,,	
accessory074,iw8_acc_watch_digital_t,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY074,&ACCESSORY/ACCESSORY074_DESC,icon_gesture_youredead,0,gesture023,1,74,,loot,icon_gesture_youredead,ui_loot_accessory_074,,iw8_acc_attach_face_digital_t_a,iw8_acc_attach_face_digital_t_a_big,iw8_acc_attach_face_digital_t_a_female,,,,	
accessory075,iw8_acc_watch_digital_t,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY075,&ACCESSORY/ACCESSORY075_DESC,icon_gesture_youredead,0,gesture023,1,75,,loot,icon_gesture_youredead,ui_loot_accessory_075,,iw8_acc_attach_face_digital_t_b,iw8_acc_attach_face_digital_t_b_big,iw8_acc_attach_face_digital_t_b_female,,,,	
accessory076,iw8_acc_watch_digital_minimap,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY076,&ACCESSORY/ACCESSORY076_DESC,icon_gesture_respect,0,gesture023,1,76,,loot,icon_gesture_respect,ui_loot_accessory_076,,iw8_acc_attach_face_digital_ac,iw8_acc_attach_face_digital_ac_big,iw8_acc_attach_face_digital_ac_female,,,,
accessory077,iw8_acc_watch_digital_u,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY077,&ACCESSORY/ACCESSORY077_DESC,icon_gesture_respect,0,gesture023,1,77,,loot,icon_gesture_respect,ui_loot_accessory_077,,iw8_acc_attach_face_digital_u,iw8_acc_attach_face_digital_u_big,iw8_acc_attach_face_digital_u_female,,,,
accessory078,iw8_acc_watch_digital_v,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY078,&ACCESSORY/ACCESSORY078_DESC,icon_gesture_respect,0,gesture023,1,78,,loot,icon_gesture_respect,ui_loot_accessory_078,,iw8_acc_attach_face_digital_v,iw8_acc_attach_face_digital_v_big,iw8_acc_attach_face_digital_v_female,,,,
accessory079,iw8_acc_watch_digital_x,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY079,&ACCESSORY/ACCESSORY079_DESC,icon_gesture_respect,0,gesture023,1,79,,loot,icon_gesture_respect,ui_loot_accessory_079,,iw8_acc_attach_face_digital_x,iw8_acc_attach_face_digital_x_big,iw8_acc_attach_face_digital_x_female,,,,
accessory080,iw8_acc_watch_digital_y,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY080,&ACCESSORY/ACCESSORY080_DESC,icon_gesture_respect,0,gesture023,1,80,,loot,icon_gesture_respect,ui_loot_accessory_080,,iw8_acc_attach_face_digital_y,iw8_acc_attach_face_digital_y_big,iw8_acc_attach_face_digital_y_female,,,,
accessory081,iw8_acc_watch_digital_z,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY081,&ACCESSORY/ACCESSORY081_DESC,icon_gesture_respect,0,gesture023,1,81,,loot,icon_gesture_respect,ui_loot_accessory_081,,iw8_acc_attach_face_digital_z,iw8_acc_attach_face_digital_z_big,iw8_acc_attach_face_digital_z_female,,,,
accessory082,iw8_acc_watch_digital_aa,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY082,&ACCESSORY/ACCESSORY082_DESC,icon_gesture_respect,0,gesture023,1,82,,loot,icon_gesture_respect,ui_loot_accessory_082,,iw8_acc_attach_face_digital_aa,iw8_acc_attach_face_digital_aa_big,iw8_acc_attach_face_digital_aa_female,,,,
accessory083,iw8_acc_watch_digital_dfp,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY083,&ACCESSORY/ACCESSORY083_DESC,icon_gesture_respect,0,gesture023,1,83,,loot,icon_gesture_respect,ui_loot_accessory_083,,iw8_acc_attach_face_digital_dfp,iw8_acc_attach_face_digital_dfp_big,iw8_acc_attach_face_digital_dfp_female,,,,
accessory084,iw8_acc_watch_digital_g8b,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY084,&ACCESSORY/ACCESSORY084_DESC,icon_gesture_thumbsdown,0,gesture024|gesture023,1,84,,loot,icon_gesture_thumbsdown,ui_loot_accessory_084,,iw8_acc_attach_face_digital_g8b,iw8_acc_attach_face_digital_g8b_big,iw8_acc_attach_face_digital_g8b_female,,,,
accessory085,iw8_acc_watch_digital_aa,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY085,&ACCESSORY/ACCESSORY085_DESC,icon_gesture_thumbsdown,0,gesture023,1,85,,loot,icon_gesture_thumbsdown,ui_loot_accessory_085,,iw8_acc_attach_face_digital_aa_b,iw8_acc_attach_face_digital_aa_b_big,iw8_acc_attach_face_digital_aa_b_female,,,,
accessory086,iw8_acc_watch_digital_aa,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY086,&ACCESSORY/ACCESSORY086_DESC,icon_gesture_thumbsdown,0,gesture023,1,86,,loot,icon_gesture_thumbsdown,ui_loot_accessory_086,,iw8_acc_attach_face_digital_aa_d,iw8_acc_attach_face_digital_aa_d_big,iw8_acc_attach_face_digital_aa_d_female,,,,
accessory087,iw8_acc_watch_digital_x,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY087,&ACCESSORY/ACCESSORY087_DESC,icon_gesture_thumbsdown,0,gesture023,1,87,,loot,icon_gesture_thumbsdown,ui_loot_accessory_087,,iw8_acc_attach_face_digital_x_b,iw8_acc_attach_face_digital_x_b_big,iw8_acc_attach_face_digital_x_b_female,,,,
accessory088,iw8_acc_watch_digital_x,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY088,&ACCESSORY/ACCESSORY088_DESC,icon_gesture_thumbsdown,0,gesture023,1,88,,loot,icon_gesture_thumbsdown,ui_loot_accessory_088,,iw8_acc_attach_face_digital_x_c,iw8_acc_attach_face_digital_x_c_big,iw8_acc_attach_face_digital_x_c_female,,,,
accessory089,iw8_acc_watch_digital_x,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY089,&ACCESSORY/ACCESSORY089_DESC,icon_gesture_thumbsdown,0,gesture023,1,89,,loot,icon_gesture_thumbsdown,ui_loot_accessory_089,,iw8_acc_attach_face_digital_x_d,iw8_acc_attach_face_digital_x_d_big,iw8_acc_attach_face_digital_x_d_female,,,,
accessory090,iw8_acc_watch_digital_z,iw8_acc_weapon_watch_2,,&ACCESSORY/ACCESSORY090,&ACCESSORY/ACCESSORY090_DESC,icon_gesture_respect,0,gesture023,1,90,,loot,icon_gesture_respect,ui_loot_accessory_090,,iw8_acc_attach_face_digital_z_b,iw8_acc_attach_face_digital_z_b_big,iw8_acc_attach_face_digital_z_b_female,,,,
accessory091,iw8_acc_watch_digital_z,iw8_acc_weapon_watch_2,,&ACCESSORY/ACCESSORY091,&ACCESSORY/ACCESSORY091_DESC,icon_gesture_respect,0,gesture023,1,91,,loot,icon_gesture_respect,ui_loot_accessory_091,,iw8_acc_attach_face_digital_z_c,iw8_acc_attach_face_digital_z_c_big,iw8_acc_attach_face_digital_z_c_female,,,,
accessory092,iw8_acc_watch_digital_z,iw8_acc_weapon_watch_2,,&ACCESSORY/ACCESSORY092,&ACCESSORY/ACCESSORY092_DESC,icon_gesture_respect,0,gesture023,1,92,,loot,icon_gesture_respect,ui_loot_accessory_092,,iw8_acc_attach_face_digital_z_d,iw8_acc_attach_face_digital_z_d_big,iw8_acc_attach_face_digital_z_d_female,,,,
accessory093,iw8_acc_watch_digital_v,iw8_acc_weapon_watch_2,,&ACCESSORY/ACCESSORY093,&ACCESSORY/ACCESSORY093_DESC,icon_gesture_respect,0,gesture023,1,93,,loot,icon_gesture_respect,ui_loot_accessory_093,,iw8_acc_attach_face_digital_v_b,iw8_acc_attach_face_digital_v_b_big,iw8_acc_attach_face_digital_v_b_female,,,,
accessory094,iw8_acc_watch_digital_v,iw8_acc_weapon_watch_2,,&ACCESSORY/ACCESSORY094,&ACCESSORY/ACCESSORY094_DESC,icon_gesture_respect,0,gesture023,1,94,,loot,icon_gesture_respect,ui_loot_accessory_094,,iw8_acc_attach_face_digital_v_c,iw8_acc_attach_face_digital_v_c_big,iw8_acc_attach_face_digital_v_c_female,,,,
accessory095,iw8_acc_watch_digital_v,iw8_acc_weapon_watch_2,,&ACCESSORY/ACCESSORY095,&ACCESSORY/ACCESSORY095_DESC,icon_gesture_respect,0,gesture023,1,95,,loot,icon_gesture_respect,ui_loot_accessory_095,,iw8_acc_attach_face_digital_v_d,iw8_acc_attach_face_digital_v_d_big,iw8_acc_attach_face_digital_v_d_female,,,,
accessory096,iw8_acc_watch_digital_ae,iw8_acc_weapon_watch_2,,&ACCESSORY/ACCESSORY096,&ACCESSORY/ACCESSORY096_DESC,icon_gesture_respect,0,gesture023,1,96,,loot,icon_gesture_respect,ui_loot_accessory_096,,iw8_acc_attach_face_digital_ae,iw8_acc_attach_face_digital_ae_big,iw8_acc_attach_face_digital_ae_female,,,,
accessory097,iw8_acc_watch_digital_pet_go,iw8_acc_weapon_watch_pet,,&ACCESSORY/ACCESSORY097,&ACCESSORY/ACCESSORY097_DESC,icon_gesture_youredead,0,gesture023,1,97,,loot,icon_gesture_youredead,ui_loot_accessory_07,pet_go,iw8_acc_attach_face_totinos,iw8_acc_attach_face_totinos_big,iw8_acc_attach_face_totinos_female,,,,	
accessory098,iw8_acc_watch_digital_holo,iw8_acc_weapon_watch_2,,&ACCESSORY/ACCESSORY098,&ACCESSORY/ACCESSORY098_DESC,icon_gesture_youredead,0,gesture024|gesture023,1,98,,loot,icon_gesture_youredead,ui_loot_accessory_098,holo,iw8_acc_attach_face_digital_ag,iw8_acc_attach_face_digital_ag_big,iw8_acc_attach_face_digital_ag_female,,,,
accessory099,iw8_acc_watch_digital_t,iw8_acc_weapon_watch_analog_1,,&ACCESSORY/ACCESSORY099,&ACCESSORY/ACCESSORY099_DESC,icon_gesture_youredead,0,gesture023,1,99,,loot,icon_gesture_youredead,ui_loot_accessory_099,,iw8_acc_attach_face_digital_t_c,iw8_acc_attach_face_digital_t_c_big,iw8_acc_attach_face_digital_t_c_female,,,,	
accessory100,iw8_acc_watch_digital_w,iw8_acc_weapon_watch_2,,&ACCESSORY/ACCESSORY0100,&ACCESSORY/ACCESSORY0100_DESC,icon_gesture_respect,0,gesture023,1,100,,loot,icon_gesture_respect,ui_loot_accessory_100,,iw8_acc_attach_face_digital_w_a,iw8_acc_attach_face_digital_w_a_big,iw8_acc_attach_face_digital_w_a_female,,,,
accessory101,iw8_acc_watch_digital_w,iw8_acc_weapon_watch_2,,&ACCESSORY/ACCESSORY0101,&ACCESSORY/ACCESSORY0101_DESC,icon_gesture_respect,0,gesture023,1,101,,loot,icon_gesture_respect,ui_loot_accessory_101,,iw8_acc_attach_face_digital_w_b,iw8_acc_attach_face_digital_w_b_big,iw8_acc_attach_face_digital_w_b_female,,,,
accessory102,iw8_acc_watch_digital_w,iw8_acc_weapon_watch_2,,&ACCESSORY/ACCESSORY0102,&ACCESSORY/ACCESSORY0102_DESC,icon_gesture_respect,0,gesture023,1,102,,loot,icon_gesture_respect,ui_loot_accessory_102,,iw8_acc_attach_face_digital_w_c,iw8_acc_attach_face_digital_w_c_big,iw8_acc_attach_face_digital_w_c_female,,,,
accessory103,iw8_acc_watch_digital_w,iw8_acc_weapon_watch_2,,&ACCESSORY/ACCESSORY0103,&ACCESSORY/ACCESSORY0103_DESC,icon_gesture_respect,0,gesture023,1,103,,loot,icon_gesture_respect,ui_loot_accessory_103,,iw8_acc_attach_face_digital_w_d,iw8_acc_attach_face_digital_w_d_big,iw8_acc_attach_face_digital_w_d_female,,,,
accessory104,iw8_acc_watch_ah,iw8_acc_weapon_watch_2,,&ACCESSORY/ACCESSORY0104,&ACCESSORY/ACCESSORY0104_DESC,icon_gesture_respect,0,gesture023,1,104,,loot,icon_gesture_respect,ui_loot_accessory_104,blunt,iw8_acc_attach_face_ah,iw8_acc_attach_face_ah_big,iw8_acc_attach_face_ah_female,,,,
