xhash,localized_a,localized_a,localized_a,string,xhash,string,string,string,localized_a,string,string,string,string,string,localized_a,string,xhash,localized_a,string,xhash,string,string,xhash,string,string,xhash,string,string,xhash,string,localized_a,int
#hash_8f37dbb026f8d352,a&SPLASHES/BOMB_DROPPED,a&SPLASHES/BOMB_DROPPED,a&SPLASHES/BOMB_DROPPED,hud_icon_splash_kill,#,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#callout_bombpickup_team,a&SPLASHES/BOMB_PICKUP_TEAM,a&SPLASHES/BOMB_PICKUP_TEAM,a&SPLASHES/BOMB_PICKUP_TEAM_DESC,hud_icon_objective_bomb,#hash_b955ed7b14b3a935,playercard_splash,gameplay,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#callout_bombpickup,a&SPLASHES/BOMB_PICKUP,a&SPLASHES/BOMB_PICKUP,a&SPLASHES/BOMB_PICKUP_DESC,hud_icon_objective_bomb,#hash_b955ed7b14b3a935,playercard_splash,gameplay,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#callout_securedposition,a&SPLASHES/SECURED_POSITION,a&SPLASHES/SECURED_POSITION,a&SPLASHES/SECURED_POSITION,hud_icon_splash_kill,#,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_9f026d92ee34fde4,a&SPLASHES/SECURED_POSITION_A,a&SPLASHES/SECURED_POSITION_A,a&SPLASHES/SECURED_POSITION_A,hud_icon_splash_kill,#,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_9f027092ee3502fd,a&SPLASHES/SECURED_POSITION_B,a&SPLASHES/SECURED_POSITION_B,a&SPLASHES/SECURED_POSITION_B,hud_icon_splash_kill,#,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_9f026f92ee35014a,a&SPLASHES/SECURED_POSITION_C,a&SPLASHES/SECURED_POSITION_C,a&SPLASHES/SECURED_POSITION_C,hud_icon_splash_kill,#,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_9f026a92ee34f8cb,a&SPLASHES/SECURED_POSITION_D,a&SPLASHES/SECURED_POSITION_D,a&SPLASHES/SECURED_POSITION_D,hud_icon_splash_kill,#,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_9f026992ee34f718,a&SPLASHES/SECURED_POSITION_E,a&SPLASHES/SECURED_POSITION_E,a&SPLASHES/SECURED_POSITION_E,hud_icon_splash_kill,#,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_144080a46971d400,a&SPLASHES/KILLED_CARRIER,a&SPLASHES/KILLED_CARRIER,a&SPLASHES/KILLED_CARRIER,hud_icon_splash_kill,#,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_aec1ed80d2cbd38d,a&SPLASHES/KILL_CONFIRMED,a&SPLASHES/KILL_CONFIRMED,a&SPLASHES/KILL_CONFIRMED,hud_icon_splash_kill,#,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#callout_top_gun_rank,a&SPLASHES/TOP_GUN_RANK,a&SPLASHES/TOP_GUN_RANK,a&SPLASHES/TOP_GUN_RANK,hud_icon_splash_kill,#,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#revived,a&SPLASHES/REVIVED,a&SPLASHES/REVIVED,a&SPLASHES/REVIVED,hud_icon_loot_revive,#,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#callout_time_added,a&SPLASHES/TIMEADDED,a&SPLASHES/TIMEADDED,a&SPLASHES/TIME_ADDED_DESC,hud_icon_splash_kill,#,playercard_splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_6778f6a32dcb8ffb,a&SPLASHES/DESTROYED_OBJECTIVE,a&SPLASHES/DESTROYED_OBJECTIVE,a&SPLASHES/DESTROYED_OBJECTIVE,hud_icon_splash_kill,#,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_dcf7a94de4850fc3,a&SPLASHES/SAVED_OBJECTIVE,a&SPLASHES/SAVED_OBJECTIVE,a&SPLASHES/SAVED_OBJECTIVE,hud_icon_splash_kill,#,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#callout_destroyed_cyberbombsite,a&SPLASHES/DESTROYED_CYBERBOMBSITE,a&SPLASHES/DESTROYED_CYBERBOMBSITE,a&SPLASHES/DESTROYED_CYBERBOMBSITE,hud_icon_splash_kill,#,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#denied,a&SPLASHES/DENIED,a&SPLASHES/DENIED,a&SPLASHES/DENIED_DESC,hud_icon_splash_kill,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#destroyed_insertion,a&SPLASHES/DESTROYED_INSERTION,a&SPLASHES/DESTROYED_INSERTION,a&SPLASHES/DESTROYED_INSERTION,hud_icon_splash_kill,#hash_1e4684df2117ba45,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#reviver,a&SPLASHES/REVIVER,a&SPLASHES/REVIVER,a&SPLASHES/REVIVER_DESC,icon_splash_cyber_revived,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#promotion,a&RANK/PROMOTED,a&RANK/PROMOTED,a&RANK/PROMOTED,hud_icon_splash_kill,#hash_30eaee5d95c33d7b,promotion_splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#promotion_weapon,a&RANK/PROMOTED_WEAPON,a&RANK/PROMOTED_WEAPON,a&RANK/PROMOTED_WEAPON,hud_icon_splash_kill,#hash_170ee0b4b76e1d35,promotion_weapon_splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#banked_tag,a&SPLASHES/BANKED_TAG,a&SPLASHES/BANKED_TAG,a&SPLASHES/BANKED_TAG_DESC,hud_icon_splash_kill,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#first_infected,a&SPLASHES/FIRST_INFECTED,a&SPLASHES/FIRST_INFECTED,a&SPLASHES/FIRST_INFECTED_DESC,hud_icon_splash_kill,#ui_splash_screen_default,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#first_survivor,a&SPLASHES/FIRST_SURVIVOR,a&SPLASHES/FIRST_SURVIVOR,a&SPLASHES/FIRST_SURVIVOR_DESC,hud_icon_splash_kill,#ui_splash_screen_default,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#siege_timer_start,a&LUA_MENU_MP/COUNTDOWN_START,a&LUA_MENU_MP/COUNTDOWN_START,a&LUA_MENU_MP/COUNTDOWN_START_DESC,hud_icon_splash_kill,#hash_4948426af97e3eaa,urgent_splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#siege_timer_reset,a&LUA_MENU_MP/COUNTDOWN_RESET,a&LUA_MENU_MP/COUNTDOWN_RESET,a&LUA_MENU_MP/COUNTDOWN_RESET_DESC,hud_icon_splash_kill,#hash_8eca54ecd91cdad5,urgent_splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#flagreturn,a&SPLASHES/FLAGRETURN,a&SPLASHES/FLAGRETURN,a&SPLASHES/FLAGRETURN_DESC,hud_icon_splash_kill,#hash_1e4684df2117ba45,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#flagpickup,a&SPLASHES/FLAGPICKUP,a&SPLASHES/FLAGPICKUP,a&SPLASHES/FLAGPICKUP_DESC,hud_icon_splash_kill,#ui_splash_screen_default,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_475a72e280bacd39,a&SPLASHES/KILLED_FLAG_CARRIER,a&SPLASHES/KILLED_FLAG_CARRIER,a&SPLASHES/KILLED_FLAG_CARRIER_DESC,hud_icon_splash_kill,#hash_6a12aa2df2374e12,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#callout_flagreturn,a&SPLASHES/FLAGRETURN,a&SPLASHES/FLAGRETURN,a&SPLASHES/FLAGRETURN,icon_waypoint_flag_base,#hash_e672259cc7987ac4,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#callout_flagcapture,a&SPLASHES/FLAG_CAPTURE,a&SPLASHES/FLAG_CAPTURE,a&SPLASHES/FLAG_CAPTURE,icon_waypoint_flag_base_away,#hash_739f5ac6a2501ca9,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#callout_flagpickup,a&SPLASHES/FLAGPICKUP,a&SPLASHES/FLAGPICKUP,a&SPLASHES/FLAGPICKUP,icon_waypoint_flag_carry,#hash_d0accd2746df5a26,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#event_double_xp,a&SPLASHES/DOUBLE_XP,a&SPLASHES/DOUBLE_XP,a&,icon_double_xp,#,splash,gameplay,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#event_double_weapon_xp,a&SPLASHES/DOUBLE_WEAPON_XP,a&SPLASHES/DOUBLE_WEAPON_XP,a&,icon_double_weapon_xp,#,splash,gameplay,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#event_double_battle_xp,a&SPLASHES/DOUBLE_BATTLE_XP,a&SPLASHES/DOUBLE_BATTLE_XP,a&,icon_double_battle_xp,#,splash,gameplay,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#event_double_keys,a&SPLASHES/DOUBLE_KEYS,a&SPLASHES/DOUBLE_KEYS,a&,icon_iw7_xk,#,splash,gameplay,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#event_double_xp_teams,a&SPLASHES/DOUBLE_MISSION_XP,a&SPLASHES/DOUBLE_MISSION_XP,a&,icon_double_xp,#,splash,gameplay,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_a952fb2f2d0a6066,a&SPLASHES/BOUNTY_NEW,a&SPLASHES/BOUNTY_NEW,a&,splash_icon_frontline,#,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_e63c86cb9ad7393c,a&SPLASHES/BOUNTY_INCREASED,a&SPLASHES/BOUNTY_INCREASED,a&,splash_icon_hitnan,#,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#callout_bounty_collected,a&SPLASHES/BOUNTY_COLLECTED,a&SPLASHES/BOUNTY_COLLECTED,a&,icon_medal_momoney,#,playercard_splash,global,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#callout_exfil_winners,a&SPLASHES/EXFIL_START_WINNERS,a&SPLASHES/EXFIL_START_WINNERS,a&,splash_icon_reinforce_timer,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#callout_exfil_losers,a&SPLASHES/EXFIL_START_LOSERS,a&SPLASHES/EXFIL_START_LOSERS,a&,splash_icon_reinforce_timer,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#callout_exfil_success,a&SPLASHES/EXFIL_SUCCESS,a&SPLASHES/EXFIL_SUCCESS,a&,splash_icon_team_blood_gold,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_536b75eff929093a,a&SPLASHES/EXFIL_ARM_START_WINNERS,a&SPLASHES/EXFIL_ARM_START_WINNERS,a&,splash_icon_reinforce_timer,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_1e2339efbb2d30dc,a&SPLASHES/EXFIL_ARM_START_LOSERS,a&SPLASHES/EXFIL_ARM_START_LOSERS,a&,splash_icon_reinforce_timer,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#callout_bmo_exfil_winners,a&SPLASHES/EXFIL_BMO_START_WINNERS,a&SPLASHES/EXFIL_BMO_START_WINNERS,a&,splash_icon_reinforce_timer,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#emp_defuse,a&SPLASHES/EMP_DEFUSED,a&SPLASHES/EMP_DEFUSED,a&SPLASHES/EMP_DEFUSED_DESC,icon_splash_cyber_defused,#ui_splash_screen_default,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#emp_defuse_enemy,a&SPLASHES/EMP_DEFUSED_ENEMY,a&SPLASHES/EMP_DEFUSED_ENEMY,a&SPLASHES/EMP_DEFUSED_ENEMY_DESC,icon_splash_cyber_defused,#hash_1e4684df2117ba45,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#ninja_defuse,a&SPLASHES/NINJA_DEFUSE,a&SPLASHES/NINJA_DEFUSE,a&SPLASHES/NINJA_DEFUSE_DESC,icon_splash_cyber_defused,#ui_splash_screen_default,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#emp_planted,a&SPLASHES/EMP_PLANTED,a&SPLASHES/EMP_PLANTED,a&SPLASHES/EMP_PLANTED_DESC,icon_splash_cyber_planted,#ui_splash_screen_default,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#emp_planted_enemy,a&SPLASHES/EMP_PLANTED_ENEMY,a&SPLASHES/EMP_PLANTED_ENEMY,a&SPLASHES/EMP_PLANTED_ENEMY_DESC,icon_splash_cyber_planted,#hash_1e4684df2117ba45,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#emp_pickup,a&SPLASHES/EMP_PICKUP,a&SPLASHES/EMP_PICKUP,a&SPLASHES/EMP_PICKUP_DESC,icon_splash_cyber_pickup,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#emp_pickup_enemy,a&SPLASHES/EMP_PICKUP_ENEMY,a&SPLASHES/EMP_PICKUP_ENEMY,a&SPLASHES/EMP_PICKUP_ENEMY_DESC,icon_splash_cyber_pickup,#hash_4fba8705bf6c54ff,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#lastenemyalive,a&SPLASHES/LAST_ENEMY_ALIVE,a&SPLASHES/LAST_ENEMY_ALIVE,a&SPLASHES/LAST_ENEMY_ALIVE_DESC,icon_splash_lastalive,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_8521530604f00e33,a&SPLASHES/LAST_TEAM_MEMBER_ALIVE,a&SPLASHES/LAST_TEAM_MEMBER_ALIVE,a&SPLASHES/LAST_TEAM_MEMBER_ALIVE_DESC,icon_splash_lastalive,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#target_eliminated,a&SPLASHES/ELIMINATED_AN_ENEMY,a&SPLASHES/ELIMINATED_AN_ENEMY,a&SPLASHES/BLANK,icon_splash_lastalive_skull,#hash_6a12aa2df2374e12,splash,local,,a&,,,HUD.friendlyTeam,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#out_of_lives,a&SPLASHES/YOUVE_BEEN_ELIMINATED,a&SPLASHES/YOUVE_BEEN_ELIMINATED,a&SPLASHES/BLANK,icon_splash_lastalive_skull,#,splash,killstreak,,a&,,,splashNotifications.splashAlternativeColor2,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_8b46dbaa01dbd52c,a&SPLASHES/DEFCON,a&SPLASHES/DEFCON,a&SPLASHES/FR_DEFCON,splash_icon_nuke,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_a5ce1bc176a513c8,a&SPLASHES/DEFCON,a&SPLASHES/DEFCON,a&SPLASHES/FR_DEFCON,splash_icon_nuke,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_943c13b009ca485a,a&SPLASHES/DEFCON,a&SPLASHES/DEFCON,a&SPLASHES/FR_DEFCON,splash_icon_nuke,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_69042caff1560764,a&SPLASHES/DEFCON,a&SPLASHES/DEFCON,a&SPLASHES/FR_DEFCON,splash_icon_nuke,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_2145c34101ec8543,a&SPLASHES/DEFCON,a&SPLASHES/DEFCON,a&SPLASHES/EN_DEFCON,splash_icon_nuke,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_37b2d7eed9dfb55,a&SPLASHES/DEFCON,a&SPLASHES/DEFCON,a&SPLASHES/EN_DEFCON,splash_icon_nuke,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_bdd824802bf370df,a&SPLASHES/DEFCON,a&SPLASHES/DEFCON,a&SPLASHES/EN_DEFCON,splash_icon_nuke,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_75909b8094868a15,a&SPLASHES/DEFCON,a&SPLASHES/DEFCON,a&SPLASHES/EN_DEFCON,splash_icon_nuke,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_14ed976824201510,a&SPLASHES/DEFCON,a&SPLASHES/DEFCON,a&SPLASHES/DEFCON_FOUR,splash_icon_nuke,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_7631428773855ec4,a&SPLASHES/DEFCON,a&SPLASHES/DEFCON,a&SPLASHES/DEFCON_THREE,splash_icon_nuke,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_5805dba7adc7866,a&SPLASHES/DEFCON,a&SPLASHES/DEFCON,a&SPLASHES/DEFCON_TWO,splash_icon_nuke,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_4d9216ba121c2150,a&SPLASHES/DEFCON,a&SPLASHES/DEFCON,a&SPLASHES/DEFCON_ONE,splash_icon_nuke,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#nuke_landed,a&SPLASHES/NUKE_LANDED,a&SPLASHES/NUKE_LANDED,a&,splash_icon_nuke,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hq_located,a&SPLASHES/HQ_NEW,a&SPLASHES/HQ_NEW,a&,hud_icon_splash_hq,#ui_splash_screen_default,playercard_splash,gameplay,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hq_capture,a&SPLASHES/HQ_CAPTURE,a&SPLASHES/HQ_CAPTURE,a&,hud_icon_splash_hq,#,playercard_splash,gameplay,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hq_captured,a&SPLASHES/HQ_CAPTURED,a&SPLASHES/HQ_CAPTURED,a&SPLASHES/HQ_CAPTURED_DESC,hud_icon_splash_hq,#hash_1e4684df2117ba45,playercard_splash,gameplay,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hq_destroy,a&SPLASHES/HQ_DESTROY,a&SPLASHES/HQ_DESTROY,a&,hud_icon_splash_hq,#,playercard_splash,gameplay,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hq_destroyed,a&SPLASHES/HQ_DESTROYED,a&SPLASHES/HQ_DESTROYED,a&,hud_icon_splash_hq,#,playercard_splash,gameplay,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_363f846caa906d06,a&SPLASHES/LAP_FINAL,a&SPLASHES/LAP_FINAL,a&,hud_icon_objective_trial_laps,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_59a45382ee003e1,a&SPLASHES/LAP_1,a&SPLASHES/LAP_1,a&,hud_icon_objective_trial_laps,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_59a42382edffec8,a&SPLASHES/LAP_2,a&SPLASHES/LAP_2,a&,hud_icon_objective_trial_laps,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_59a43382ee0007b,a&SPLASHES/LAP_3,a&SPLASHES/LAP_3,a&,hud_icon_objective_trial_laps,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_59a48382ee008fa,a&SPLASHES/LAP_4,a&SPLASHES/LAP_4,a&,hud_icon_objective_trial_laps,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#hash_59a49382ee00aad,a&SPLASHES/LAP_5,a&SPLASHES/LAP_5,a&,hud_icon_objective_trial_laps,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#soccer_goal_us,a&SPLASHES/SOCCER_GOAL_US,a&SPLASHES/SOCCER_GOAL_US,a&,icon_splash_skill_shot,#hash_751229e865c80839,splash,local,,a&,,,splashNotifications.splashAlternativeColor1,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#soccer_goal_them,a&SPLASHES/SOCCER_GOAL_THEM,a&SPLASHES/SOCCER_GOAL_THEM,a&,icon_splash_skill_shot,#hash_fd49540f07229083,splash,local,,a&,,,splashNotifications.splashAlternativeColor1,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#soccer_multiball,a&SPLASHES/SOCCER_MULTIBALL,a&SPLASHES/SOCCER_MULTIBALL,a&,icon_splash_skill_shot,#hash_751229e865c80839,splash,local,,a&,,,splashNotifications.splashAlternativeColor1,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#jugg_capture,a&SPLASHES/JUGG_CAPTURE,a&SPLASHES/JUGG_CAPTURE,a&,icon_waypoint_jugg,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#jugg_captured,a&SPLASHES/JUGG_CAPTURED,a&SPLASHES/JUGG_CAPTURED,a&,icon_waypoint_jugg,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#jugg_lost,a&SPLASHES/JUGG_LOST,a&SPLASHES/JUGG_LOST,a&,icon_waypoint_jugg,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#jugg_player,a&SPLASHES/JUGG_PLAYER,a&SPLASHES/JUGG_PLAYER_DESC,a&,icon_waypoint_jugg,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#jugg_down_en,a&SPLASHES/JUGG_DOWN_EN,a&SPLASHES/JUGG_DOWN_EN,a&,icon_waypoint_jugg,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#jugg_down_fr,a&SPLASHES/JUGG_DOWN_FR,a&SPLASHES/JUGG_DOWN_FR,a&,icon_waypoint_jugg,#,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#flag_force_hold_en,a&SPLASHES/FLAG_HOLD_TIMER_EN,a&SPLASHES/FLAG_HOLD_TIMER_EN,a&,icon_splash_skill_shot,#hash_fd49540f07229083,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#flag_force_hold_fr,a&SPLASHES/FLAG_HOLD_TIMER_FR,a&SPLASHES/FLAG_HOLD_TIMER_FR,a&,icon_splash_skill_shot,#hash_751229e865c80839,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#flag_force_timer,a&SPLASHES/FLAG_FORCE_TIMER,a&SPLASHES/FLAG_FORCE_TIMER,a&,icon_splash_skill_shot,#ui_splash_screen_default,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#ko_force_hold_en,a&SPLASHES/KO_HOLD_TIMER_EN,a&SPLASHES/KO_HOLD_TIMER_EN,a&,icon_splash_skill_shot,#hash_fd49540f07229083,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#ko_force_hold_fr,a&SPLASHES/KO_HOLD_TIMER_FR,a&SPLASHES/KO_HOLD_TIMER_FR,a&,icon_splash_skill_shot,#hash_751229e865c80839,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#ko_force_timer,a&SPLASHES/KO_FORCE_TIMER,a&SPLASHES/KO_FORCE_TIMER,a&,icon_splash_skill_shot,#ui_splash_screen_default,splash,local,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#risk_team_absorb_us,a&SPLASHES/RISK_TOP_TEAM,a&SPLASHES/RISK_TOP_TEAM,a&SPLASHES/RISK_TOP_TEAM_DESC,hud_br_plunder_bar_diamond,#hash_751229e865c80839,playercard_splash,phaseChange,,a&,,,splashNotifications.GreenLight,,,a&LUA_MENU/1ST,,#,a&,,#,,,#,,,#,,,#,,a&,0
#risk_team_absorb_them,a&SPLASHES/RISK_ABSORBED_TEAM,a&SPLASHES/RISK_ABSORBED_TEAM,a&SPLASHES/RISK_TOP_TEAM_DESC,hud_br_plunder_bar_diamond,#hash_751229e865c80839,playercard_splash,phaseChange,,a&,,,splashNotifications.GreenLight,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#risk_team_absorb_other,a&SPLASHES/RISK_OITHER_TEAMS,a&SPLASHES/RISK_OITHER_TEAMS,a&SPLASHES/RISK_OITHER_TEAMS_DESC,hud_br_plunder_bar_diamond,#hash_fd49540f07229083,playercard_splash,phaseChange,,a&,,,splashNotifications.splashAlternativeColor1,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#rescue_took_hostage,a&SPLASHES/ENEMY_HOSTAGE,a&SPLASHES/ENEMY_HOSTAGE,a&SPLASHES/ENEMY_HOSTAGE_DESC,hud_icon_objective_hostage,#ui_splash_screen_default,playercard_splash,gameplay,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#rescue_team_hostage,a&SPLASHES/TEAM_HOSTAGE,a&SPLASHES/TEAM_HOSTAGE,a&SPLASHES/TEAM_HOSTAGE_DESC,hud_icon_objective_hostage,#ui_splash_screen_default,playercard_splash,gameplay,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
#rescue_player_hostage,a&SPLASHES/PLAYER_HOSTAGE,a&SPLASHES/PLAYER_HOSTAGE,a&SPLASHES/PLAYER_HOSTAGE_DESC,hud_icon_objective_hostage,#ui_splash_screen_default,playercard_splash,gameplay,,a&,,,,,,a&,,#,a&,,#,,,#,,,#,,,#,,a&,0
