string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,int,string
25847,jup_the_seven_4_mp,a&JUP_CHALLENGE/JUP_THE_SEVEN_4,a&JUP_CHALLENGE/JUP_THE_SEVEN_4_DESC,5,,,,,,,0,1706119200,1706637600,,,0,MP
25849,jup_the_seven_4_ob,a&JUP_CHALLENGE/JUP_THE_SEVEN_4,a&JUP_CHALLENGE/JUP_THE_SEVEN_4_DESC,1,,,,,,,0,1706119200,1706637600,,,0,OB
25848,jup_the_seven_4_br,a&JUP_CHALLENGE/JUP_THE_SEVEN_4,a&JUP_CHALLENGE/JUP_THE_SEVEN_4_DESC,1,,,,,,,0,1706119200,1706637600,,,0,BR
23307,jup_the_seven_5,a&JUP_CHALLENGE/JUP_THE_SEVEN_5,a&JUP_CHALLENGE/JUP_THE_SEVEN_5_DESC,1,,43134,,,,25850|25852|25851,0,1706119200,1706637600,,,0,MP|OB|BR
25850,jup_the_seven_5_mp,a&JUP_CHALLENGE/JUP_THE_SEVEN_5,a&JUP_CHALLENGE/JUP_THE_SEVEN_5_DESC,15,,,,,,,1,1706119200,1706637600,,,0,MP
25852,jup_the_seven_5_ob,a&JUP_CHALLENGE/JUP_THE_SEVEN_5,a&JUP_CHALLENGE/JUP_THE_SEVEN_5_DESC,1,,,,,,,1,1706119200,1706637600,,,0,OB
25851,jup_the_seven_5_br,a&JUP_CHALLENGE/JUP_THE_SEVEN_5,a&JUP_CHALLENGE/JUP_THE_SEVEN_5_DESC,1,,,,,,,1,1706119200,1706637600,,,0,BR
23308,jup_the_seven_6,a&JUP_CHALLENGE/JUP_THE_SEVEN_6,a&JUP_CHALLENGE/JUP_THE_SEVEN_6_DESC,1,,3978,,,,25781|25854|25853,0,1706119200,1706637600,,,0,MP|OB|BR
25781,jup_the_seven_6_mp,a&JUP_CHALLENGE/JUP_THE_SEVEN_6,a&JUP_CHALLENGE/JUP_THE_SEVEN_6_DESC,7,,,,,,,1,1706119200,1706637600,,,0,MP
25854,jup_the_seven_6_ob,a&JUP_CHALLENGE/JUP_THE_SEVEN_6,a&JUP_CHALLENGE/JUP_THE_SEVEN_6_DESC,1,,,,,,,1,1706119200,1706637600,,,0,OB
25853,jup_the_seven_6_br,a&JUP_CHALLENGE/JUP_THE_SEVEN_6,a&JUP_CHALLENGE/JUP_THE_SEVEN_6_DESC,1,,,,,,,1,1706119200,1706637600,,,0,BR
