string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,localized_a,localized_a,localized_a,string,string,string,string,string,string,localized_a,localized_a,localized_a,localized_a,localized_a
52,convoy4_switches_1,a&CP_QUARRY2_OBJECTIVES/CONVOY4_DISABLE_ARMS_1,a&,0,,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
53,convoy4_switches_2,a&CP_QUARRY2_OBJECTIVES/CONVOY4_DISABLE_ARMS_2,a&,0,,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
54,convoy4_switches_3,a&CP_QUARRY2_OBJECTIVES/CONVOY4_DISABLE_ARMS_3,a&,0,,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
55,convoy4_find_keys,a&CP_QUARRY2_OBJECTIVES/CONVOY4_FIND_KEYS,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
56,convoy4_keys_0,a&CP_QUARRY2_OBJECTIVES/CONVOY4_KEYS_0,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
57,convoy4_keys_1,a&CP_QUARRY2_OBJECTIVES/CONVOY4_KEYS_1,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
58,convoy4_keys_2,a&CP_QUARRY2_OBJECTIVES/CONVOY4_KEYS_2,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
59,convoy4_keys_3,a&CP_QUARRY2_OBJECTIVES/CONVOY4_KEYS_3,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
60,convoy4_call_train,a&CP_QUARRY2_OBJECTIVES/CONVOY4_CALL_TRAIN,a&CP_QUARRY2_OBJECTIVES/CONVOY4_CALL_TRAIN_WORLD,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
61,convoy4_take_apache,a&CP_QUARRY2_OBJECTIVES/CONVOY4_TAKEAPACHE,a&,0,,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
62,convoy4_wait_train,a&CP_QUARRY2_OBJECTIVES/CONVOY4_WAITTRAIN,a&CP_QUARRY2_OBJECTIVES/LABEL_WAIT,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
63,convoy4_open_train,a&CP_QUARRY2_OBJECTIVES/CONVOY4_TRAIN_DOOR,a&CP_QUARRY2_OBJECTIVES/LABEL_OPEN,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
64,convoy4_take_loot,a&CP_QUARRY2_OBJECTIVES/CONVOY4_TRAIN_LOOT,a&CP_QUARRY2_OBJECTIVES/LABEL_LOOT,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
65,convoy4_extraction,a&CP_QUARRY2_OBJECTIVES/FULTON_WAITING,a&CP_QUARRY2_OBJECTIVES/FULTON_WAITING_LABEL,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
66,convoy4_fulton,a&CP_QUARRY2_OBJECTIVES/CONVOY4_REGROUP_EXTRACT,a&CP_QUARRY2_OBJECTIVES/ATTACH_FULTON,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
67,convoy4_board_ac130,a&CP_QUARRY2_OBJECTIVES/CONVOY4_BOARD_AC130,a&,0,primary,icon_waypoint_objective_general,,,30,25,15,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
68,convoy4_train_explode,a&CP_QUARRY2_OBJECTIVES/CONVOY4_TRAIN_EXPLODE,a&,0,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_quarry2_convoy4_create_script,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
69,plant_jammers,a&CP_FUBAR/JAM_COMMS,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_plane_hijack_cs,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
70,kill_tunnel_spawns,a&CP_OBJECTIVES/TUNNEL,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_plane_hijack_cs,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
71,equip_disguise,a&CP_FUBAR/CLEAR_AREA,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&CP_FUBAR/EQUIP_DISGUISE,a&,a&,,,,,cp_plane_hijack_cs,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
72,collect_nuclear_core,a&CP_FUBAR/COLLECT_NUCLEAR_CORE,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,,,,a&,a&,a&,,,,,cp_plane_hijack_cs,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
73,exfil_plane,a&CP_FUBAR/EXFIL_C130,a&,1,primary,icon_waypoint_objective_general,,,60,29,14,,,,,,,1,a&,a&,a&,,,,,cp_plane_hijack_cs,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
74,land_at_lz,a&CP_FUBAR/LAND_AT_LZ,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,6669,1,,a&,a&,a&,,,,,cp_plane_hijack_cs,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
75,infil_plane,a&CP_FUBAR/INFIL_C130,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,6669,1,,a&,a&,a&,,,,,cp_plane_hijack_cs,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
76,destroy_c130,a&CP_FUBAR/DESTROY_C130,a&,1,primary,icon_waypoint_objective_general,,,,,,,,,,6669,1,,a&,a&,a&,,,,,cp_plane_hijack_cs,,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TITLE,a&CP_CHYRONS/MAPNAME_MISSIONNAME_TIME,a&CP_CHYRONS/MAPNAME_MISSIONNAME_LOCATION,a&CP_CHYRONS/MAPNAME_MISSIONNAME_MISC,a&CP_CHYRONS/MAPNAME_MISSIONNAME_SQUAD
