string,string,string,string,string,localized_a,localized_a,string,string,localized_a,string,string,string,int,string
106,uavPingGlobal,special,uav_ping_global,200,a&LUA_MENU_MP/UPGRADE_UAV_GLOBAL,a&LUA_MENU_MP/UPGRADE_UAV_GLOBAL_DESC,ui_mp_br_loot_icon_truckwar_radar,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
107,uavPingRadius,special,uav_ping_radius,200,a&LUA_MENU_MP/UPGRADE_UAV_RADIUS,a&LUA_MENU_MP/UPGRADE_UAV_RADIUS_DESC,ui_mp_br_loot_icon_truckwar_radar,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
108,uavStreak,killstreak,uav,400,a&KILLSTREAKS/UAV,a&KILLSTREAKS/UAV_DESC,hud_icon_killstreak_uav,4,a&MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,30,9145,,0,
109,vehAPCAmmo,special,vehicle_apc_improved_ammo,200,a&LUA_MENU_MP/UPGRADE_VEH_APC_AMMO,a&LUA_MENU_MP/UPGRADE_VEH_APC_AMMO_DESC,hud_icon_loot_armor_plate,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
110,vehDefenseT1,special,vehicle_defense_tier_1,200,a&LUA_MENU_MP/UPGRADE_VEH_DEFENSE_T1,a&LUA_MENU_MP/UPGRADE_VEH_DEFENSE_T1_DESC,hud_icon_loot_armor_plate,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
111,vehDefenseT2,special,vehicle_defense_tier_2,200,a&LUA_MENU_MP/UPGRADE_VEH_DEFENSE_T2,a&LUA_MENU_MP/UPGRADE_VEH_DEFENSE_T2_DESC,hud_icon_loot_armor_plate,1,a&LUA_MENU_MP/KIOSK_TAB_RISK_UPGRADE,30,,,0,
112,vehicleRefillTrophy,special,vehicle_refill_trophy,200,a&MP_BR_INGAME/VEHICLE_REFILL_TROPHY,a&MP_BR_INGAME/KIOSK_ITEM_VEHICLE_REFILL_TROPHY_DESC,hud_icon_truck_wars_trophy_system_refill,5,a&MP_BR_INGAME/ITEM_TYPE_VEHICLE,30,,,0,
113,vehicleRepair,special,vehicle_repair,150,a&MP_BR_INGAME/REPAIR_VEHICLE,a&MP_BR_INGAME/KIOSK_ITEM_REPAIR_VEHICLE_DESC,hud_icon_truck_wars_repair_refuel,5,a&MP_BR_INGAME/ITEM_TYPE_VEHICLE,30,,,0,
114,vehicleReplace,special,vehicle_replace,600,a&MP_BR_INGAME/REPLACE_VEHICLE,a&MP_BR_INGAME/KIOSK_ITEM_REPLACE_VEHICLE_DESC,hud_icon_vehicle_mrap,2,a&MP_BR_INGAME/ITEM_TYPE_VEHICLE,30,,,0,
115,vehicleUpgradeArmor,special,vehicle_upgrade_armor,300,a&MP_BR_INGAME/VEHICLE_UPGRADE_ARMOR,a&MP_BR_INGAME/KIOSK_ITEM_VEHICLE_UPGRADE_ARMOR_DESC,hud_icon_truck_wars_additional_armor,5,a&MP_BR_INGAME/ITEM_TYPE_VEHICLE,30,,,0,
116,vehicleUpgradeBarrel,special,vehicle_upgrade_barrel,300,a&MP_BR_INGAME/VEHICLE_UPGRADE_BARREL,a&MP_BR_INGAME/KIOSK_ITEM_VEHICLE_UPGRADE_BARREL_DESC,hud_icon_truck_wars_50cal_barrel,5,a&MP_BR_INGAME/ITEM_TYPE_VEHICLE,30,,,0,
117,vehicleUpgradeTrophy,special,vehicle_upgrade_trophy,400,a&MP_BR_INGAME/VEHICLE_UPGRADE_TROPHY,a&MP_BR_INGAME/KIOSK_ITEM_VEHICLE_UPGRADE_TROPHY_DESC,hud_icon_truck_wars_trophy_system,5,a&MP_BR_INGAME/ITEM_TYPE_VEHICLE,30,,,0,
118,vehicleUpgradeUAV,special,vehicle_upgrade_uav,400,a&MP_BR_INGAME/VEHICLE_UPGRADE_UAV,a&MP_BR_INGAME/KIOSK_ITEM_VEHICLE_UPGRADE_UAV_DESC,hud_icon_truck_wars_local_uav,5,a&MP_BR_INGAME/ITEM_TYPE_VEHICLE,30,,,0,
119,brloot_armor_plate,special,armor_plate,40,a&EQUIPMENT/ARMOR_PLATE_BR,a&EQUIPMENT/ARMOR_PLATE_DESC_BR,hud_icon_loot_armor_plate,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,8372,,0,
120,brloot_backpack_large,special,brloot_backpack_large,240,a&MP/BR_BACKPACK_LARGE,a&MP/BR_BACKPACK_LARGE_DESC,hud_icon_loot_backpack_large,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,8545,,0,
121,brloot_backpack_medium,special,brloot_backpack_medium,165,a&MP/BR_BACKPACK_MEDIUM,a&MP/BR_BACKPACK_MEDIUM_DESC,hud_icon_loot_backpack_medium,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,8600,,0,
122,brloot_equip_gasmask,special,brloot_equip_gasmask,165,a&MP/BR_GASMASK,a&MP/BR_GASMASK_DESC,hud_icon_equipment_gas_mask,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,8400,,0,
123,brloot_equip_gasmask_durable,special,brloot_equip_gasmask_durable,290,a&MP/BR_GASMASK_DURABLE,a&MP/BR_GASMASK_DURABLE_DESC,hud_icon_equipment_gas_mask_durable,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,8590,,0,
124,brloot_health_adrenaline,equipment,equip_adrenaline,40,a&EQUIPMENT/ADRENALINE_BR,a&EQUIPMENT/ADRENALINE_DESC,hud_icon_equipment_stim,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9111,,0,
125,brloot_killstreak_circle_peek,killstreak,circle_peek,240,a&KILLSTREAKS/CIRCLE_PEEK,a&KILLSTREAKS/CIRCLE_PEEK_DESC,hud_icon_killstreak_circle_peek,3,a&MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,30,9152,,0,
126,brloot_killstreak_shieldturret,killstreak,manual_turret,400,a&KILLSTREAKS/MANUAL_TURRET,a&KILLSTREAKS/MANUAL_TURRET_DESC,hud_icon_killstreak_turret,3,a&MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,30,,,0,
127,brloot_offhand_atmine,equipment,equip_at_mine,50,a&EQUIPMENT/ATMINE_BR,a&EQUIPMENT/AT_MINE_DESC,hud_icon_equipment_at_mine,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9094,,0,
128,brloot_offhand_binoculars,equipment,equip_binoculars,60,a&EQUIPMENT/BINOCULARS,a&EQUIPMENT/BINOCULARS_DESC,hud_icon_equipment_spotter_scope,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9087,,0,
129,brloot_offhand_c4,equipment,equip_c4,70,a&EQUIPMENT/C4,a&EQUIPMENT/C4_DESC,hud_icon_equipment_c4,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9104,,0,
130,brloot_offhand_claymore,equipment,equip_claymore,70,a&EQUIPMENT/CLAYMORE_BR,a&EQUIPMENT/CLAYMORE_DESC,hud_icon_equipment_claymore,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9084,,0,
131,brloot_offhand_concussion,equipment,equip_concussion,40,a&EQUIPMENT/CONCUSSION_BR,a&EQUIPMENT/CONCUSSION_DESC,hud_icon_equipment_stun,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9112,,0,
132,brloot_offhand_decoy,equipment,equip_decoy,60,a&EQUIPMENT/DECOY_BR,a&EQUIPMENT/DECOY_DESC,hud_icon_equipment_decoy,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9082,,0,
133,brloot_offhand_deployed_decoy,fieldupgrade,super_deployed_decoy,200,a&EQUIPMENT/DEPLOYED_DECOY,a&EQUIPMENT/DEPLOYED_DECOY_DESC,hud_icon_fieldupgrade_inflatable_decoy,3,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9257,EQUIPMENT/DEPLOYED_DECOY_DESC_GAMEPAD,0,
134,brloot_offhand_flash,equipment,equip_flash,40,a&EQUIPMENT/FLASH_BR,a&EQUIPMENT/FLASH_DESC,hud_icon_equipment_flash,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9118,,0,
135,brloot_offhand_frag,equipment,equip_frag,50,a&EQUIPMENT/FRAG_BR,a&EQUIPMENT/FRAG_DESC,hud_icon_equipment_frag,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9129,,0,
136,brloot_offhand_gas,equipment,equip_gas_grenade,40,a&EQUIPMENT/GAS_BR,a&EQUIPMENT/GAS_DESC,hud_icon_equipment_gas,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9096,,0,
137,brloot_offhand_geigercounter,equipment,equip_geigercounter,50,a&EQUIPMENT/GEIGER_COUNTER,a&EQUIPMENT/GEIGER_COUNTER_DESC,hud_icon_equipment_geiger,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9106,,0,
138,brloot_offhand_heartbeatsensor,equipment,equip_hb_sensor,105,a&EQUIPMENT/HEARTBEATSENSOR_BR,a&EQUIPMENT/HB_SENSOR_DESC,hud_icon_equipment_hb_sensor,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9092,,0,
139,brloot_offhand_molotov,equipment,equip_molotov,35,a&EQUIPMENT/MOLOTOV_BR,a&EQUIPMENT/MOLOTOV_DESC,hud_icon_equipment_molotov,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9099,,0,
140,brloot_offhand_semtex,equipment,equip_semtex,70,a&EQUIPMENT/SEMTEX_BR,a&EQUIPMENT/SEMTEX_DESC,hud_icon_equipment_semtex,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9078,,0,
141,brloot_offhand_shockstick,equipment,equip_shockstick,60,a&EQUIPMENT/SHOCK_STICK,a&EQUIPMENT/SHOCK_STICK_DESC,hud_icon_equipment_shock_stick,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9085,,0,
142,brloot_offhand_smoke,equipment,equip_smoke,25,a&EQUIPMENT/SMOKE,a&EQUIPMENT/SMOKE_DESC,hud_icon_equipment_smoke,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9086,,0,
143,brloot_offhand_snapshot,equipment,equip_snapshot_grenade,40,a&EQUIPMENT/SNAPSHOT_BR,a&EQUIPMENT/SNAPSHOT_DESC,hud_icon_equipment_snapshot,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9119,,0,
144,brloot_offhand_thermite,equipment,equip_thermite,50,a&EQUIPMENT/THERMITE_BR,a&EQUIPMENT/THERMITE_DESC,hud_icon_equipment_thermite,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9095,,0,
145,brloot_offhand_throwingknife,equipment,equip_throwing_knife,50,a&EQUIPMENT/THROWING_KNIFE_BR,a&EQUIPMENT/THROWING_KNIFE_DESC,hud_icon_equipment_throwing_knife,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9100,,0,
146,brloot_offhand_throwingknife_fire,equipment,equip_throwing_knife_fire,60,a&EQUIPMENT/THROWING_KNIFE_BR,a&EQUIPMENT/THROWING_KNIFE_DESC,hud_icon_equipment_throwing_knife,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9109,,0,
147,brloot_plate_carrier_3,special,brloot_plate_carrier_3,140,a&MP/BR_PLATE_CARRIER_3,a&MP_BR_INGAME/BR_PLATE_CARRIER_3_DESC,hud_icon_loot_armor_heavy,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,8410,,0,
148,brloot_self_revive,special,brloot_self_revive,400,a&MP_BR_INGAME/KIOSK_ITEM_SELF_REVIVE,a&MP_BR_INGAME/KIOSK_ITEM_SELF_REVIVE_DESC,hud_icon_loot_revive,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,8548,,0,
149,burn_assassin_buyback,special,burn_assassin_buyback,200,a&BR_BURN/BS_ASSASSIN,a&BR_BURN/BS_ASSASSIN_DESC,icon_mp_mode_hvt,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,,,0,
150,brloot_offhand_bunkerbuster,equipment,equip_bunkerbuster,50,a&EQUIPMENT/BUNKERBUSTER,a&EQUIPMENT/BUNKERBUSTER_DESC,hud_icon_equipment_bunker_buster,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,9125,,0,
151,uavStreak_bonus,killstreak,uav,400,a&KILLSTREAKS/UAV,a&KILLSTREAKS/UAV_DESC,hud_icon_killstreak_uav,4,a&MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,30,9145,,0,
152,brloot_plate_carrier_2,special,brloot_plate_carrier_2,140,a&MP/BR_PLATE_CARRIER_2,a&MP_BR_INGAME/BR_PLATE_CARRIER_2_DESC,hud_icon_loot_armor_medium,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,8554,,0,
153,loot_key_fortress,special,loot_key_fortress,200,a&MP_DMZ_LOCKS/FORTRESS_KEY_NAME,a&MP_DMZ_LOCKS/FORTRESS_KEY_DESC,hud_icon_loot_keycard_stronghold_01,3,a&MP_BR_INGAME/ITEM_TYPE_KEY,30,8557,,0,
154,brloot_weapon_ar_golf3_rare,weapon,brloot_weapon_ar_golf3_rare,999,a&WEAPON/AR_GOLF3,a&PERKS/AR_GOLF3,hud_icon_weapon_ar_golf3,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11339,,0,
155,brloot_weapon_br_soscar14_rare,weapon,brloot_weapon_br_soscar14_rare,999,a&WEAPON/BR_SOSCAR14,a&PERKS/BR_SOSCAR14,hud_icon_weapon_br_soscar14,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11336,,0,
156,brloot_weapon_dm_sbeta_epic,weapon,brloot_weapon_dm_sbeta_epic,999,a&WEAPON/DM_SBETA,a&PERKS/DM_SBETA,hud_icon_weapon_dm_sbeta,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11329,,0,
157,brloot_weapon_dm_scromeo_unco,weapon,brloot_weapon_dm_scromeo_unco,999,a&WEAPON/DM_SCROMEO,a&PERKS/DM_SCROMEO,hud_icon_weapon_dm_scromeo,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11312,,0,
158,brloot_weapon_dm_la700_unco,weapon,brloot_weapon_dm_la700_unco,999,a&WEAPON/DM_LA700,a&PERKS/DM_LA700,hud_icon_weapon_sn_la700,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11348,,0,
159,brloot_weapon_dm_xmike2010_epic,weapon,brloot_weapon_dm_xmike2010_epic,999,a&WEAPON/DM_XMIKE2010,a&PERKS/DM_XMIKE2010,hud_icon_weapon_sn_xmike2010,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11340,,0,
160,brloot_weapon_sn_limax_comm,weapon,brloot_weapon_sn_limax_comm,999,a&WEAPON/SN_LIMAX,a&PERKS/SN_LIMAX,hud_icon_weapon_sn_limax,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11358,,0,
161,brloot_weapon_sn_mromeo_rare,weapon,brloot_weapon_sn_mromeo_rare,999,a&WEAPON/SN_MROMEO,a&PERKS/SN_MROMEO,hud_icon_weapon_sn_mromeo,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11317,,0,
162,brloot_weapon_sh_mbravo_unco,weapon,brloot_weapon_sh_mbravo_unco,999,a&WEAPON/SH_MBRAVO,a&PERKS/SH_MBRAVO,hud_icon_weapon_sh_mbravo,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11356,,0,
163,brloot_weapon_sh_mike1014_epic,weapon,brloot_weapon_sh_mike1014_epic,999,a&WEAPON/SH_MIKE1014,a&PERKS/SH_MIKE1014,hud_icon_weapon_sh_mike1014,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11366,,0,
164,brloot_weapon_sh_mviktor_rare,weapon,brloot_weapon_sh_mviktor_rare,999,a&WEAPON/SH_MVIKTOR,a&PERKS/SH_MVIKTOR,hud_icon_weapon_sh_mviktor,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11328,,0,
165,brloot_weapon_pi_swhiskey_epic,weapon,brloot_weapon_pi_swhiskey_epic,999,a&WEAPON/PI_SWHISKEY,a&PERKS/PI_SWHISKEY,hud_icon_weapon_pi_swhiskey,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11367,,0,
166,brloot_weapon_lm_ahotel_unco,weapon,brloot_weapon_lm_ahotel_unco,999,a&WEAPON/LM_AHOTEL,a&PERKS/LM_AHOTEL,hud_icon_weapon_lm_ahotel,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11318,,0,
167,brloot_weapon_lm_rkilo_rare,weapon,brloot_weapon_lm_rkilo_rare,999,a&WEAPON/LM_RKILO,a&PERKS/LM_RKILO,hud_icon_weapon_lm_rkilo,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11360,,0,
168,brloot_weapon_lm_slima_epic,weapon,brloot_weapon_lm_slima_epic,999,a&WEAPON/LM_SLIMA,a&PERKS/LM_SLIMA,hud_icon_weapon_lm_slima,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11314,,0,
169,brloot_weapon_ar_mike16_rare,weapon,brloot_weapon_ar_mike16_rare,999,a&WEAPON/AR_MIKE16,a&PERKS/AR_MIKE16,hud_icon_weapon_ar_mike16,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11325,,0,
170,brloot_weapon_ar_akilo105_epic,weapon,brloot_weapon_ar_akilo105_epic,999,a&WEAPON/AR_AKILO105,a&PERKS/AR_AKILO105,hud_icon_weapon_ar_akilo105,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11323,,0,
171,brloot_weapon_sm_alpha57_rare,weapon,brloot_weapon_sm_alpha57_rare,999,a&WEAPON/SM_ALPHA57,a&PERKS/SM_ALPHA57,hud_icon_weapon_sm_alpha57,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11365,,0,
172,brloot_weapon_sm_aviktor_epic,weapon,brloot_weapon_sm_aviktor_epic,999,a&WEAPON/SM_AVIKTOR,a&PERKS/SM_AVIKTOR,hud_icon_weapon_sm_aviktor,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11364,,0,
173,brloot_weapon_sm_beta_unco,weapon,brloot_weapon_sm_beta_unco,999,a&WEAPON/SM_BETA,a&PERKS/SM_BETA,hud_icon_weapon_sm_beta,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11341,,0,
174,brloot_weapon_sm_victor_rare,weapon,brloot_weapon_sm_victor_rare,999,a&WEAPON/SM_VICTOR,a&PERKS/SM_VICTOR,hud_icon_weapon_sm_victor,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11315,,0,
175,brloot_weapon_sm_papa90_rare,weapon,brloot_weapon_sm_papa90_rare,999,a&WEAPON/SM_PAPA90,a&PERKS/SM_PAPA90,hud_icon_weapon_sm_papa90,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11374,,0,
176,brloot_weapon_ar_schotel_epic,weapon,brloot_weapon_ar_schotel_epic,999,a&WEAPON/AR_SCHOTEL,a&PERKS/AR_SCHOTEL,hud_icon_weapon_ar_schotel,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11362,,0,
177,brloot_weapon_dm_mike14_lege,weapon,brloot_weapon_dm_mike14_lege,999,a&WEAPON/DM_MIKE14,a&PERKS/DM_MIKE14,hud_icon_weapon_dm_mike14,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11350,,0,
178,brloot_weapon_pi_decho_lege,weapon,brloot_weapon_pi_decho_lege,999,a&WEAPON/PI_DECHO,a&PERKS/PI_DECHO,hud_icon_weapon_pi_decho,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11324,,0,
179,brloot_weapon_lm_kilo21_lege,weapon,brloot_weapon_lm_kilo21_lege,999,a&WEAPON/LM_KILO21,a&PERKS/LM_KILO21,hud_icon_weapon_lm_kilo21,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11342,,0,
180,brloot_weapon_ar_mike4_lege,weapon,brloot_weapon_ar_mike4_lege,999,a&WEAPON/AR_MIKE4,a&PERKS/AR_MIKE4,hud_icon_weapon_ar_mike4,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11354,,0,
181,brloot_weapon_sm_victor_lege,weapon,brloot_weapon_sm_victor_lege,999,a&WEAPON/SM_VICTOR,a&PERKS/SM_VICTOR,hud_icon_weapon_sm_victor,1,a&LOOT_MP/ITEM_TYPE_WEAPON,30,11315,,0,
182,loot_key_civic_center,special,loot_key_civic_center,2000,a&MP_DMZ_LOCKS/CIVIC_CENTER_KEY_NAME_USED,a&MP_DMZ_LOCKS/CIVIC_CENTER_KEY_DESC,hud_icon_loot_key_civic_center_pristine,3,a&MP_BR_INGAME/ITEM_TYPE_KEY,30,10478,,0,
183,loot_key_embassy,special,loot_key_embassy,2000,a&MP_DMZ_LOCKS/EMBASSY_KEY_NAME,a&MP_DMZ_LOCKS/EMBASSY_KEY_DESC,hud_icon_loot_key_embassy_pristine,3,a&MP_BR_INGAME/ITEM_TYPE_KEY,30,10464,,0,
184,loot_key_fort,special,loot_key_fort,2000,a&MP_DMZ_LOCKS/FORT_KEY_NAME,a&MP_DMZ_LOCKS/FORT_KEY_DESC,hud_icon_loot_key_fort_pristine,3,a&MP_BR_INGAME/ITEM_TYPE_KEY,30,10514,,0,
185,loot_key_sira_mall,special,loot_key_sira_mall,2000,a&MP_DMZ_LOCKS/SIRA_MALL_KEY_NAME,a&MP_DMZ_LOCKS/SIRA_MALL_KEY_DESC,hud_icon_loot_key_mall_pristine,3,a&MP_BR_INGAME/ITEM_TYPE_KEY,30,10463,,0,
186,loot_key_police_academy,special,loot_key_police_academy,2000,a&MP_DMZ_LOCKS/POLICE_ACADEMY_KEY_NAME,a&MP_DMZ_LOCKS/POLICE_ACADEMY_KEY_DESC,hud_icon_loot_key_police_station_pristine,3,a&MP_BR_INGAME/ITEM_TYPE_KEY,30,10508,,0,
187,loot_key_post_office_stronghold,special,loot_key_post_office_stronghold,2000,a&MP_DMZ_LOCKS/POST_OFFICE_STRONGHOLD_KEY_NAME,a&MP_DMZ_LOCKS/POST_OFFICE_STRONGHOLD_KEY_DESC,hud_icon_loot_key_post_office_pristine,3,a&MP_BR_INGAME/ITEM_TYPE_KEY,30,10520,,0,
188,loot_key_control_tower,special,loot_key_control_tower,2000,a&MP_DMZ_LOCKS/CONTROL_TOWER_KEY_NAME,a&MP_DMZ_LOCKS/CONTROL_TOWER_KEY_DESC,hud_icon_loot_key_tower_pristine,3,a&MP_BR_INGAME/ITEM_TYPE_KEY,30,10453,,0,
189,loot_key_exhume_warehouse,special,loot_key_exhume_warehouse,2000,a&MP_DMZ_LOCKS/EXHUME_WAREHOUSE_KEY_NAME,a&MP_DMZ_LOCKS/EXHUME_WAREHOUSE_KEY_DESC,hud_icon_loot_key_warehouse_pristine,3,a&MP_BR_INGAME/ITEM_TYPE_KEY,30,10467,,0,
190,loot_key_gold_door,special,loot_key_gold_door,2000,a&MP_BIO_LAB/ACCESS_CARD_GOLD,a&MP_BIO_LAB/ACCESS_CARD_GOLD_DESC_3,ui_mp_br_loot_icon_keycard,3,a&MP_BR_INGAME/ITEM_TYPE_KEY,30,9072,,0,
191,brloot_redeploy_token,special,brloot_redeploy_token,600,a&MP_BR_INGAME/REDEPLOY_TOKEN,a&MP_BR_INGAME/REDEPLOY_TOKEN_DESC,hud_icon_status_respawn,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,27034,,0,
192,brloot_gulag_token,special,brloot_gulag_token,600,a&MP_BR_INGAME/GULAG_TOKEN,a&MP_BR_INGAME/GULAG_TOKEN_DESC,ui_mp_br_player_status_token_gulag,3,a&MP_INGAME_ONLY/ITEM_TYPE_EQUIPMENT,30,,,0,
193,supplyDropBR,special,supply_drop,3200,a&EQUIPMENT/ADVANCED_SUPPLY_DROP,a&EQUIPMENT/ADVANCED_SUPPLY_DROP_DESC,hud_icon_fieldupgrade_loadout_drop,1,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9231,,0,
194,brloot_plunder_extract,fieldupgrade,super_fulton,200,a&MP/BR_PLUNDER_EXTRACT,a&SUPER_MP/BR_PLUNDER_EXTRACT_DESC,ui_mp_br_loot_icon_plunder_extract_balloon_pig,3,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,9227,,0,
195,brloot_super_reinforcementflare,fieldupgrade,super_reinforcement_flare,500,a&EQUIPMENT/REINFORCEMENT_FLARE,a&EQUIPMENT/REINFORCEMENT_FLARE_DESC,hud_icon_fieldupgrade_reinforcement_flare,1,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,15431,,0,
196,brloot_super_personal_redeploy_drone,fieldupgrade,super_personal_redeploy_drone,200,a&SUPER_MP/PERSONAL_REDEPLOY_DRONE,a&SUPER_MP/PERSONAL_REDEPLOY_DRONE_DESC,hud_icon_fieldupgrade_personal_redeploy,1,a&MP_BR_INGAME/ITEM_TYPE_SUPER,30,13583,,0,
197,brloot_credit_card,persistent,credit_card,100,a&MP_BR_INGAME/CREDIT_CARD,a&MP_BR_INGAME/KIOSK_ITEM_CREDIT_CARD_DESC,hud_icon_shop_credit,1,a&MP_BR_INGAME/ITEM_TYPE_PERM_ITEM,30,0,,0,
198,brloot_life_insurance,persistent,life_insurance,400,a&MP_BR_INGAME/LIFE_INSURANCE,a&MP_BR_INGAME/KIOSK_ITEM_LIFE_INSURANCE_DESC,hud_icon_shop_insurance,1,a&MP_BR_INGAME/ITEM_TYPE_PERM_ITEM,30,0,,0,
199,brloot_ttsbr_nuke,special,brloot_ttsbr_nuke,400,a&MP_BR_INGAME/ELITE_ARROW_CONTRACT,a&MP_BR_INGAME/ELITE_ARROW_CONTRACT_DESC,hud_icon_killstreak_nuke,1,a&MP_BR_INGAME/ITEM_TYPE_SUPER,50,,,0,
200,brloot_killstreak_supply_sweep,killstreak,supply_sweep,400,a&MP_SEALION/SUPPLY_SWEEP,a&MP_SEALION/SUPPLY_SWEEP_DESC,hud_icon_killstreak_supply_sweep,4,a&MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,30,13433,,0,
201,dmz_exfil_personal,special,dmz_exfil_personal,200,a&DMZ/PERSONAL_EXFIL_UNLOCK_TOKEN,a&DMZ/PERSONAL_EXFIL_UNLOCK_TOKEN_DESC,hud_icon_shop_personal_exfil,3,a&MP_BR_INGAME/ITEM_TYPE_GEAR,30,24141,,0,
202,brloot_offhand_deconstation,killstreak,equip_decon_station,400,a&EQUIPMENT/DECON_STATION,a&EQUIPMENT/DECON_STATION_DESC,hud_icon_fieldupgrade_trophy,4,a&MP_BR_INGAME/ITEM_TYPE_KILLSTREAK,30,9238,,0,
203,brloot_perkpack_demolitionist_br,perkpackage,brloot_perkpack_demolitionist_br,350,a&PERKS/PERK_PACKAGE_BR_DEMOLITIONIST,a&,hud_icon_loot_perk_pack,7,a&MP_BR_INGAME/ITEM_TYPE_PERK_PACKAGE,30,19478,,0,
204,brloot_perkpack_swat_br,perkpackage,brloot_perkpack_swat_br,350,a&PERKS/PERK_PACKAGE_BR_SWAT,a&,hud_icon_loot_perk_pack,7,a&MP_BR_INGAME/ITEM_TYPE_PERK_PACKAGE,30,19479,,0,
