string,string,localized_a,localized_a,string,string,string,string,string,string,string,string,string,string,string,string,int,string,string,string,string
29274,jup_decay_2_mp,a&JUP_CHALLENGE/JUP_DECAY_2,a&JUP_CHALLENGE/JUP_DECAY_2_DESC,15,,,,,,,,1711558800,1712156400,,,0,MP,,,
29280,jup_decay_2_ob,a&JUP_CHALLENGE/JUP_DECAY_1,a&JUP_OB_EVENT_CHALLENGES/DECAY_2,50,,,,,,,,1711558800,1712156400,,,0,OB,,,
29281,jup_decay_2_br,a&JUP_CHALLENGE/JUP_DECAY_2,a&JUP_CHALLENGE/JUP_DECAY_2_DESC_BR,1,,,,,,,2000,1711558800,1712156400,,,0,BR|LP_BR|LP_RES,,,
29269,jup_decay_3,a&JUP_CHALLENGE/JUP_DECAY_3,a&JUP_CHALLENGE/JUP_DECAY_3_TRACKER_DESC,1,,52865,,,,29275|29282|29283,,1711558800,1712156400,,,0,,,,
29275,jup_decay_3_mp,a&JUP_CHALLENGE/JUP_DECAY_3,a&JUP_CHALLENGE/JUP_DECAY_3_DESC,10,,,,,,,,1711558800,1712156400,,,0,MP,,,
29282,jup_decay_3_ob,a&JUP_CHALLENGE/JUP_DECAY_1,a&JUP_OB_EVENT_CHALLENGES/DECAY_3,25,,,,,,,,1711558800,1712156400,,,0,OB,,,
29283,jup_decay_3_br,a&JUP_CHALLENGE/JUP_DECAY_3,a&JUP_CHALLENGE/JUP_DECAY_3_DESC_BR,25,,,,,,,2000,1711558800,1712156400,,,0,BR|LP_BR|LP_RES,,,
29271,jup_decay_4,a&JUP_CHALLENGE/JUP_DECAY_4,a&JUP_CHALLENGE/JUP_DECAY_4_TRACKER_DESC,1,,52924,,,,29276|29284|29285,,1711558800,1712156400,,,0,,,,
29276,jup_decay_4_mp,a&JUP_CHALLENGE/JUP_DECAY_4,a&JUP_CHALLENGE/JUP_DECAY_4_DESC,40,,,,,,,,1711558800,1712156400,,,0,MP,,,
29284,jup_decay_4_ob,a&JUP_CHALLENGE/JUP_DECAY_1,a&JUP_OB_EVENT_CHALLENGES/DECAY_4,15,,,,,,,,1711558800,1712156400,,,0,OB,,,
29285,jup_decay_4_br,a&JUP_CHALLENGE/JUP_DECAY_4,a&JUP_CHALLENGE/JUP_DECAY_4_DESC_BR,1,,,,,,,2000,1711558800,1712156400,,,0,BR|LP_BR|LP_RES,,,
29270,jup_decay_5,a&JUP_CHALLENGE/JUP_DECAY_5,a&JUP_CHALLENGE/JUP_DECAY_5_TRACKER_DESC,1,,3951,,,,29277|29286|29287,,1711558800,1712156400,,,0,,,,
29277,jup_decay_5_mp,a&JUP_CHALLENGE/JUP_DECAY_5,a&JUP_CHALLENGE/JUP_DECAY_5_DESC,40,,,,,,,,1711558800,1712156400,,,0,MP,,,
29286,jup_decay_5_ob,a&JUP_CHALLENGE/JUP_DECAY_1,a&JUP_OB_EVENT_CHALLENGES/DECAY_5,200,,,,,,,,1711558800,1712156400,,,0,OB,,,
29287,jup_decay_5_br,a&JUP_CHALLENGE/JUP_DECAY_5,a&JUP_CHALLENGE/JUP_DECAY_5_DESC_BR,5,,,,,,,2000,1711558800,1712156400,,,0,BR|LP_BR|LP_RES,,,
29870,jup_s2_bp_timelimited_base_1,a&JUP_CHALLENGE/BATTLE_PASS_CHALLENGE,a&JUP_CHALLENGE/JUP_S2_BP_TIMELIMITED_BASE_1_DESC,5,,,,1,1,,2500,,,,,0,,,,
29871,jup_s2_bp_timelimited_base_2,a&JUP_CHALLENGE/BATTLE_PASS_CHALLENGE,a&JUP_CHALLENGE/JUP_S2_BP_TIMELIMITED_BASE_2_DESC,10,,,,1,2,,2500,,,,,0,,,,
29872,jup_s2_bp_timelimited_base_3,a&JUP_CHALLENGE/BATTLE_PASS_CHALLENGE,a&JUP_CHALLENGE/JUP_S2_BP_TIMELIMITED_BASE_3_DESC,15,,,,1,3,,2500,,,,,0,,,,
29873,jup_s2_bp_timelimited_base_4,a&JUP_CHALLENGE/BATTLE_PASS_CHALLENGE,a&JUP_CHALLENGE/JUP_S2_BP_TIMELIMITED_BASE_4_DESC,5,,,,1,4,,2500,,,,,0,,,,
29874,jup_s2_bp_timelimited_gununlock,a&JUP_CHALLENGE/BATTLE_PASS_CHALLENGE_HVT,a&JUP_CHALLENGE/JUP_S2_BP_TIMELIMITED_GUNUNLOCK_DESC,10,,,,,0,,2500,,,,,0,,,,
34347,jup_how_high,a&JUP_CHALLENGE/JUP_HOW_HIGH_MASTERY,a&JUP_CHALLENGE/JUP_HOW_HIGH_MASTERY_DESC,11,,56528,,,,34353|34361|34396|34369|34373|34377|34395|34365|34397|34398|34381,,1712768400,1713970800,,,0,,,,
34353,jup_how_high_1,a&JUP_CHALLENGE/JUP_HOW_HIGH_1,a&JUP_CHALLENGE/JUP_HOW_HIGH_1_TRACKER_DESC,1,,3946,,,,34354|34355|34356,,1712768400,1713970800,,,0,,,,
34354,jup_how_high_1_mp,a&JUP_CHALLENGE/JUP_HOW_HIGH_1,a&JUP_CHALLENGE/JUP_HOW_HIGH_1_DESC,25,,,,,,,,1712768400,1713970800,,,0,MP,,,
34355,jup_how_high_1_ob,a&JUP_CHALLENGE/JUP_HOW_HIGH_1,a&JUP_CHALLENGE/JUP_HOW_HIGH_OB_1_DESC,50,,,,,,,,1712768400,1713970800,,,0,OB,,,
34356,jup_how_high_1_br,a&JUP_CHALLENGE/JUP_HOW_HIGH_1,a&JUP_CHALLENGE/JUP_HOW_HIGH_BR_1_DESC,1,,,,,,,3000,1712768400,1713970800,,,0,BR,,,
34361,jup_how_high_2,a&JUP_CHALLENGE/JUP_HOW_HIGH_2,a&JUP_CHALLENGE/JUP_HOW_HIGH_2_TRACKER_DESC,1,,58111,,,,34385|34386|34387,,1712768400,1713970800,,,0,,,,
34385,jup_how_high_2_mp,a&JUP_CHALLENGE/JUP_HOW_HIGH_2,a&JUP_CHALLENGE/JUP_HOW_HIGH_2_DESC,10,,,,,,,,1712768400,1713970800,,,0,MP,,,
34386,jup_how_high_2_ob,a&JUP_CHALLENGE/JUP_HOW_HIGH_2,a&JUP_CHALLENGE/JUP_HOW_HIGH_OB_2_DESC,80,,,,,,,,1712768400,1713970800,,,0,OB,,,
34387,jup_how_high_2_br,a&JUP_CHALLENGE/JUP_HOW_HIGH_2,a&JUP_CHALLENGE/JUP_HOW_HIGH_BR_2_DESC,1,,,,,,,3000,1712768400,1713970800,,,0,BR,,,
34396,jup_how_high_8,a&JUP_CHALLENGE/JUP_HOW_HIGH_3,a&JUP_CHALLENGE/JUP_HOW_HIGH_3_TRACKER_DESC,1,,58413,,,,34391|34405|34406,,1712768400,1713970800,,,0,,,,
34391,jup_how_high_8_mp,a&JUP_CHALLENGE/JUP_HOW_HIGH_3,a&JUP_CHALLENGE/JUP_HOW_HIGH_8_DESC,20,,,,,,,,1712768400,1713970800,,,0,MP,,,
34405,jup_how_high_8_ob,a&JUP_CHALLENGE/JUP_HOW_HIGH_3,a&JUP_CHALLENGE/JUP_HOW_HIGH_OB_8_DESC,50,,,,,,,,1712768400,1713970800,,,0,OB,,,
34406,jup_how_high_8_br,a&JUP_CHALLENGE/JUP_HOW_HIGH_3,a&JUP_CHALLENGE/JUP_HOW_HIGH_BR_8_DESC,50,,,,,,,3000,1712768400,1713970800,,,0,BR,,,
34369,jup_how_high_4,a&JUP_CHALLENGE/JUP_HOW_HIGH_4,a&JUP_CHALLENGE/JUP_HOW_HIGH_4_TRACKER_DESC,1,,58670,,,,34394|34412|34413,,1712768400,1713970800,,,0,,,,
34394,jup_how_high_4_mp,a&JUP_CHALLENGE/JUP_HOW_HIGH_4,a&JUP_CHALLENGE/JUP_HOW_HIGH_4_DESC,20,,,,,,,,1712768400,1713970800,,,0,MP,,,
34412,jup_how_high_4_ob,a&JUP_CHALLENGE/JUP_HOW_HIGH_4,a&JUP_CHALLENGE/JUP_HOW_HIGH_OB_4_DESC,4,,,,,,,,1712768400,1713970800,,,0,OB,,,
34413,jup_how_high_4_br,a&JUP_CHALLENGE/JUP_HOW_HIGH_4,a&CHALLENGE/SPY_DRONE_CONTRACTS,5,,,,,,,3000,1712768400,1713970800,,,0,BR,,,
34373,jup_how_high_5,a&JUP_CHALLENGE/JUP_HOW_HIGH_5,a&JUP_CHALLENGE/JUP_HOW_HIGH_5_TRACKER_DESC,1,,58112,,,,34393|34409|34411,,1712768400,1713970800,,,0,,,,
34393,jup_how_high_5_mp,a&JUP_CHALLENGE/JUP_HOW_HIGH_5,a&JUP_CHALLENGE/JUP_HOW_HIGH_5_DESC,15,,,,,,,,1712768400,1713970800,,,0,MP,,,
34409,jup_how_high_5_ob,a&JUP_CHALLENGE/JUP_HOW_HIGH_5,a&JUP_CHALLENGE/JUP_HOW_HIGH_OB_5_DESC,4,,,,,,,,1712768400,1713970800,,,0,OB,,,
34411,jup_how_high_5_br,a&JUP_CHALLENGE/JUP_HOW_HIGH_5,a&JUP_CHALLENGE/JUP_HOW_HIGH_BR_5_DESC,1,,,,,,,3000,1712768400,1713970800,,,0,BR,,,
34377,jup_how_high_6,a&JUP_CHALLENGE/JUP_HOW_HIGH_6,a&JUP_CHALLENGE/JUP_HOW_HIGH_6_TRACKER_DESC,1,,58163,,,,34389|34401|34490,,1712768400,1713970800,,,0,,,,
34389,jup_how_high_6_mp,a&JUP_CHALLENGE/JUP_HOW_HIGH_6,a&JUP_CHALLENGE/JUP_HOW_HIGH_6_DESC,2,,,,,,,,1712768400,1713970800,,,0,MP,,,
34401,jup_how_high_6_ob,a&JUP_CHALLENGE/JUP_HOW_HIGH_6,a&JUP_CHALLENGE/JUP_HOW_HIGH_OB_6_DESC,400,,,,,,,,1712768400,1713970800,,,0,OB,,,
34490,jup_how_high_6_br,a&JUP_CHALLENGE/JUP_HOW_HIGH_6,a&JUP_CHALLENGE/JUP_HOW_HIGH_BR_6_DESC,8,,,,,,,3000,1712768400,1713970800,,,0,BR,,,
34395,jup_how_high_7,a&JUP_CHALLENGE/JUP_HOW_HIGH_7,a&JUP_CHALLENGE/JUP_HOW_HIGH_7_TRACKER_DESC,1,,58151,,,,34390|34407|34408,,1712768400,1713970800,,,0,,,,
34390,jup_how_high_7_mp,a&JUP_CHALLENGE/JUP_HOW_HIGH_7,a&JUP_CHALLENGE/JUP_HOW_HIGH_7_DESC,10,,,,,,,,1712768400,1713970800,,,0,MP,,,
34407,jup_how_high_7_ob,a&JUP_CHALLENGE/JUP_HOW_HIGH_7,a&JUP_CHALLENGE/JUP_HOW_HIGH_OB_7_DESC,3,,,,,,,,1712768400,1713970800,,,0,OB,,,
34408,jup_how_high_7_br,a&JUP_CHALLENGE/JUP_HOW_HIGH_7,a&JUP_CHALLENGE/JUP_HOW_HIGH_BR_7_DESC,1,,,,,,,3000,1712768400,1713970800,,,0,BR,,,
34365,jup_how_high_3,a&JUP_CHALLENGE/JUP_HOW_HIGH_8,a&JUP_CHALLENGE/JUP_HOW_HIGH_8_TRACKER_DESC,1,,3942,,,,34388|34415|34414,,1712768400,1713970800,,,0,,,,
34388,jup_how_high_3_mp,a&JUP_CHALLENGE/JUP_HOW_HIGH_8,a&JUP_CHALLENGE/JUP_HOW_HIGH_3_DESC,20,,,,,,,,1712768400,1713970800,,,0,MP,,,
34415,jup_how_high_3_ob,a&JUP_CHALLENGE/JUP_HOW_HIGH_8,a&JUP_CHALLENGE/JUP_HOW_HIGH_OB_3_DESC,200,,,,,,,,1712768400,1713970800,,,0,OB,,,
34414,jup_how_high_3_br,a&JUP_CHALLENGE/JUP_HOW_HIGH_8,a&JUP_CHALLENGE/JUP_HOW_HIGH_BR_3_DESC,1,,,,,,,3000,1712768400,1713970800,,,0,BR,,,
34397,jup_how_high_9,a&JUP_CHALLENGE/JUP_HOW_HIGH_9,a&JUP_CHALLENGE/JUP_HOW_HIGH_9_TRACKER_DESC,1,,58088,,,,34392|34399|34400,,1712768400,1713970800,,,0,,,,
34392,jup_how_high_9_mp,a&JUP_CHALLENGE/JUP_HOW_HIGH_9,a&JUP_CHALLENGE/JUP_HOW_HIGH_9_DESC,15,,,,,,,,1712768400,1713970800,,,0,MP,,,
34399,jup_how_high_9_ob,a&JUP_CHALLENGE/JUP_HOW_HIGH_9,a&JUP_CHALLENGE/JUP_HOW_HIGH_OB_9_DESC,30,,,,,,,,1712768400,1713970800,,,0,OB,,,
34400,jup_how_high_9_br,a&JUP_CHALLENGE/JUP_HOW_HIGH_9,a&JUP_CHALLENGE/JUP_HOW_HIGH_BR_9_DESC,4,,,,,,,3000,1712768400,1713970800,,,0,BR,,,
34398,jup_how_high_10,a&JUP_CHALLENGE/JUP_HOW_HIGH_10,a&JUP_CHALLENGE/JUP_HOW_HIGH_10_TRACKER_DESC,1,,26329,,,,34404|34403|34402,,1712768400,1713970800,,,0,,,,
34404,jup_how_high_10_mp,a&JUP_CHALLENGE/JUP_HOW_HIGH_10,a&JUP_CHALLENGE/JUP_HOW_HIGH_10_DESC,25,,,,,,,,1712768400,1713970800,,,0,MP,,,
34403,jup_how_high_10_ob,a&JUP_CHALLENGE/JUP_HOW_HIGH_10,a&JUP_CHALLENGE/JUP_HOW_HIGH_OB_10_DESC,250,,,,,,,,1712768400,1713970800,,,0,OB,,,
34402,jup_how_high_10_br,a&JUP_CHALLENGE/JUP_HOW_HIGH_10,a&JUP_CHALLENGE/JUP_HOW_HIGH_BR_10_DESC,100,,,,,,,3000,1712768400,1713970800,,,0,BR,,,
34381,jup_how_high_11,a&JUP_CHALLENGE/JUP_HOW_HIGH_11,a&JUP_CHALLENGE/JUP_HOW_HIGH_11_TRACKER_DESC,1,,8594,,,,34384|34382|34383,,1712768400,1713970800,,,0,,,,
34384,jup_how_high_11_mp,a&JUP_CHALLENGE/JUP_HOW_HIGH_11,a&JUP_CHALLENGE/JUP_HOW_HIGH_11_DESC,40,,,,,,,,1712768400,1713970800,,,0,MP,,,
34382,jup_how_high_11_ob,a&JUP_CHALLENGE/JUP_HOW_HIGH_11,a&JUP_CHALLENGE/JUP_HOW_HIGH_OB_11_DESC,3,,,,,,,,1712768400,1713970800,,,0,OB,,,
34383,jup_how_high_11_br,a&JUP_CHALLENGE/JUP_HOW_HIGH_11,a&JUP_CHALLENGE/JUP_HOW_HIGH_BR_11_DESC,1,,,,,,,3000,1712768400,1713970800,,,0,BR,,,
34457,jup_code_uav,a&JUP_CHALLENGE/JUP_CODE_UAV_MASTERY,a&JUP_CHALLENGE/JUP_CODE_UAV_MASTERY_DESC,7,,56475,,,,34496|34497|34498|34462|34464|34463|34469,,1715187600,1716390000,,,0,,,,
34496,jup_code_uav_1,a&JUP_CHALLENGE/JUP_CODE_UAV_1,a&JUP_CHALLENGE/JUP_CODE_UAV_1_TRACKER_DESC,1,,60994,,,,34470|34476|34483,,1715187600,1716390000,,,0,,,,
34470,jup_code_uav_1_mp,a&JUP_CHALLENGE/JUP_CODE_UAV_1,a&JUP_CHALLENGE/JUP_CODE_UAV_1_DESC,5,,,,,,,,1715187600,1716390000,,,0,MP,,,
34476,jup_code_uav_1_ob,a&JUP_CHALLENGE/JUP_CODE_UAV_1,a&JUP_CHALLENGE/JUP_CODE_UAV_1_OB_DESC,5,,,,,,,,1715187600,1716390000,,,0,OB,,,
34483,jup_code_uav_1_br,a&JUP_CHALLENGE/JUP_CODE_UAV_1,a&JUP_CHALLENGE/JUP_CODE_UAV_1_WZ_DESC,10,,,,,,,3000,1715187600,1716390000,,,0,BR|LP_RES|LP_BR,,,
34497,jup_code_uav_2,a&JUP_CHALLENGE/JUP_CODE_UAV_2,a&JUP_CHALLENGE/JUP_CODE_UAV_2_TRACKER_DESC,1,,60989,,,,34471|34477|34489,,1715187600,1716390000,,,0,,,,
34471,jup_code_uav_2_mp,a&JUP_CHALLENGE/JUP_CODE_UAV_2,a&JUP_CHALLENGE/JUP_CODE_UAV_2_DESC,40,,,,,,,,1715187600,1716390000,,,0,MP,,,
34477,jup_code_uav_2_ob,a&JUP_CHALLENGE/JUP_CODE_UAV_2,a&JUP_CHALLENGE/JUP_CODE_UAV_2_OB_DESC,10,,,,,,,,1715187600,1716390000,,,0,OB,,,
34489,jup_code_uav_2_br,a&JUP_CHALLENGE/JUP_CODE_UAV_2,a&JUP_CHALLENGE/JUP_CODE_UAV_2_WZ_DESC,20,,,,,,,3000,1715187600,1716390000,,,0,BR|LP_BR|LP_RES,,,
34498,jup_code_uav_3,a&JUP_CHALLENGE/JUP_CODE_UAV_3,a&JUP_CHALLENGE/JUP_CODE_UAV_3_TRACKER_DESC,1,,62265,,,,34461|34478|34484,,1715187600,1716390000,,,0,,,,
34461,jup_code_uav_3_mp,a&JUP_CHALLENGE/JUP_CODE_UAV_3,a&JUP_CHALLENGE/JUP_CODE_UAV_3_DESC,10,,,,,,,,1715187600,1716390000,,,0,MP,,,
34478,jup_code_uav_3_ob,a&JUP_CHALLENGE/JUP_CODE_UAV_3,a&JUP_CHALLENGE/JUP_CODE_UAV_3_OB_DESC,60,,,,,,,,1715187600,1716390000,,,0,OB,,,
34484,jup_code_uav_3_br,a&JUP_CHALLENGE/JUP_CODE_UAV_3,a&JUP_CHALLENGE/JUP_CODE_UAV_3_WZ_DESC,20,,,,,,,3000,1715187600,1716390000,,,0,BR|LP_RES|LP_BR,,,
34462,jup_code_uav_4,a&JUP_CHALLENGE/JUP_CODE_UAV_4,a&JUP_CHALLENGE/JUP_CODE_UAV_4_TRACKER_DESC,1,,3942,,,,34472|34479|34487,,1715187600,1716390000,,,0,,,,
34472,jup_code_uav_4_mp,a&JUP_CHALLENGE/JUP_CODE_UAV_4,a&JUP_CHALLENGE/JUP_CODE_UAV_4_DESC,30,,,,,,,,1715187600,1716390000,,,0,MP,,,
34479,jup_code_uav_4_ob,a&JUP_CHALLENGE/JUP_CODE_UAV_4,a&JUP_CHALLENGE/JUP_CODE_UAV_4_OB_DESC,20,,,,,,,,1715187600,1716390000,,,0,OB,,,
34487,jup_code_uav_4_br,a&JUP_CHALLENGE/JUP_CODE_UAV_4,a&JUP_CHALLENGE/JUP_CODE_UAV_4_WZ_DESC,20,,,,,,,3000,1715187600,1716390000,,,0,BR|LP_BR|LP_RES,,,
34464,jup_code_uav_5,a&JUP_CHALLENGE/JUP_CODE_UAV_5,a&JUP_CHALLENGE/JUP_CODE_UAV_5_TRACKER_DESC,1,,61001,,,,34473|34480|34485,,1715187600,1716390000,,,0,,,,
34473,jup_code_uav_5_mp,a&JUP_CHALLENGE/JUP_CODE_UAV_5,a&JUP_CHALLENGE/JUP_CODE_UAV_5_DESC,30,,,,,,,,1715187600,1716390000,,,0,MP,,,
34480,jup_code_uav_5_ob,a&JUP_CHALLENGE/JUP_CODE_UAV_5,a&JUP_CHALLENGE/JUP_CODE_UAV_5_OB_DESC,20,,,,,,,,1715187600,1716390000,,,0,OB,,,
34485,jup_code_uav_5_br,a&JUP_CHALLENGE/JUP_CODE_UAV_5,a&JUP_CHALLENGE/JUP_CODE_UAV_5_WZ_DESC,4,,,,,,,,1715187600,1716390000,,,0,BR|LP_RES|LP_BR,,,
34463,jup_code_uav_6,a&JUP_CHALLENGE/JUP_CODE_UAV_6,a&JUP_CHALLENGE/JUP_CODE_UAV_6_TRACKER_DESC,1,,3955,,,,34474|34481|34488,,1715187600,1716390000,,,0,,,,
34474,jup_code_uav_6_mp,a&JUP_CHALLENGE/JUP_CODE_UAV_6,a&JUP_CHALLENGE/JUP_CODE_UAV_6_DESC,10,,,,,,,,1715187600,1716390000,,,0,MP,,,
34481,jup_code_uav_6_ob,a&JUP_CHALLENGE/JUP_CODE_UAV_6,a&JUP_CHALLENGE/JUP_CODE_UAV_6_OB_DESC,36000,,,,,,,,1715187600,1716390000,,,0,OB,,,
34488,jup_code_uav_6_br,a&JUP_CHALLENGE/JUP_CODE_UAV_6,a&JUP_CHALLENGE/JUP_CODE_UAV_6_WZ_DESC,20,,,,,,,3000,1715187600,1716390000,,,0,BR|LP_RES|LP_BR,,,
34469,jup_code_uav_7,a&JUP_CHALLENGE/JUP_CODE_UAV_7,a&JUP_CHALLENGE/JUP_CODE_UAV_7_TRACKER_DESC,1,,62556,,,,34475|34482|34486,,1715187600,1716390000,,,0,,,,
34475,jup_code_uav_7_mp,a&JUP_CHALLENGE/JUP_CODE_UAV_7,a&JUP_CHALLENGE/JUP_CODE_UAV_7_DESC,40,,,,,,,,1715187600,1716390000,,,0,MP,,,
34482,jup_code_uav_7_ob,a&JUP_CHALLENGE/JUP_CODE_UAV_7,a&JUP_CHALLENGE/JUP_CODE_UAV_7_OB_DESC,700,,,,,,,,1715187600,1716390000,,,0,OB,,,
34486,jup_code_uav_7_br,a&JUP_CHALLENGE/JUP_CODE_UAV_7,a&JUP_CHALLENGE/JUP_CODE_UAV_7_DESC,20,,,,,,,3000,1715187600,1716390000,,,0,BR|LP_RES|LP_BR,,,
37747,jup_s3_bp_timelimited_base_1,a&JUP_CHALLENGE/BATTLE_PASS_CHALLENGE,a&JUP_CHALLENGE/JUP_S3_BP_TIMELIMITED_BASE_1_DESC,5,,,,1,1,,3500,,,,,0,,,,
37748,jup_s3_bp_timelimited_base_2,a&JUP_CHALLENGE/BATTLE_PASS_CHALLENGE,a&JUP_CHALLENGE/JUP_S3_BP_TIMELIMITED_BASE_2_DESC,10,,,,1,2,,3500,,,,,0,,,,
37749,jup_s3_bp_timelimited_base_3,a&JUP_CHALLENGE/BATTLE_PASS_CHALLENGE,a&JUP_CHALLENGE/JUP_S3_BP_TIMELIMITED_BASE_3_DESC,10,,,,1,3,,3500,,,,,0,,,,
37750,jup_s3_bp_timelimited_base_4,a&JUP_CHALLENGE/BATTLE_PASS_CHALLENGE,a&JUP_CHALLENGE/JUP_S3_BP_TIMELIMITED_BASE_4_DESC,10,,,,1,4,,3500,,,,,0,,,,
37751,jup_s3_bp_timelimited_gununlock,a&JUP_CHALLENGE/BATTLE_PASS_CHALLENGE_HVT,a&JUP_CHALLENGE/JUP_S3_BP_TIMELIMITED_GUNUNLOCK_DESC,15,,,,,0,,3500,,,,,0,,,,
37706,jup_death_mastery,a&JUP_CHALLENGE/JUP_DEATH_MASTERY,a&JUP_CHALLENGE/JUP_DEATH_MASTERY_DESC,9,,63315,,,,37707|37714|37715|37719|37723|37727|37731|37735|37739,,1720630800,1721833200,,,0,,,,
37707,jup_death_1,a&JUP_CHALLENGE/JUP_DEATH_1,a&JUP_CHALLENGE/JUP_DEATH_1_TRACKER_DESC,1,,3978,,,,37708|37709|37710,,1720630800,1721833200,,,0,,,,
37708,jup_death_1_mp,a&JUP_CHALLENGE/JUP_DEATH_1,a&JUP_CHALLENGE/JUP_DEATH_1_DESC,10,,,,,,,,1720630800,1721833200,,,0,MP,,,
37709,jup_death_1_ob,a&JUP_CHALLENGE/JUP_DEATH_1,a&JUP_CHALLENGE/JUP_DEATH_OB_1_DESC,10,,,,,,,,1720630800,1721833200,,,0,OB,,,
37710,jup_death_1_br,a&JUP_CHALLENGE/JUP_DEATH_1,a&JUP_CHALLENGE/JUP_DEATH_BR_1_DESC,3,,,,,,,4000,1720630800,1721833200,,,0,BR,,,
37714,jup_death_2,a&JUP_CHALLENGE/JUP_DEATH_2,a&JUP_CHALLENGE/JUP_DEATH_2_TRACKER_DESC,1,,66080,,,,37711|37712|37713,,1720630800,1721833200,,,0,,,,
37711,jup_death_2_mp,a&JUP_CHALLENGE/JUP_DEATH_2,a&JUP_CHALLENGE/JUP_DEATH_2_DESC,40,,,,,,,,1720630800,1721833200,,,0,MP,,,
37712,jup_death_2_ob,a&JUP_CHALLENGE/JUP_DEATH_2,a&JUP_CHALLENGE/JUP_DEATH_OB_2_DESC,75,,,,,,,,1720630800,1721833200,,,0,OB,,,
37713,jup_death_2_br,a&JUP_CHALLENGE/JUP_DEATH_2,a&JUP_CHALLENGE/JUP_DEATH_BR_2_DESC,3,,,,,,,4000,1720630800,1721833200,,,0,BR,,,
37715,jup_death_3,a&JUP_CHALLENGE/JUP_DEATH_3,a&JUP_CHALLENGE/JUP_DEATH_3_TRACKER_DESC,1,,69226,,,,37716|37717|37718,,1720630800,1721833200,,,0,,,,
37716,jup_death_3_mp,a&JUP_CHALLENGE/JUP_DEATH_3,a&JUP_CHALLENGE/JUP_DEATH_3_DESC,10,,,,,,,,1720630800,1721833200,,,0,MP,,,
37717,jup_death_3_ob,a&JUP_CHALLENGE/JUP_DEATH_3,a&JUP_CHALLENGE/JUP_DEATH_OB_3_DESC,200,,,,,,,,1720630800,1721833200,,,0,OB,,,
37718,jup_death_3_br,a&JUP_CHALLENGE/JUP_DEATH_3,a&JUP_CHALLENGE/JUP_DEATH_BR_3_DESC,2,,,,,,,4000,1720630800,1721833200,,,0,BR,,,
37719,jup_death_4,a&JUP_CHALLENGE/JUP_DEATH_4,a&JUP_CHALLENGE/JUP_DEATH_4_TRACKER_DESC,1,,66087,,,,37720|37721|37722,,1720630800,1721833200,,,0,,,,
37720,jup_death_4_mp,a&JUP_CHALLENGE/JUP_DEATH_4,a&JUP_CHALLENGE/JUP_DEATH_4_DESC,5,,,,,,,,1720630800,1721833200,,,0,MP,,,
37721,jup_death_4_ob,a&JUP_CHALLENGE/JUP_DEATH_4,a&JUP_CHALLENGE/JUP_DEATH_OB_4_DESC,15,,,,,,,,1720630800,1721833200,,,0,OB,,,
37722,jup_death_4_br,a&JUP_CHALLENGE/JUP_DEATH_4,a&JUP_CHALLENGE/JUP_DEATH_BR_4_DESC,5,,,,,,,4000,1720630800,1721833200,,,0,BR,,,
37723,jup_death_5,a&JUP_CHALLENGE/JUP_DEATH_5,a&JUP_CHALLENGE/JUP_DEATH_5_TRACKER_DESC,1,,3951,,,,37724|37725|37726,,1720630800,1721833200,,,0,,,,
37724,jup_death_5_mp,a&JUP_CHALLENGE/JUP_DEATH_5,a&JUP_CHALLENGE/JUP_DEATH_5_DESC,20,,,,,,,,1720630800,1721833200,,,0,MP,,,
37725,jup_death_5_ob,a&JUP_CHALLENGE/JUP_DEATH_5,a&JUP_CHALLENGE/JUP_DEATH_OB_5_DESC,200,,,,,,,,1720630800,1721833200,,,0,OB,,,
37726,jup_death_5_br,a&JUP_CHALLENGE/JUP_DEATH_5,a&JUP_CHALLENGE/JUP_DEATH_BR_5_DESC,5,,,,,,,4000,1720630800,1721833200,,,0,BR,,,
37727,jup_death_6,a&JUP_CHALLENGE/JUP_DEATH_6,a&JUP_CHALLENGE/JUP_DEATH_6_TRACKER_DESC,1,,26329,,,,37728|37729|37730,,1720630800,1721833200,,,0,,,,
37728,jup_death_6_mp,a&JUP_CHALLENGE/JUP_DEATH_6,a&JUP_CHALLENGE/JUP_DEATH_6_DESC,5,,,,,,,,1720630800,1721833200,,,0,MP,,,
37729,jup_death_6_ob,a&JUP_CHALLENGE/JUP_DEATH_6,a&JUP_CHALLENGE/JUP_DEATH_OB_6_DESC,200,,,,,,,,1720630800,1721833200,,,0,OB,,,
37730,jup_death_6_br,a&JUP_CHALLENGE/JUP_DEATH_6,a&JUP_CHALLENGE/JUP_DEATH_BR_6_DESC,2,,,,,,,4000,1720630800,1721833200,,,0,BR,,,
37731,jup_death_7,a&JUP_CHALLENGE/JUP_DEATH_7,a&JUP_CHALLENGE/JUP_DEATH_7_TRACKER_DESC,1,,66091,,,,37732|37733|37734,,1720630800,1721833200,,,0,,,,
37732,jup_death_7_mp,a&JUP_CHALLENGE/JUP_DEATH_7,a&JUP_CHALLENGE/JUP_DEATH_7_DESC,5,,,,,,,,1720630800,1721833200,,,0,MP,,,
37733,jup_death_7_ob,a&JUP_CHALLENGE/JUP_DEATH_7,a&JUP_CHALLENGE/JUP_DEATH_OB_7_DESC,10,,,,,,,,1720630800,1721833200,,,0,OB,,,
