string,string,localized_a,string,string,string,string,string,string
386,cos_386,a&CHARMS/COS_386,ui_charm_386,standard,1,,,0
387,cos_387,a&CHARMS/COS_387,ui_charm_387,standard,,,,0
388,cos_388,a&CHARMS/COS_388,ui_charm_388,standard,,,,0
389,cos_389,a&CHARMS/COS_389,ui_charm_389,standard,,,,0
390,cos_390,a&CHARMS/COS_390,ui_charm_390,standard,,,,0
391,cos_391,a&CHARMS/COS_391,ui_charm_391,standard,,,,0
392,cos_392,a&CHARMS/COS_392,ui_charm_392,standard,,,,0
393,cos_393,a&CHARMS/COS_393,ui_charm_393,standard,,,,0
394,cos_394,a&CHARMS/COS_394,ui_charm_394,standard,,,,0
395,cos_395,a&CHARMS/COS_395,ui_charm_395,standard,1,,,0
396,cos_396,a&CHARMS/COS_396,ui_charm_396,standard,,,,0
397,cos_397,a&CHARMS/COS_397,ui_charm_397,standard,,,,0
398,cos_398,a&CHARMS/COS_398,ui_charm_398,standard,,,,0
399,cos_399,a&CHARMS/COS_399,ui_charm_399,standard,,,,0
400,cos_400,a&CHARMS/COS_400,ui_charm_400,standard,,,,0
401,cos_401,a&CHARMS/COS_401,ui_charm_401,standard,,,,0
402,cos_402,a&CHARMS/COS_402,ui_charm_402,standard,,,,0
403,cos_403,a&CHARMS/COS_403,ui_charm_403,standard,,,,0
404,cos_404,a&CHARMS/COS_404,ui_charm_404,standard,,,,0
405,cos_405,a&CHARMS/COS_405,ui_charm_405,standard,,,,0
406,cos_406,a&CHARMS/COS_406,ui_charm_406,standard,,,,0
407,cos_407,a&CHARMS/COS_407,ui_charm_407,standard,,,,0
408,cos_408,a&CHARMS/COS_408,ui_charm_408,standard,,,,0
409,cos_409,a&CHARMS/COS_409,ui_charm_409,standard,,,,0
410,cos_410,a&CHARMS/COS_410,ui_charm_410,standard,,,,0
411,cos_411,a&CHARMS/COS_411,ui_charm_411,standard,,,,0
412,cos_412,a&CHARMS/COS_412,ui_charm_412,standard,,,,0
413,cos_413,a&CHARMS/COS_413,ui_charm_413,standard,,,,0
414,cos_414,a&CHARMS/COS_414,ui_charm_414,standard,,,,0
415,cos_415,a&CHARMS/COS_415,ui_charm_415,standard,,,,0
416,cos_416,a&CHARMS/COS_416,ui_charm_416,standard,,,,0
417,cos_418,a&CHARMS/COS_418,ui_charm_418,standard,,,,0
418,cos_419,a&CHARMS/COS_419,ui_charm_419,standard,,,,0
418,cos_420,a&CHARMS/COS_420,ui_charm_420,standard,,,,0
419,cos_421,a&CHARMS/COS_421,ui_charm_421,standard,,,,0
420,cos_422,a&CHARMS/COS_422,ui_charm_422,standard,,,,0
421,cos_423,a&CHARMS/COS_423,ui_charm_423,standard,,,,0
422,cos_424,a&CHARMS/COS_424,ui_charm_424,standard,,,,0
423,cos_425,a&CHARMS/COS_425,ui_charm_425,standard,,,,0
424,cos_426,a&CHARMS/COS_426,ui_charm_426,standard,,,,0
425,cos_427,a&CHARMS/COS_427,ui_charm_427,standard,,,,0
426,cos_428,a&CHARMS/COS_428,ui_charm_428,standard,,,,0
427,cos_429,a&CHARMS/COS_429,ui_charm_429,standard,,,,0
428,cos_430,a&CHARMS/COS_430,ui_charm_430,standard,,,,0
429,cos_431,a&CHARMS/COS_431,ui_charm_431,standard,,,,0
430,cos_432,a&CHARMS/COS_432,ui_charm_432,standard,,,,0
431,cos_433,a&CHARMS/COS_433,ui_charm_433,standard,,,,0
432,cos_434,a&CHARMS/COS_434,ui_charm_434,standard,,,,0
433,cos_435,a&CHARMS/COS_435,ui_charm_435,standard,,,,0
434,cos_436,a&CHARMS/COS_436,ui_charm_436,standard,,,,0
435,cos_437,a&CHARMS/COS_437,ui_charm_437,standard,,,,0
436,cos_438,a&CHARMS/COS_438,ui_charm_438,standard,,,,0
437,cos_439,a&CHARMS/COS_439,ui_charm_439,standard,,,,0
438,cos_440,a&CHARMS/COS_440,ui_charm_440,standard,,,,0
439,cos_441,a&CHARMS/COS_441,ui_charm_441,standard,,,,0
440,cos_442,a&CHARMS/COS_442,ui_charm_442,standard,,,,0
441,cos_443,a&CHARMS/COS_443,ui_charm_443,standard,,,,0
442,cos_444,a&CHARMS/COS_444,ui_charm_444,standard,,,,0
443,cos_445,a&CHARMS/COS_445,ui_charm_445,standard,,,,0
444,cos_446,a&CHARMS/COS_446,ui_charm_446,standard,,,,0
445,cos_447,a&CHARMS/COS_447,ui_charm_447,standard,,,,0
446,cos_448,a&CHARMS/COS_448,ui_charm_448,standard,,,,0
447,cos_449,a&CHARMS/COS_449,ui_charm_449,standard,,,,0
448,cos_450,a&CHARMS/COS_450,ui_charm_450,standard,,,,0
449,cos_451,a&CHARMS/COS_451,ui_charm_451,standard,,,,0
450,cos_452,a&CHARMS/COS_452,ui_charm_452,standard,,,,0
451,cos_453,a&CHARMS/COS_453,ui_charm_453,standard,,,,0
452,cos_454,a&CHARMS/COS_454,ui_charm_454,standard,,,,0
453,cos_455,a&CHARMS/COS_455,ui_charm_455,standard,,,,0
454,cos_456,a&CHARMS/COS_456,ui_charm_456,standard,,,,0
455,cos_457,a&CHARMS/COS_457,ui_charm_457,standard,,,,0
456,cos_458,a&CHARMS/COS_458,ui_charm_458,standard,,,,0
457,cos_459,a&CHARMS/COS_459,ui_charm_459,standard,,,,0
458,cos_460,a&CHARMS/COS_460,ui_charm_460,standard,,,,0
459,cos_461,a&CHARMS/COS_461,ui_charm_461,standard,,,,0
460,cos_462,a&CHARMS/COS_462,ui_charm_462,standard,,,,0
461,cos_463,a&CHARMS/COS_463,ui_charm_463,standard,,,,0
462,cos_464,a&CHARMS/COS_464,ui_charm_464,standard,,,,0
463,cos_465,a&CHARMS/COS_465,ui_charm_465,standard,,,,0
464,cos_466,a&CHARMS/COS_466,ui_charm_466,standard,,,,0
465,cos_467,a&CHARMS/COS_467,ui_charm_467,standard,,,,0
466,cos_468,a&CHARMS/COS_468,ui_charm_468,standard,,,,0
467,cos_469,a&CHARMS/COS_469,ui_charm_469,standard,,,,0
468,cos_470,a&CHARMS/COS_470,ui_charm_470,standard,,,,0
469,cos_471,a&CHARMS/COS_471,ui_charm_471,standard,,,,0
470,cos_472,a&CHARMS/COS_472,ui_charm_472,standard,,,,0
471,cos_473,a&CHARMS/COS_473,ui_charm_473,standard,,,,0
472,cos_474,a&CHARMS/COS_474,ui_charm_474,standard,,,,0
473,cos_475,a&CHARMS/COS_475,ui_charm_475,standard,,,,0
474,cos_476,a&CHARMS/COS_476,ui_charm_476,standard,,,,0
475,cos_477,a&CHARMS/COS_477,ui_charm_477,standard,,,,0
476,cos_478,a&CHARMS/COS_478,ui_charm_478,standard,,,,0
477,cos_479,a&CHARMS/COS_479,ui_charm_479,standard,,,,0
479,cos_500,a&CHARMS/COS_500,ui_charm_500,standard,,,,0
480,cos_501,a&CHARMS/COS_501,ui_charm_501,standard,,,,0
481,cos_502,a&CHARMS/COS_502,ui_charm_502,standard,,,,0
478,cos_503,a&CHARMS/COS_503,ui_charm_503,standard,,,,0
479,cos_504,a&CHARMS/COS_504,ui_charm_504,standard,,,,0
480,cos_505,a&CHARMS/COS_505,ui_charm_505,standard,,,,0
481,cos_506,a&CHARMS/COS_506,ui_charm_506,standard,,,,0
482,cos_507,a&CHARMS/COS_507,ui_charm_507,standard,,,,0
487,cos_508,a&CHARMS/COS_508,ui_charm_508,standard,,,,0
483,cos_509,a&CHARMS/COS_509,ui_charm_509,standard,,,,0
484,cos_510,a&CHARMS/COS_510,ui_charm_510,standard,,,,0
485,cos_512,a&CHARMS/COS_512,ui_charm_512,standard,,,,0
486,cos_514,a&CHARMS/COS_514,ui_charm_514,standard,,,,0
487,cos_515,a&CHARMS/COS_515,ui_charm_515,standard,,,,0
488,cos_517,a&CHARMS/COS_517,ui_charm_517,standard,,,,0
489,cos_518,a&CHARMS/COS_518,ui_charm_518,standard,,,,0
490,cos_519,a&CHARMS/COS_519,ui_charm_519,standard,,,,0
491,cos_520,a&CHARMS/COS_520,ui_charm_520,standard,,,,0
492,cos_521,a&CHARMS/COS_521,ui_charm_521,standard,,,,0
493,cos_522,a&CHARMS/COS_522,ui_charm_522,standard,,,,0
494,cos_523,a&CHARMS/COS_523,ui_charm_523,standard,,,,0
495,cos_524,a&CHARMS/COS_524,ui_charm_524,standard,,,,0
496,cos_525,a&CHARMS/COS_525,ui_charm_525,standard,,,,0
497,cos_526,a&CHARMS/COS_526,ui_charm_526,standard,,,,0
498,cos_527,a&CHARMS/COS_527,ui_charm_527,standard,,,,0
499,cos_528,a&CHARMS/COS_528,ui_charm_528,standard,,,,0
500,cos_529,a&CHARMS/COS_529,ui_charm_529,standard,,,,0
501,cos_531,a&CHARMS/COS_531,ui_charm_531,standard,,,,0
502,cos_532,a&CHARMS/COS_532,ui_charm_532,standard,,,,0
503,cos_533,a&CHARMS/COS_533,ui_charm_533,standard,,,,0
504,cos_534,a&CHARMS/COS_534,ui_charm_534,standard,,,,0
505,cos_535,a&CHARMS/COS_535,ui_charm_535,standard,,,,0
506,cos_536,a&CHARMS/COS_536,ui_charm_536,standard,,,,0
507,cos_537,a&CHARMS/COS_537,ui_charm_537,standard,,,,0
508,cos_538,a&CHARMS/COS_538,ui_charm_538,standard,,,,0
514,cos_539,a&CHARMS/COS_539,ui_charm_539,standard,,,,0
509,cos_540,a&CHARMS/COS_540,ui_charm_540,standard,,,,0
516,cos_541,a&CHARMS/COS_541,ui_charm_541,standard,,,,0
510,cos_542,a&CHARMS/COS_542,ui_charm_542,standard,,,,0
511,cos_543,a&CHARMS/COS_543,ui_charm_543,standard,,,,0
512,cos_545,a&CHARMS/COS_545,ui_charm_545,standard,,,,0
513,cos_546,a&CHARMS/COS_546,ui_charm_546,standard,,,,0
514,cos_547,a&CHARMS/COS_547,ui_charm_547,standard,,,,0
515,cos_549,a&CHARMS/COS_549,ui_charm_549,standard,,,,0
516,cos_550,a&CHARMS/COS_550,ui_charm_550,standard,,,,0
517,cos_551,a&CHARMS/COS_551,ui_charm_551,standard,,,,0
518,cos_552,a&CHARMS/COS_552,ui_charm_552,standard,,,,0
519,cos_553,a&CHARMS/COS_553,ui_charm_553,standard,,,,0
520,cos_554,a&CHARMS/COS_554,ui_charm_554,standard,,,,0
521,cos_555,a&CHARMS/COS_555,ui_charm_555,standard,,,,0
522,cos_557,a&CHARMS/COS_557,ui_charm_557,standard,,,,0
